Band,Song,Url
Monks,"Oh, How to Do Now",/lyric/22970023/Monks/Oh%2C+How+to+Do+Now
Monks,The Monks,artist/The-Monks/2136573
Monks of Doom,Blues on Sunday,/lyric/4263271/The+Monks+of+Doom/Blues+on+Sunday
Monks of Doom,Fall from Grace,/lyric/4263276/The+Monks+of+Doom/Fall+from+Grace
Monks of Doom,The Haunting of An Eastern Man's Mind,/lyric/4263281/The+Monks+of+Doom/The+Haunting+of+An+Eastern+Man%27s+Mind
Monks of Doom,Lappish Tea Song,/lyric/4263274/The+Monks+of+Doom/Lappish+Tea+Song
Monks of Doom,Save Me from Myself,/lyric/4263277/The+Monks+of+Doom/Save+Me+from+Myself
Monks of Doom,All in Good Time,/lyric/4263285/The+Monks+of+Doom/All+in+Good+Time
Monks of Doom,The Beach of Deception,/lyric/4263293/The+Monks+of+Doom/The+Beach+of+Deception
Monks of Doom,Broadcast at Midday,/lyric/4263294/The+Monks+of+Doom/Broadcast+at+Midday
Monks of Doom,The Evidence You Hide,/lyric/4263289/The+Monks+of+Doom/The+Evidence+You+Hide
Monks of Doom,Taste of Tendon,/lyric/4263287/The+Monks+of+Doom/Taste+of+Tendon
Monks of Doom,Trapped,/lyric/4263288/The+Monks+of+Doom/Trapped
Monks of Doom,Unexplained Murders,/lyric/4263290/The+Monks+of+Doom/Unexplained+Murders
Monks of Doom,The Vivian Girls,/lyric/4263284/The+Monks+of+Doom/The+Vivian+Girls
Monks of Doom,The Better Angels of Our Nature,/lyric/3221485/The+Monks+of+Doom/The+Better+Angels+of+Our+Nature
Monks of Doom,Cherry Blossom Baptism,/lyric/3221478/The+Monks+of+Doom/Cherry+Blossom+Baptism
Monks of Doom,Circassian Beauty,/lyric/3221492/The+Monks+of+Doom/Circassian+Beauty
Monks of Doom,Door to Success,/lyric/3221482/The+Monks+of+Doom/Door+to+Success
Monks of Doom,Geode I,/lyric/3221481/The+Monks+of+Doom/Geode+I
Monks of Doom,Going South,/lyric/3221486/The+Monks+of+Doom/Going+South
Monks of Doom,Hieroglyphic,/lyric/3221488/The+Monks+of+Doom/Hieroglyphic
Monks of Doom,Miracle Mile,/lyric/3221490/The+Monks+of+Doom/Miracle+Mile
Monks of Doom,Riverbed,/lyric/3221479/The+Monks+of+Doom/Riverbed
Monks of Doom,The Traveler,/lyric/3221483/The+Monks+of+Doom/The+Traveler
Monks of Doom,Turn It on Himself,/lyric/3221480/The+Monks+of+Doom/Turn+It+on+Himself
Monks of Doom,If It Don't Kill Me,/lyric/4263314/The+Monks+of+Doom/If+It+Don%27t+Kill+Me
Monks of Doom,The Insect God,/lyric/4263311/The+Monks+of+Doom/The+Insect+God
Monks of Doom,Let's Split,/lyric/4263313/The+Monks+of+Doom/Let%27s+Split
Monna Bell,Noche de Ronda,/lyric/1083048/Monna+Bell/Noche+de+Ronda
Mono,Silicone,/lyric/1891474/Mono/Silicone
Mono,Life in Mono [Bushmaster],/lyric/33191940/Mono/Life+in+Mono+%5BBushmaster%5D
Mono,Blind Man,/lyric/1922668/Mono/Blind+Man
Mono,High Life,/lyric/1922669/Mono/High+Life
Mono,Penguin Freud,/lyric/1922671/Mono/Penguin+Freud
Mono,Playboys,/lyric/1922670/Mono/Playboys
Mono,Life in Mono,/lyric/1898084/Mono/Life+in+Mono
Mono,Slimcea Girl,/lyric/1898089/Mono/Slimcea+Girl
Mono,High Life [Herbert's Don't Dub],/lyric/3606723/Mono/High+Life+%5BHerbert%27s+Don%27t+Dub%5D
Mono Culture,Free,/lyric/3017002/Mono+Culture/Free
Mono Culture,Free [Full Vocal Radio],/lyric/3551292/Mono+Culture/Free+%5BFull+Vocal+Radio%5D
Mono Culture,Free [Paul Oakenfold],/lyric/3887146/Mono+Culture/Free+%5BPaul+Oakenfold%5D
Mono Inc.,Herzblut (Tribute to Megaherz),/lyric/19815437/Megaherz/Herzblut+%28Tribute+to+Megaherz%29
Mono Inc.,Megaherz,artist/Megaherz/558543
Mono Inc.,The Banks of Eden,/lyric/33699073/Mono+Inc./The+Banks+of+Eden
Mono Inc.,Children of the Dark,/lyric/33699068/Mono+Inc./Children+of+the+Dark
Mono Inc.,Together Till the End,/lyric/33699072/Mono+Inc./Together+Till+the+End
Mono Puff,Careless Santa,/lyric/975972/Mono+Puff/Careless+Santa
Mono Puff,Distant Antenna,/lyric/975967/Mono+Puff/Distant+Antenna
Mono Puff,Don't Break the Heart,/lyric/975966/Mono+Puff/Don%27t+Break+the+Heart
Mono Puff,Don't I Have the Right?,/lyric/975973/Mono+Puff/Don%27t+I+Have+the+Right%3F
Mono Puff,Lynn Howell,artist/Lynn-Howell/248162
Mono Puff,Nancy Lynn Howell,artist/Nancy-Lynn-Howell/1690499
Mono Puff,Dr. Kildare,/lyric/975970/Mono+Puff/Dr.+Kildare
Mono Puff,Nixon's the One,/lyric/975975/Mono+Puff/Nixon%27s+the+One
Mono Puff,"Unsupervised, I Hit My Head",/lyric/975965/Mono+Puff/Unsupervised%2C+I+Hit+My+Head
Mono Puff,Dashiki Lover,/lyric/2205230/John+Flansburgh/Dashiki+Lover
Mono Puff,John Flansburgh,artist/John-Flansburgh/76443
Mono Puff,Hillbilly Drummer Girl,/lyric/2205229/John+Flansburgh/Hillbilly+Drummer+Girl
Mono Puff,John Flansburgh,artist/John-Flansburgh/76443
Mono Puff,I Just Found Out What Everybody Knows,/lyric/2205232/John+Flansburgh/I+Just+Found+Out+What+Everybody+Knows
Mono Puff,John Flansburgh,artist/John-Flansburgh/76443
Mono Puff,Imaginary Friend,/lyric/2205224/John+Flansburgh/Imaginary+Friend
Mono Puff,John Flansburgh,artist/John-Flansburgh/76443
Mono Puff,Poison Flowers,/lyric/2205222/John+Flansburgh/Poison+Flowers
Mono Puff,John Flansburgh,artist/John-Flansburgh/76443
Mono Puff,Pretty Fly,/lyric/2205231/John+Flansburgh/Pretty+Fly
Mono Puff,John Flansburgh,artist/John-Flansburgh/76443
Mono Puff,Sister Puff,artist/Sister-Puff/2052643
Monoxide,Gang Related,/lyric/30927138/Fritz+the+Cat/Gang+Related
Monoxide,Fritz the Cat,artist/Fritz-the-Cat/386874
Monoxide,Shaggy 2 Dope,artist/Shaggy-2-Dope/446987
Monoxide,Violent J,artist/Violent-J/446988
Monoxide,ABK,artist/ABK/673316
Monoxide,Syn,artist/Syn/2781791
Monoxide Child,Bring Me Down,/lyric/7356698/Monoxide+Child/Bring+Me+Down
Monoxide Child,Change,/lyric/7356694/Monoxide+Child/Change
Monoxide Child,That's Real,/lyric/7356703/Monoxide+Child/That%27s+Real
Monoxide Child,Wut Tha #$@!,/lyric/7356705/Monoxide+Child/Wut+Tha+%23%24%40%21
Monoxide Child,Fear,/lyric/14271740/Blaze/Fear
Monoxide Child,Blaze,artist/Blaze/37461
Monoxide Child,Boondox,artist/Boondox/843787
Monroe Crossing,Rank Strangers,/lyric/29878678/Monroe+Crossing/Rank+Strangers
Monroe Mustang,Waiting,/lyric/4091619/Monroe+Mustang/Waiting
Monroe Quinn,Embraceable You,/lyric/8259835/Monroe+Quinn/Embraceable+You
Monroe Quinn,Secret Love,/lyric/8259833/Monroe+Quinn/Secret+Love
Monrose,All or Nothing,/lyric/21978108/Monrose/All+or+Nothing
Monrose,Breathe You In,/lyric/21978109/Monrose/Breathe+You+In
Monrose,Catwalk V-O-G-U-E,/lyric/21978106/Monrose/Catwalk+V-O-G-U-E
Monrose,Definition of a Woman,/lyric/21978111/Monrose/Definition+of+a+Woman
Monrose,Doing Fine,/lyric/21978112/Monrose/Doing+Fine
Monrose,Don't Take it Personal,/lyric/21978113/Monrose/Don%27t+Take+it+Personal
Monrose,Like a Lady,/lyric/21978114/Monrose/Like+a+Lady
Monrose,Love Must Carry On,/lyric/21978110/Monrose/Love+Must+Carry+On
Monrose,Mono,/lyric/21978105/Monrose/Mono
Monrose,No No No,/lyric/21978107/Monrose/No+No+No
Monrose,Superstar DJ,/lyric/21978115/Monrose/Superstar+DJ
Monrose,This Is Me,/lyric/21978116/Monrose/This+Is+Me
Monrose,2 of a Kind,/lyric/9943869/Monrose/2+of+a+Kind
Monrose,Do That Dance,/lyric/9943872/Monrose/Do+That+Dance
Monrose,Even Heaven Cries,/lyric/9943864/Monrose/Even+Heaven+Cries
Monrose,I'm Gonna Freak Ya,/lyric/9943867/Monrose/I%27m+Gonna+Freak+Ya
Monrose,Live Life Get By,/lyric/9943873/Monrose/Live+Life+Get+By
Monrose,Love Don't Come Easy,/lyric/9943868/Monrose/Love+Don%27t+Come+Easy
Monrose,No,/lyric/9943866/Monrose/No
Monrose,Push Up on Me,/lyric/9943874/Monrose/Push+Up+on+Me
Monrose,Shame,/lyric/9943863/Monrose/Shame
Monrose,Work It,/lyric/9943871/Monrose/Work+It
Monrose,Your Love Is Right Over Me,/lyric/9943870/Monrose/Your+Love+Is+Right+Over+Me
Monrose,Strictly Physical,/lyric/14538287/Monrose/Strictly+Physical
Monrose,Scream [Album Version],/lyric/18875392/Monrose/Scream+%5BAlbum+Version%5D
Monrose,Burning,/lyric/12318334/Monrose/Burning
Monrose,Dangerous,/lyric/12318324/Monrose/Dangerous
Monrose,Everybody Makes Mistakes,/lyric/12318336/Monrose/Everybody+Makes+Mistakes
Monrose,Golden,/lyric/12318330/Monrose/Golden
Monrose,Hot Summer,/lyric/12318325/Monrose/Hot+Summer
Monrose,Just Like That,/lyric/12318332/Monrose/Just+Like+That
Monrose,Leading Me On,/lyric/12318329/Monrose/Leading+Me+On
Monrose,Monrose Theme,/lyric/12318335/Monrose/Monrose+Theme
Monrose,Rebound,/lyric/12318327/Monrose/Rebound
Monrose,Sooner or Later,/lyric/12318331/Monrose/Sooner+or+Later
Monrose,Stricly Physical,/lyric/12318326/Monrose/Stricly+Physical
Monrose,What You Don't Know,/lyric/12318328/Monrose/What+You+Don%27t+Know
Monrose,Yesterday's Gone,/lyric/12318333/Monrose/Yesterday%27s+Gone
Monrose,Walking Away,/lyric/31269031/Monrose/Walking+Away
Monrose,Craig David,artist/Craig-David/451479
Monrose,Certified,/lyric/15053043/Monrose/Certified
Monrose,Don't Touch the Fader,/lyric/15053055/Monrose/Don%27t+Touch+the+Fader
Monrose,Hit 'N' Run,/lyric/15053051/Monrose/Hit+%27N%27+Run
Monrose,A Love Bizarre,/lyric/15053042/Monrose/A+Love+Bizarre
Monrose,No Never,/lyric/15053052/Monrose/No+Never
Monrose,Stained,/lyric/15053053/Monrose/Stained
Monrose,Step Aside,/lyric/15053056/Monrose/Step+Aside
Monrose,Stolen,/lyric/15053049/Monrose/Stolen
Monrose,Tip Toe,/lyric/15053047/Monrose/Tip+Toe
Monrose,What They Want,/lyric/15053054/Monrose/What+They+Want
Monrose,Why Not Us,/lyric/15053044/Monrose/Why+Not+Us
Monrose,You Can Look,/lyric/15053046/Monrose/You+Can+Look
