"Band","Lyrics","Song","Year"
"Nancy Harrow","i dont want you but id hate to lose you youve got me in between the devil and the deep blue sea i forgive you cause i cant forget you youve got me in between the devil and the deep blue sea i ought to cross you off my list but when you come a knocking at my door fate seems to give my heart a twist and i come running back for more i should hate you but i guess i love you youve got me in between the devil and the deep blue sea youve got me in between the devil and the deep blue sea the devil and the deep blue sea","Between the Devil and the Deep Blue Sea","1988"
"Nancy Harrow","im fixing a hole where the rain gets in and stops my mind from wandering where it will go im filling the cracks that ran through the door and kept my mind from wandering where it will go and it really doesnt matter if im wrong im right where i belong im right where i belong see the people standing there who disagree and never win and wonder why they dont get in my door im painting my room in the colourful way and when my mind is wandering there i will go and it really doesnt matter if im wrong im right where i belong im right where i belong silly people run around they worry me and never ask me why they dont get past my door im taking the time for a number of things that werent important yesterday and i still go im fixing a hole where the rain gets in and stops my mind from wandering where it will go","Fixing a Hole","1988"
"Nancy Harrow","good morning heartache you old gloomy sight good morning heartache thought we said goodbye last night i turned and tossed until it seemed you had gone but here you are with the dawn wish id forget you but youre here to stay it seems i met you when my love went away now everyday i start by saying to you good morning heartache whats new stop haunting me now cant chase you no how just leave me alone ive got those monday blues straight through sunday blues good morning heartache here we go again good morning heartache youre the one who knew me when might as well get used to you hanging around good morning heartache sit down stop haunting me now cant chase you no how just leave me alone ive got those monday blues straight through sunday blues good morning heartache here we go again good morning heartache youre the one who knew me when might as well get used to you hanging around good morning heartache sit down","Good Morning Heartache","1988"
"Nancy Harrow","dont even go to a movie show if youre not by my side i stay home by my radio but im satisfied all my flirtin days are gone on the level from now on dont go for any excitement now books are my best company all my opinions have changed somehow old fashioned as can be when you really learn to care theres a thrill in solitaire keepin ou of mischief now really am in love and how im through playing with fire its you whom i desire all the world can plainly see youre the only one for me ive told them in advance they cant break up our romance living up to every vow im keepin out of mischief now all the world can plainly see that youre the only one for me say ive told them told them in advance that they cant break up our romance living up to every vow im keepin keepin out of mischief now","Keepin' Out of Mischief Now","1988"
"Nancy Harrow","midnight you heavy laden its midnight come on and trade in your old dreams for new your new dreams for old i know where theyre bought i know where theyre sold midnight youve got to get there at midnight and youll be met there by others like you brothers as blue smiling on the street of dreams love laughs at a king kings dont mean a thing on the street of dreams dreams broken in two can be made like new on the street of dreams gold sliver and gold all you can hold is in the moonbeams poor no one is poor long as love is sure on the street of dreams midnight look at the steeple its midnight unhappy people its ringing with joy its ringing with cheer cause yesterdays gone tomorrow is near midnight the heart is lighter at midnight things will be brighter the moment you find more of your kind smiling on the street of dreams love laughs at a king kings dont mean a thing on the street of dreams dreams broken in two can be made like new on the street of dreams gold sliver and gold all you can hold is in the moonbeams poor no one is poor long as love is sure on the street of dreams","Street Of Dreams","1988"
"Nancy Harrow","spending these lonesome evenings with nothing to do but to live in dreams that i make up all by myself dreaming that youre beside me i picture the prettiest stories only to wake up all by myself what is the good of me by myself why was i born why am i living what do i get what am i giving why do i want a thing i darent hope for what can i hope for i wish i knew why do i try to draw you near me why do i do i cry you never hear me im a poor fool but what can i do why was i born to love you im a poor fool but what can i do why was i born to love you","Why Was I Born?","1988"
"Nancy Harrow","so often as i wait for sleep i find myself reciting the words ive said or should have said like scenes that need rewriting the smiles i never answered doors perhaps i should have opened songs forgotten in the morning i relived the roles ive played the tears i may have squandered the many pipers i have paid along the roads i wandered yet all the time i knew it love was somewhere out there waiting though i may regret a kiss or two if i had changed a single day what went amiss or went astray i may have never found my way to you","On My Own","2000"
"Nancy Hays","how much do i love you ill tell you no lie how deep is the ocean how high is the sky how many times a day do i think of you how many roses are sprinkled with dew how far would i travel to be where you are how far is the journey from here to a star and if i ever lost you how much would i cry how deep is the ocean how high is the sky how far would i travel to be where you are how far is the journey from here to a star and if i ever lost you how much would i cry how deep is the ocean how high is the sky how high is the sky","How Deep Is the Ocean? [Foxtrot]","2002"
"Nancy Hays","if they ask me i could write a book about the way you walk and whisper and look i could write a preface on how we met so the world would never forget and the simple secret of the plot is just to tell them that i love you a lot then the world discovers as my book ends how to make two lovers of friends if they ask me i could write a book about the way you walk and whisper and look i could write a preface on how we met so the world would never forget never never forget and the simple secret of the plot is just to tell them that i love you allot then the world discovers as my book ends how to make two lovers of friends","I Could Write a Book [Swing]","2002"
"Nancy Hays","unforgettable thats what you are unforgettable tho near or far like a song of love that clings to me how the thought of you does things to me never before has someone been more unforgettable in every way and forever more thats how youll stay thats why darling its incredible that someone so unforgettable thinks that i am unforgettable too","Unforgettable [Ballad]","2002"
"Nancy Hays","it seems we stood and talked like this before we looked at each other in the same way then but i cant remember where or when the clothes youre wearing are the clothes you wore the smile you are smiling you were smiling then but i cant remember where or when some things that happened for the first time seem to be happening again and so it seems that we have met before and laughed before and loved before but who knows where or when","Where or When [Fast Fox Trot]","2002"
"Nancy Hays","stars shining bright above you night breezes seem to whisper i love you birds singing in the sycamore tree dream a little dream of me say night ie night and kiss me just hold me tight and tell me youll miss me while im alone and blue as can be dream a little dream of me stars fading but i linger on dear still craving your kiss im longing to linger till dawn dear just saying this sweet dreams till sunbeams find you sweet dreams that leave all worries behind you but in your dreams whatever they be dream a little dream of me stars fading but i linger on dear still craving your kiss im longing to linger till dawn dear just saying this sweet dreams till sunbeams find you sweet dreams that leave all worries far behind you but in your dreams whatever they be dream a little dream of me","Dream a Little Dream of Me","2002"
"Nancy Hays","ill be seeing you in all the old familiar places that this heart of mine embraces all day through in that small cafe the park across the way the childrens carousel the chestnut trees the wishing well ill be seeing you in every lovely summers day in everything thats light and gay ill always think of you that way ill find you in the morning sun and when the night is new ill be looking at the moon but ill be seeing you ill find you in the morning sun and when the night is new ill be looking at the moon but ill be seeing you","I'll Be Seeing You","2002"
