"Band","Lyrics","Song","Year"
"Demi Lovato","i can make the rain stop if i wanna just like my attitude i can take my laptop record a snapshot and change your point of view i just entered this brand new world and im so open hearted i know ive got a long way to go but i im im just getting started im over my head and i know it i know it im doing my best not to show it to show it whatever it takes to be what i was meant to be im going to try cause im living the dream and i know it i know it im trying my best not to blow it to blow it and i know everything will be fine with me myself and time i go where life takes me but some days it makes me want to change my direction sometimes it gets lonely but i know that its only a matter of my perception i just entered this brand new world and im so open hearted i know ive got a long way to go but im im just getting started im over my head and i know it i know it im doing my best not to show it to show it whatever it takes to be what i was meant to be im going to try cause im living the dream and i know it i know it im trying my best not to blow it to blow it and i know everything will be fine with me myself and time and baby there is nothing like this moment to just be real and let the truth be spoken whatevers broke i can make it unbroken turn the lead in my hand into something golden just try more love if i try more love then ill find myself and time im over my head and i know it i know it im doing my best not to show it to show it whatever it takes to be what i was meant to be im going to try im over my head and i know it i know it im doing my best not to show it to show it whatever it takes to be what i was meant to be im going to try cause im living the dream and i know it i know it im trying my best not to blow it to blow it and i know everything will be fine with me myself and time ill find myself in time i know ill find myself in time","Me, Myself and Time",""
"Demi Lovato","la la da ta da the mood is right the spirits up were here tonight and thats enough simply having a wonderful christmas time simply having a wonderful christmas time the partys on the feelings here that only comes this time of year simply having a wonderful christmas time simply having a wonderful christmas time the choir of children sing their song they practiced all year long ding dong ding dong ding dong ding dong la la la la la la la la la la yeah simply having a wonderful christmas time christmas time simply having a wonderful christmas time the word is out about the town to lift a glass and dont look down simply having a wonderful christmas time simply having a wonderful christmas time simply having a wonderful christmas time simply having a wonderful christmas time","Wonderful Christmastime","2008"
"Demi Lovato","ive always been the kind of girl that hid my face so afraid to tell the world what ive got to say but i have this dream bright inside of me im gonna let it show its time to let you know to let you know this is real this is me im exactly where im supposed to be now gonna let the light shine on me now ive found who i am theres no way to hold it in no more hiding who i want to be this is me do you know what its like to feel so in the dark to dream about a life where youre the shining star even though it seems like its too far away i have to believe in myself its the only way this is real this is me im exactly where im supposed to be now gonna let the light shine on me now ive found who i am theres no way to hold it in no more hiding who i want to be this is me youre the voice i hear inside my head the reason that im singin i need to find you i gotta find you youre the missing piece i need the song inside of me i need to find you i gotta find you this is real this is me im exactly where im supposed to be now gonna let the light shine on me now ive found who i am theres no way to hold it in no more hiding who i want to be this is me this is me this is me youre the missing piece i need the song inside of me youre the voice i hear inside my head the reason that im singin now ive found who i am theres no way to hold it in no more hiding who i want to be this is me","This Is Me [DVD][*]","2008"
"Demi Lovato","were done but its not over well start it again after the end of the day it keeps getting better dont be afraid well do it together come on come on you know its your time to move its my time to move come on come on let go leave it all behind your past and mine gone are the days of summer we couldnt change it if we tried why would we want to lets go where we got to out paths will cross again in time its never the same tomorrow and tomorrow is never clear so come on come on you know our time our time is here we know but were not certain how can we be how can we see whats ahead the road keeps on turning and all we can do is travel each day to the next come on come on you know its your time to move its my time to move come on come on let go leave it all behind your past and mine gone are the days of summer we couldnt change it if we tried why would we want to lets go where we got to out paths will cross again in time its never the same tomorrow and tomorrow is never clear yeah gone are the days of summer we couldnt change it if we tried if we tried so come on come on come on come on come on come on so come on come on you know our time our time is here yeah oh","Our Time Is Here","2008"
"Demi Lovato","ive always been the kind of girl that hid my face so afraid to tell the world what ive got to say but i had this dream right inside of me im going to let it show its time to let you know to let you know this is the real this is me im exactly where im supposed to be now gonna let the light shine on me now i found who i am theres no way to hold it in no more hiding who i want to be this is me do you know what its like to feel so in the dark to dream about a life where youre the shining star even though it seems like its too far away i have to believe in myself its the only way this is the real this is me im exactly where im supposed to be now gonna let the light shine on me now i found who i am theres no way to hold it in no more hiding who i want to be this is me youre the voice i hear inside my head the reason that im singing i need to find you i gotta find you youre the missing piece i need the song inside of me i need to find you i gotta find you this is the real this is me im exactly where im supposed to be now gonna let the light shine on me now i found who i am theres no way to hold it in no more hiding who i want to be this is me youre the missing piece i need the song inside of me this is me youre the voice i hear inside my head the reason that im singing now i found who i am theres no way to hold it in no more hiding who i want to be this is me","This Is Me","2008"
"Demi Lovato","yeah yeah yeah yeah how to choose who to be well lets see there are so many choices now play guitar be a movie star in my head a voice says why not try everything why stop reach for any dream i can rock cause its my life and nows the time who will i be its up to me all the never ending possibilities that i can see theres nothing that i cant do who will i be yes i believe i get to make the future what i want to if i can become anyone and know the choice is up to me who will i be yeah yeah if i decide im the girl to change the world i can do it any time opportunity right in front of me and the choice is all mine why not try everything why stop reach for any dream i can rock cause its my life and nows the time who will i be its up to me all the never ending possibilities that i can see theres nothing that i cant do who will i be yes i believe i get to make the future what i want to if i can become anyone and know the choice is up to me who will i be i wanna find the who i am inside who will i be i wanna show the the way that i can shine yeah oh yeah yeah who will i be its up to me all the never ending possibilities that i can see theres nothing that i cant do who will i be yes i believe i get to make the future what i want to if i can become anyone and know the choice is up to me who will i be who will i be who will i be","Who Will I Be?","2008"
"Demi Lovato","were done but its not over well start it again after the end of the day it keeps getting better dont be afraid well do it together come on come on you know its your time to move its my time to move come on come on let go leave it all behind your past and mine gone are the days of summer we couldnt change it if we tried why would we want to lets go where we got to out paths will cross again in time its never the same tomorrow and tomorrow is never clear so come on come on you know our time our time is here we know but were not certain how can we be how can we see whats ahead the road keeps on turning and all we can do is travel each day to the next come on come on you know its your time to move its my time to move come on come on let go leave it all behind your past and mine yeah gone are the days of summer we couldnt change it if we tried if we tried so come on come on come on come on come on come on so come on come on you know our time our time is here yeah oh","Our Time Is Here [*]",""
"Demi Lovato","ive always been the kind of girl that hid my face so afraid to tell the world what ive got to say but i had this dream right inside of me im going to let it show its time to let you know to let you know this is the real this is me im exactly where im supposed to be now gonna let the light shine on me now i found who i am theres no way to hold it in no more hiding who i want to be this is me do you know what its like to feel so in the dark to dream about a life where youre the shining star even though it seems like its too far away i have to believe in myself its the only way youre the voice i hear inside my head the reason that im singing i need to find you i gotta find you youre the missing piece i need the song inside of me i need to find you i gotta find you this is the real this is me im exactly where im supposed to be now gonna let the light shine on me now i found who i am theres no way to hold it in no more hiding who i want to be this is me youre the missing piece i need the song inside of me this is me youre the voice i hear inside my head the reason that im singing now i found who i am theres no way to hold it in no more hiding who i want to be this is me","This Is Me [Camp Rock]","2008"
"Demi Lovato","ive always been the kind of girl that hid my face so afraid to tell the world what ive got to say but i have this dream bright inside of me im gonna let it show its time to let you know to let you know this is real this is me im exactly where im supposed to be now gonna let the light shine on me now ive found who i am theres no way to hold it in no more hiding who i want to be this is me do you know what its like to feel so in the dark to dream about a life where youre the shining star even though it seems like its too far away i have to believe in myself its the only way this is real this is me im exactly where im supposed to be now gonna let the light shine on me now ive found who i am theres no way to hold it in no more hiding who i want to be this is me youre the voice i hear inside my head the reason that im singin i need to find you i gotta find you youre the missing piece i need the song inside of me i need to find you i gotta find you this is real this is me im exactly where im supposed to be now gonna let the light shine on me now ive found who i am theres no way to hold it in no more hiding who i want to be this is me this is me this is me youre the missing piece i need the song inside of me youre the voice i hear inside my head the reason that im singin now ive found who i am theres no way to hold it in no more hiding who i want to be this is me","This Is Me [Acoustic Full Version]","2008"
"Demi Lovato","how does she know that you love her how do you show her you love her how does she know that you really really truly love her its not enough to take the one you love for granted you must remind her or shell be inclined to say how do i know he loves me how do i know hes mine does he leave a little note to tell you you are on his mind send you yellow flowers when the sky is gray hell find a new way to show you a little bit everyday thats how you know thats how you know hes your love everybody wants to live happily ever after everybody wants to know that true love is true how do you know he loves you how do you know hes yours does he take you out dancing just so he can hold you close dedicate a song with words meant just for you hell find his own way to tell you with the little things hell do thats how you know thats how you know hes your love hes your love how do you know how do you know how does she know you that love her how do you show her you love her how does she know that you really really truly love her thats how you know thats how you know its true because hell wear your favorite color just so he can match your eyes spread a private picnic by the fire glow oh his heart will be yours forever something everyday will show thats how you know thats how you know thats how you know thats how you know hes your love","That's How You Know [From Enchanted]","2008"
