"Band","Lyrics","Song","Year"
"The Head and the Heart","i left you over by the wishin well wandering wondering if these trees could tell summertime ill make you mine cause i need healin for a hollow wound with room for two if the gardens your daylight then ill work the field fielding the ripeness of this stubborn will summertime ill make you mine cause i need healin for a hollow wound with room for two i will sing as your canary bird take my soul and bury it in the earth i will sing as your canary bird oh yes i will yes i will i left you over by the wishin well wandering wondering if these trees could tell","Summertime","2013"
"The Head and the Heart","theres always hope hope in death it brands these bonds refines the rest but these days are numbered this life absolute i need this faith to keep me walkin to keep me alive oh darlin oh darlin wont you please take me home oh darlin my sweet darlin wont you please keep me warm we must strive to be be like the moon to be kind distracted by its tune cause these days are numbered this life absolute we all complain if it rains or it shines but were never mad at the moon oh darlin oh darlin wont you please keep me warm oh darlin sweet darlin wont you please take me home","These Days Are Numbered","2013"
"The Head and the Heart","when i wake up in the morning i see nothing for miles and miles and miles when i sleep in the evening oh lord there she goes only in dreams shes only in dreams well well my love weve been here before dont drag me through this again we tried everything under the sun now im trying to wake up from this im trying to make up for it all we ever do is all we ever knew la la la la la la you dont see why you would theres no love to give well what goes around comes around i know sometimes you get so caught in a dream but now its time to wake up from this its time to make up for it its time to wake up from this yes its time to wake up from this its time to make up for it all we ever do all we ever do is all we ever knew la la la la la la im feeling low feeling high feeling down why isnt this enough im feeling low feeling high feeling down why isnt this enough all we ever do is all we ever knew all we ever do its time to wake up from this la la la la la la","All We Ever Knew","2016"
"The Head and the Heart","salt in a wound on a warm afternoon sun is too bright so we wait for the night to find you to find you wed get so high telling stories at night was it a lie or maybe more like a dream feels like a feels like a i get a call at the station man on the line hesitation on the other line is just people takin time from the people who have no more to give alright and i know just where my heart should be yeah i know just where my heart should be yeah i know just where my heart should be in the city of angels the city of angels the city of tell me one thing just tell me what you see cause i have everything i want i have everything i need right in front of me yeah shes right in front of me yeah i know just where my heart should be yeah i know just where my heart should be yeah shes right in front of me yeah i know just where my heart should be in the city of angels in the city of angels the city of angels ive found a lot of love in this town everywhere i go but it never seems to stay and ive never seen it grow i found a lot of love in this town in the city of angels my heart should be right here with you right here with you in the city of angels i found a lot of love in this town everywhere i go and it never seems to stay and ive never seen it grow ive found a lot of love in this town in the city of angels now i know just where my heart should be yeah i know just where my heart should be yeah i know just where my heart should be in the city of angels everything i wants everything i needs in the city of angels in the city of angels in the city of angels","City of Angels","2016"
"The Head and the Heart","i saw the colors fade away i saw the colors fade away i saw the colors fade away i saw the colors fade away i see youre kickin the can down the road and youre stirrin up the dust i hear you in the moonlight every word seems like you said i saw the colors fade away from you you said i saw the colors fade away i saw the colors fade away from you now honey i saw the colors fade away so the ceiling looks the same as it did in the mornin and it feels like a storm but its all in your head and i know that you feel like youre not gettin what you need right now but give it a night wait for the light yeah well well what can you say when your love just starts to fade away who can you tell you know this song just wont go away thinkin back to the time before lookin up from beyond the floor did you not feel that somethin too takin it back bringin it up on everything i saw the colors fade away i saw the colors fade away from you i saw the colors fade away from you i saw the colors fade away well well what can you say when your love just starts to fade away who can you tell you know this song just wont go away i saw the colors fade away from you i saw the colors fade away i saw the colors fade away from you now honey i saw the colors fade away i saw the colors fade away i saw the colors fade away i saw the colors fade away from you i saw the colors fade away","Colors","2016"
"The Head and the Heart","call me the dreamer heads in the clouds what must go up always comes down i still believe this was always here for me this was always meant to be so call me a dreamer i feel like a clown guess thats what you get for stickin around dont know how much longer i dont know how much pain i can bear honey please holdin on for you whatcha need now au contraire ey poor mother mary its like everybody knows the way you ran the show was it all about control call me a friend dont call me a foe look for the truth know youre never alone just look to the sky for the shooting golden lights like arrows in the night holdin on for you whatcha need now all you need is love now you see whatcha done to me i swear everybody knows youre holdin on to me honey please honey holdin on for you holdin on for you all you needed was love holdin on for you","Dreamer","2016"
"The Head and the Heart","you can put it on a shelf you can watch the dust collect dont let em die i crushed it into blue and wrote a song for you put it in your pocket to rest i dont mind i dont mind i dont mind so your heart was stolen from the most beautiful girl in the world oh the winds blew you over i dont mind i dont mind i dont she told me never come back alone never come back alone time will heal your soul its time she told me never to come back alone never to come back alone time will heal your soul its time alone just time alone just time alone","I Don't Mind","2016"
"The Head and the Heart","im drawn to that sorta library magic whisperin through the dusty aisles watchin all the thinkers read tryin to keep a grown mans quiets like pulling teeth on a winters eve cracks and pulls and unfamiliar roads im on this one to find out veggie gas and brothers harass cant stay healthy in a cloud of eyes listenin to my every move just tryin to survive this self imposed adventure that selfishness drives i can barely keep my head above the blue tryin to keep it off me and you but i can see the sunshines rays gleaming through the clear water telling me you gotta hop in for this chapters ride there will always be better days there will always be better days makin music is what we do tryin to weave the patterns for me and you tryin to make the grasses breathe and a grown man cry truth and life is where i gleam tangled up in a funnels wind tryin to come out walkin understand its beyond me talkin tryin to come out walkin understand its beyond me talkin i can see the sunshines rays gleaming through the clear waters telling me you gotta hop in for this chapters ride there will always be better days there will always be better days bein alone isnt lonely its sought after like a holiday bein home is my vacation postcard dreams of a full sized bed quit the band one too many times serious enough to get a rise but hell hop in the next mornin for another drive thats a promise the best advice we ever received is for you and me to stay together its easy to begin and hard to end im just glad to go through it all with you as friends i can see the sunshines rays gleaming through the clear waters telling me you gotta hop in for this chapters ride there will always be better days there will always be better days there will always be better days","Library Magic","2016"
"The Head and the Heart","oh my dear have you forgotten all the good years once or twice thats all we get in this life you can put it on the shelf you can watch the dust collect but oh dear oh dear dont let em die dont let em die dont let em die well honey ill drink your poison well honey ill take the blows when it gets rough if thats what it takes to be one in the same if thats what it takes to be one in the same if thats what it takes to be one in the same oh my dear with you my dear","Oh My Dear","2016"
"The Head and the Heart","aint it nice to be so lucky aint it nice to be so loved oh come on darlin wont you let me wont you let me drive you home cause ive had the rhythm and blues since the day you met me stepped on my blue suede shoes watch elvis go crazy oh come on darlin wont you let me wont you let me turn you on cause no one likes to be so lonely no one likes to feel alone oh come on darlin wont you let me wont you let me drive you home ill drive you home oh come on darlin wont you let me wont you let me turn you on i know my faithful mind is so blind ive been running out on everyone and everything til now if its monday or sunday well ive got the rhythm and blues since the day you met me stepped on my blue suede shoes you made elvis go crazy oh come on darlin wont you let me wont you let me turn you on","Rhythm & Blues","2016"
