"Band","Lyrics","Song","Year"
"Bob Rockwell","someone that i belong to doesnt belong to me someone who cant be faithful knows that i have to be wonder if i am wrong to give her my loyalty why should i be a lone soul why cant i be my own soul alone from night to night youll find me too weak to break the chains that bind me i need no shackles to remind me im just a prisner of love for one comand i stand and wait now from one whos master of my fate now i cant escape for its too late now im just a prisoner of love whats the good of my caring if someone is sharing those arms with me although she has another i cant have another for im not free shes in my dreams awake or sleeping up on my knees to her im creeping my very life is in her keeping im just a prisoner of love love","Prisoner of Love","1989"
"Bob Rockwell","all or nothing at all half a love never appealed to me if your heart never could yield to me then id rather rather have nothing at all all or nothing at all if its love there is no in between why begin then cry for something that might have been no id rather rather have nothing at all but please dont bring your lips so close to my cheek dont smile or ill be lost beyond recall the kiss in your eyes the touch of your hand makes me weak and my heart may go dizzy and fall and if i fell i fell under the spell of your call i would be caught in the undertow so you see ive got to say no no all or nothing at all","All or Nothing at All","1990"
"Bob Rockwell","as a tot when i trotted in little velvet panties i was kissed by my sisters my cousins and my aunties sad to tell it was hell an inferno worse than dantes so my dear i swore never never more on my list i insisted that kissing must be crossed out now i find i was blind and oh my how i lost out i could cry salty tears where have i been all these years little wow tell me now how long has this been going on there were chills up my spine and some thrills i cant define listen sweet i repeat how long has this been going on oh i feel that i could melt into heaven im hurled i know how columbus felt finding another world kiss me once then once more what a dunce i was before what a break for heavens sake how long has this been going on dear when in your arms i creep that divine rendezvous dont wake me if im asleep let me dream that its true kiss me twice then once more that makes thrice lets make it four what a break for heavens sake how long has this been going on how long has this been going on","How Long Has This Been Going On?","1990"
"Bob Rockwell","now wont you listen honey while i say how could you tell me that youre goin away dont say that we must part dont break your babys heart you know ive loved you for these many years loved you night and day oh honey baby cant you see my tears listen while i say after youve gone and left me cryin after youve gone theres no denyin youll feel blue youll feel sad youll miss the dearest pal youve ever had therell come a time now dont forget it therell come a time when youll regret it someday when you grow lonely your heart will break like mine and youll want me only after youve gone after youve gone away after youve gone and left me cryin after youve gone theres no denyin youre gonna feel blue and youre gonna feel sad youre gonna feel bad and youll miss and youll miss and youll miss the bestest pal you ever had therell come a time now dont forget it therell come a time when youll regret it but baby think what youre doin im gonna haunt you so im gonna taunt you so its gonna drive you to ruin after youve gone after youve gone away","After You've Gone","1995"
"Bob Rockwell","three little words oh what id give for that wonderful phrase to hear those three little words thats all id live for the rest of my days and what i feel in my heart they tell sincerely no other words can tell it half so clearly three little words eight little letters which simply mean i love you","Three Little Words","1995"
"Bob Rockwell","homesick tired all alone in a big city why should evrybody pity me nighttimes falling folks are a singin they dance till break of day dear old southland with its dreamy songs takes me back there where i belong how id love to be in mammys arms when its sleepy time down south","When It's Sleepy Time Down South","1995"
"Bob Rockwell","you stepped out of a dream you are too wonderful to be what you seem could there be eyes like yours could there be lips like yours could there be smiles like yours honest and truly you stepped out of a cloud i want to take you away away from the crowd and have you all to myself alone and apart out of a dream safe in my heart you stepped out of a dream you are too wonderful to be what you seem could there be eyes like yours could there be lips like yours could there be smiles like yours honest and truly you stepped out of a cloud i want to take you away away from the crowd and have you all to myself alone and apart out of a dream safe in my heart","You Stepped Out of a Dream","1999"
"Bob Rockwell","pack up all my care and woe here i go singing low bye bye blackbird where somebody waits for me sugars sweet so is she bye bye blackbird no one here can love or understand me oh what hard luck stories they all hand me make my bed and light the light ill arrive late tonight blackbird bye bye bye bye blackbird bye bye blackbird no one here can love or understand me oh oh what hard luck stories they all hand me make my bed and light the light ill arrive late tonight blackbird blackbird blackbird bye bye goodbye blackbird im gonna miss ya im gonna miss ya blackbird ya hear that im gonna follow you soon wherever you go why ill follow you theres someone waiting out there for me where youre leading i can see you flappin your wings now youre calling me i hear you calling me i hear ya i hear ya im coming im coming im almost here shes there waiting for me oh how wonderful she looks oh how marvelous blackbird here here flap your wings flap em flap em whistle to me","Bye Bye Blackbird","2005"
"Bob Rockwell","oh danny boy the pipes the pipes are calling from glen to glen and down the mountain side the summers gone and all the roses falling its you its you must go and i must bide but come ye back when summers in the meadow or when the valleys hushed and white with snow its ill be here in sunshine or in shadow oh danny boy oh danny boy i love you so but when ye come and all the flowers are dying if i am dead as dead i well may be youll come and find the place where i am lying and kneel and say an ave there for me and i shall hear though soft you tread above me and all my grave will warmer sweeter be for you will bend and tell me that you love me and i shall sleep in peace until you come to me","Danny Boy","2005"
"Bob Rockwell","when the day fades away into twilight the moon is my light of love in the night i am quite a romancer i find an answer above to being me consolation youre my inspiration this is my imagination time on my hands you in my arms nothing but love in view then you fall once and for all ill see my dreams come true moments to spare for someone you care for our love affair for two with time on my hands and you in my arms and love in my heart all for you","Time on My Hands","2005"
"Bob Rockwell Quartet","embrace me my sweet embraceable you embrace me you irreplaceable you just one look at you my heart grew tipsy in me you and you alone bring out the gypsy in me i love all the many charms about you above all i want my arms about you dont be a naughty baby come to papa come to papa do my sweet embraceable you","Embraceable You","1987"
"Bob Rockwell Trio","love walked right in and drove the shadows away love walked right in and brought my sunniest day one magic moment and my heart seemed to know that love said hello though not a word was spoken one look and i forgot the gloom of the past one look and i had found my future at last one look and i had found a world completely new when love walked in with you one magic moment and my heart seemed to know that love said hello though not a word was spoken one look and i had found a world completely new when love walked in with you","Love Walked In","1989"
"Bob Rockwell Trio","someone that i belong to doesnt belong to me someone who cant be faithful knows that i have to be wonder if i am wrong to give her my loyalty why should i be a lone soul why cant i be my own soul alone from night to night youll find me too weak to break the chains that bind me i need no shackles to remind me im just a prisner of love for one comand i stand and wait now from one whos master of my fate now i cant escape for its too late now im just a prisoner of love whats the good of my caring if someone is sharing those arms with me although she has another i cant have another for im not free shes in my dreams awake or sleeping up on my knees to her im creeping my very life is in her keeping im just a prisoner of love love","Prisoner of Love","1989"
"Bob Roden","when the wintry winds start blowing and the snow is starting to fall then my eyes turn westward knowing thats the place that i love best of all california ive been blue since ive been away from you i cant wait till i get going even now im starting in a call california here i come right back where i started from where bowers are flowers bloom in the spring each morning at dawning birdies sing and everything a sun kissed miss said dont be late thats why i can hardly wait open up that golden gate california here i come california here i come yeah right where i started from where bowers are flowers bloom in the spring each morning at dawning birdies sing and everything a sun kissed miss said dont be late thats why i can hardly wait open up open up open up that golden gate california here i come","California Here I Come","2007"
"Bob Rodriguez","if you hear a song in blue like a flower crying for the dew that was my heart serenading you my prelude to a kiss if you hear a song that grows from my tender sentimental woes that was my heart trying to compose a prelude to a kiss though its just a simple melody with nothing fancy nothing much you could turn it to a symphony a shubert tune with a gershwin touch oh how my love song gently cries for the tenderness within your eyes my love is a prelude that never dies a prelude to a kiss though its just a simple melody with nothing fancy nothing much you could turn it to a symphony a shubert tune with a gershwin touch oh how my love song so gently cries for the tenderness within your eyes my love is a prelude that never dies a prelude to a kiss","Prelude to a Kiss","2005"
"Bob Rodriguez","spring is here why doesnt my heart go dancing spring is here why isnt the waltz entrancing no desire no ambition leads me maybe its because nobody needs me spring is here why doesnt the breeze delight me stars appear why doesnt the night invite me maybe its because nobody loves me spring is here i hear spring is here why doesnt my heart go dancing spring is here why isnt the waltz entrancing no desire no ambition leads me maybe its because nobody needs me spring is here why doesnt the breeze delight me stars appear why doesnt the night invite me maybe its because nobody loves me spring is here i hear","Spring Is Here","2005"
"Bob Ronald","she sits alone waiting for suggestions hes so nervous avoiding all the questions his lips are dry her heart is gently pounding dont you just know exactly what theyre thinking if you want my body and you think im sexy come on sugar let me know if you really need me just reach out and touch me come on honey tell me so hes acting shy looking for an answer come on honey lets spend the night together now hold on a minute before we go much further give me a dime so i can phone my mother they catch a cab to his high rise apartment at last he can tell her exactly what his heart meant if you want my body and you think im sexy come on sugar let me know if you really need me just reach out and touch me come on honey tell me so his hearts beating like a drum cause at last hes got this girl home relax baby now were all alone they wake at dawn cause all the birds are singing two total strangers but that aint what theyre thinking outside its cold misty and its raining they got each other neither ones complaining he says im sorry but im out of milk and coffee never mind sugar we can watch the early movie if you want my body and you think im sexy come on sugar let me know if you really need me just reach out and touch me come on honey tell me so","Da Ya Think I'm Sexy?","1999"
"Bob Rondinelli","what can you hear can you believe it should we remember all the words outta your mouth livin a lie no guts no glory no sign to surrender youre the devil in disguise expect no mercy you are responsible were looking ahead on the train to tomorrow oh catch your wounded pride high above in your tower of lies oh youre on a never ending ride high above in your tower of lies is it all true drawing conclusions all of your stories were passing in review a liars not believed even when he speaks the truth you stand convicted leaving you in loneliness","Tower Of Lies","2014"
"Bob Rowe","isnt it rich are we a pair me here at last on the ground you in mid air where are the clowns isnt it bliss dont you approve one who keeps tearing around one who cant move where are the clowns there ought to be clowns just when id stopped opening doors finally knowing the one that i wanted was yours making my entrance again with my usual flair sure of my lines no one is there dont you love farce my fault i fear i thought that youd want what i want sorry my dear and where are the clowns quick send in the clowns dont bother theyre here isnt it rich isnt it queer losing my timing this late in my career and where are the clowns there ought to be clowns well maybe next year","Send in the Clowns","2000"
"Bob Rowe","come they told me pa rum pum pum pum our newborn king to see pa rum pum pum pum our finest gifts we bring pa rum pum pum pum to lay before the king pa rum pum pum pum rum pum pum pum rum pum pum pum so to honor him pa rum pum pum pum when we come little baby pa rum pum pum pum i am a poor boy too pa rum pum pum pum i have no gift to bring pa rum pum pum pum thats fit to give our king pa rum pum pum pum rum pum pum pum rum pum pum pum shall i play for you pa rum pum pum pum on my drum mary nodded pa rum pum pum pum the ox and lamb kept time pa rum pum pum pum i played my drum for him pa rum pum pum pum i played my best for him pa rum pum pum pum rum pum pum pum rum pum pum pum then he smiled at me pa rum pum pum pum me and my drum","The Little Drummer Boy","2003"
"Bob Rowe","i just came back from a lovely trip along the milky way stopped off at the north pole to spend a holiday i called on dear old santa claus to see what i could see he took me to his workshop and told his plans to me so you better watch out you better not cry better not pout im telling you why santa claus is comin to town hes making a list and checking it twice gonna find out whos naughty and nice santa claus is comin to town he sees you when youre sleepin he knows when youre a wake he knows if youve been bad or good so be good for goodness sake oh you better watch out you better not cry better not pout im telling you why santa claus is comin to town with little tin horns and little toy drums rooty toot toots and rummy tum tums santa claus is comin to town and curly head dolls that toddle and coo elephants boats and kiddie cars too santa claus is comin to town then kids in girl and boy land will have a jubilee theyre gonna build a toyland all around the christmas tree so you better watch out you better not cry better not pout im telling you why santa claus is comin to town now santa is a busy man he has no time to play hes got millions of stockings to fill on christmas day youd better write your letter now and mail it right away because hes getting ready his reindeers and his sleigh so with little tin horns and little toy drums rooty toot toots and rummy tum tums santa claus is comin to town and curly head dolls that toddle and coo elephants boats and kiddie cars too santa claus is comin to town then kids in girl and boy land will have a jubilee theyre gonna build a toyland all around the christmas tree so you better watch out you better not cry better not pout im telling you why santa claus is comin to town","Santa Claus Is Coming to Town","2003"
"Bob Rowe","theres nothing left for me of days that used to be theres just a memory among my souvenirs some letters tied in blue a photograph or two i see a rose from you among my souvenirs a few more tokens rest within my treasure chest and though they do their best to give me consolation i count them all apart and as the teardrops start i find a broken heart among my souvenirs i count them all apart and as the teardrops start i find a broken heart among my souvenirs","Among My Souveniers","2006"
"Bob Rowe","deep within my heart lies a melody a song of old san antone where in dreams i live with a memory beneath the stars all alone it was there i found beside the alamo enchantment strange as the blue up above a moonlit pass that only she would know still hears my broken song of love moon in all your splendor know only my heart call back my rose rose of san antone lips so sweet and tender like petals falling apart speak once again of my love my own broken song empty words i know still live in my heart all alone for that moonlit pass by the alamo and rose my rose of san antone deep within my heart lies a melody a song of old san antone where in dreams i live with a memory beneath the stars all alone it was there i found beside the alamo enchantment strange as the blue up above a moonlit pass that only she would know still hears my broken song of love moon in all your splendor know only my heart call back my rose rose of san antone lips so sweet and tender like petals falling apart speak once again of my love my own broken song empty words i know still live in my heart all alone for that moonlit pass by the alamo and rose my rose of san antone","San Antonio Rose","2006"
"Bob Rowe","and when october goes the snow begins to fly above the smokey roofs i watch the planes go by the children running home beneath a twilight sky oh for the fun of them when i was one of them and when october goes the same old dream appears and you are in my arms to share the happy years i turn my head away to hide the helpless tears oh how i hate to see october go and when october goes the same old dream appears and you are in my arms to share the happy years i turn my head away to hide the helpless tears oh how i hate to see october go i should be over it now i know it doesnt matter much how old i grow i hate to see october go","When October Goes","2006"
"Bob Rowe","cathedral bells were tolling and our hearts sang on was it the spell of paris or the april dawn who knows if we shall meet again but when the morning chimes ring sweet again ill be seeing you in all the old familiar places that this heart of mine embraces all day through in that small cafe the park across the way the childrens carousel the chestnut tree the wishing well ill be seeing you in every lovely summers day in everything thats light and gay ill always think of you that way ill find you in the morning sun and when the night is new ill be looking at the moon but ill be seeing you ill be seeing you in all the old familiar places that this heart of mine embraces all day through in that small cafe the park across the way the childrens carousel the chestnut tree the wishing well ill be seeing you in every lovely summers day in everything thats light and gay ill always think of you that way ill find you in the morning sun and when the night is new ill be looking at the moon but ill be seeing you","I'll Be Seeing You","2010"
"Bob Russell","missed the saturday dance heard they crowded the floor couldnt bear it without you dont get around much anymore though id visit the club got as far as the door theyd have asked me about you dont get around much anymore darling i guess my minds more at ease but nevertheless why stir up memories been invited on dates might have gone but what for awflly diffrent without you dont get around much anymore","Don't Get Around Much Anymore","2003"
"Bob Saker","from russia with love i fly to you much wiser since my goodbye to you ive travelled the world to learn i must return from russia with love ive seen places faces and smile for a moment but oh you haunted me so still my tongue tied young bride would not let my love for you show in case youd say no to russia i flew but there and then i suddenly knew youd care again my running around is through id fly to you from russia with love","From Russia With Love","2004"
