"Band","Lyrics","Song","Year"
"King Tuff","stuck in traffic on my way to no particular place no agenda no master plan no important dates no reason to be alive at all as far as i can tell except for one small detail like a distant ringing bell and it keeps on calling out to me like a lost forgotten lover so i blast off down the shoulder to go looking for the other driving up the coast past the surfers and the seals all them lonely rich folks who only know how to steal science can cure sickness but what can cure my soul it wont be long before im gone laying in some hole so i find an ancient payphone to tell my mother i love her but she aint home she must have gone out looking for the other pull up off the highway the moon is looking wicked good i throw my keys into the breeze and get lost in the woods i think about my old man and the mystery of time when suddenly between the trees i see the lake of fire so i jump right in and take a swim in this pool of unknown colours and as i swim i begin to brim with visions of the other found my car a few days later after i came to her name was blue subaru 1982 i punched the clutch and kick the gas and take off in a burst well it wasnt long before the gas was gone and we were overcome from thirst so we found a dusty truckstop above the vultures hovered and i thought it was the end but then i thought again and that was when i took the hand of the other","The Other","2018"
"King Uszniewicz & His Uszniewicztones","da da da da da dumb dumb da da da da da da dumb dumb da if theres anything that you want if theres anything i can do just call on me and ill send it along with love from me to you ive got everything that you want like a heart thats oh so true just call on me and ill send it along with love from me to you ive got arms that long to hold you and keep you by my side ive got lips that long to kiss you and keep you satisfied oh if theres anything that you want if theres anything i can do just call on me and ill send it along with love from me to you from me to you just call on me and ill send it along with love from me to you ive got arms that long to hold you and keep you by my side ive got lips that long to kiss you and keep you satisfied oh if theres anything that you want if theres anything i can do just call on me and ill send it along with love from me to you to you to you to you","From Me to You","1994"
"King's College Choir of Cambridge","it came upon the midnight clear that glorious song of old from angels playing near the earth to touch their harps of gold peace on the earth could will two men from heavens all gracious king the world in solemn stillness lay to hear the angels sing and i hear them singing sing i do hear them singing the first noel the angel did say was to certain poor shepherds in fields as they lay in fields where they lay they keeping their sheep on a cold winters night that was so deep","It Came Upon a Midnight Clear","1990"
"King's College Choir of Cambridge","o come all ye faithful joyful and triumphant o come ye o come ye to bethlehem come and behold him born the king of angels o come let us adore him o come let us adore him o come let us adore him christ the lord yea lord we greet thee born this happy morning jesus to thee be glory given word of the father now in flesh appearing o come let us adore him o come let us adore him o come let us adore him christ the lord christ the lord","O Come All Ye Faithful","1990"
"King's College Choir of Cambridge","oh little town of bethlehem how still we see thee lie above thy deep and dreamless sleep the silent stars go by yet in thy dark streets shineth the everlasting light the hopes and fears of all the years are met in thee tonight for christ is born of mary and gathered all above while mortals sleep the angels keep their watch of wondering love oh morning stars together proclaim thy holy birth and praises sing to god the king and peace to men on earth oh little town of bethlehem how still we see thee lie above thy deep and dreamless sleep the silent stars go by yet in thy dark streets shineth the everlasting light the hopes and fears of all the years are met in thee tonight","O Little Town of Bethlehem","1990"
"King's College Choir of Cambridge","morning has broken like the first morning blackbird has spoken like the first bird praise for the singing praise for the morning praise for them springing fresh from the world sweet the rains new fall sunlit from heaven like the first dewfall on the first grass praise for the sweetness of the wet garden sprung in completeness where his feet pass mine is the sunlight mine is the morning born of the one light eden saw play praise with elation praise evry morning gods recreation of the new day morning has broken like the first morning blackbird has spoken like the first bird praise for the singing praise for the morning praise for them springing fresh from the world","Morning Has Broken, song (Tune: Bunessan)","2001"
"King's College Choir of Cambridge","o little town of bethlehem how still we see thee lie above thy deep and dreamless sleep the silent stars go by yet in they dark streets shineth the everlasting light the hopes and fears of all the years are met in thee tonight o holy child of bethlehem descend to us we pray cast out our sins and enter in be born to us today o morning starts together proclaim thy holy birth and praises sing to god the king and peace to men on earth o hear thy sacred angels as faith holds wide the door then darkness wakes the glory breaks as christmas comes once more","O Little Town of Bethlehem, carol (arr. from English traditional, ""Fore","2003"
"King's College Choir of Cambridge","o come all ye faithful joyful and triumphant o come ye o come ye to bethlehem come and behold him born the king of angels o come let us adore him o come let us adore him o come let us adore him christ the lord yea lord we greet thee born this happy morning jesus to thee be glory given word of the father now in flesh appearing o come let us adore him o come let us adore him o come let us adore him christ the lord christ the lord","O Come, All Ye Faithful (Adeste fidelis)","2004"
"King's Consort Choir","nella fantasia io vedo un mondo giusto li tutti vivono in pace e onesta io sogno danime che sono sempre libere come le nuvole che volano pien dumanita in fondo allanima nella fantasia io vedo un mondo chiaro li anche la notte e meno oscura io sogno danime che sono sempre libere come le nuvole che volano nella fantasia esiste un vento caldo che soffia sulle citta come amico io sogno danime che sono sempre libere come le nuvole che volano pien dumanita in fondo allanima","Nella fantasia, for voice & orchestra","2007"
"King's Road","memories light the corners of my mind misty water colored memories of the way we were scattered pictures of the smiles we left behind smiles we gave to one another for the way we were can it be that it was all so simple then or has time rewritten every line if we had the chance to do it all again tell me would we could we memories may be beautiful and yet whats too painful to remember we simply choose to forget so its the laughter we will remember whenever we remember the way we were the way we were","The Way We Were","1974"
"King's Singers","oh danny boy the pipes the pipes are calling from glen to glen and down the mountain side the summers gone and all the roses falling its you its you must go and i must bide but come ye back when summers in the meadow or when the valleys hushed and white with snow its ill be here in sunshine or in shadow oh danny boy oh danny boy i love you so but when ye come and all the flowers are dying if i am dead as dead i well may be youll come and find the place where i am lying and kneel and say an ave there for me and i shall hear though soft you tread above me and all my grave will warmer sweeter be for you will bend and tell me that you love me and i shall sleep in peace until you come to me","Last Rose of Summer",""
