Band,Lyrics,Song,Year
Disturbing tha Peace,"Just get on down 
Just get on down 
Just get on down 
Just get on down 
Just get on down 
Just get on down 
Just get on down 
Just get on down 

North, North, South, South, East, East, West, West 
North, North, South, South, East, East, West, West 
North, North, South, South, East, East, West, West 
North, North, South, South, East, East, West, West 

Shit, Got a nigga gone off a fifth of Van Gogh and apple juice
Throw up a deuce, keep my hat banged to the left and ain't scared to act a fool
So what you gon' do, you betta not speak unless spoken to 'cause I bust that shit'it
Dump that Philly, out that back door of the 'Lac wit a yak, gettin' drunk off in it
Through the Chi like North, North, South, South
Niggas talk shit put that work in they mouth
In the East, East, West, West, niggas bust back put a slug in ya chest
'Cause I'm hood, hood, gutter, gutter
Shawty got juice like a muh'fucka
Hood of the hustlas and bloodsuckas
Back in the bricks with that wood

North, North, South, South, East, East, West, West 
North, North, South, South, East, East, West, West 
North, North, South, South, East, East, West, West 
North, North, South, South, East, East, West, West

Stepped in the spot, buyin' yak wit my balla camp
All them bitches holla'n 'bout is (Where them fuckin dollas at)
Yeah, I got them hoes, I got them O's, I got elbows for the low
And yeah, I got white fo's, I got black fo's, I got crack weed on the floor
So get on your grind, get off them lines, get on mine let ya mind take course
See I dip and I ride, switchin the tires, whippin' the Five 85 Chevy Sport
See if you got 16's, I will make that pliz'ay
And I'm dressed like a dope boy, throwin' up them triz'eys

East side, whole Masterfield rainbow
Flat soles, kinda roll where them thangs blow
Good wood, not wastin' that payroll
Five hoes, trap boys got breakfast
My size got air nigga rep that
We ride, rock sells, you can bet that
Car is a Cutlass, pistol is a must bitch
Let a nigga know that his head I will bust quick
Some slum niggas know what I'm talkin' 'bout
Lil Rob fillin' hoes in the parkin' lot
Gimme head while I'm bustin' that two track
It was 12, hit the fence, never looked back
Big thug, hit clubs in the big boy
Dollar Boy, let 'em know how to rip folk
If a bitch broke, gotta let her slide, though
2-0 represent East side ho

North, North, South, South, East, East, West, West 
North, North, South, South, East, East, West, West 
North, North, South, South, East, East, West, West 
North, North, South, South, East, East, West, West

Yeah, I'm up in the club, 4 whippin' up, stowin' up pitchfork (What, what)
Tupac, I'm a rider, hoppin' out, Gangsta Crip Disciples (Yeah!)
While the side of the club is dressed in Blood colors, waitin' on a sign to (Yeah!)
Pull out the gats and attack on them boys that thought that the drama couldn't happen
They blastin' and screamin', we ain't friends, ain't no need to pretend
(Shawty!) Revenge on my mind for my homey that got killed last weekend
His brains was left leakin' while his body got cold
Now it's y'all life that y'all owe
Time to even the score, case closed

North, North, South, South, East, East, West, West 
North, North, South, South, East, East, West, West 
North, North, South, South, East, East, West, West 
North, North, South, South, East, East, West, West

North, North, South, South, East, East, West, West 
North, North, South, South, East, East, West, West 
North, North, South, South, East, East, West, West 
North, North, South, South, East, East, West, West",N.S.E.W.,2002
Disturbing tha Peace,"Chorus:
Here's a lil'story bout some niccas like we
Never should have been let out the elemantary
Dolla Boy and I would like to say
That I'm the hardest nicca from around my way
Here's a lil story bout some niccas like we
Never should have been let out the penatentury*
Tity Boi and I would like to say
That I'm the slickest hustla from around my way

Verse 1: Tity Boi
Ay yo. since I was a youth, I pumped weed out and I been had cash money fa real
Off
Wit expectations and fare time faces
When I was hangin' wit this kid named Jason wit an accent from Jamaica
Our only concearn was diggits and comsumers 'cause we had athis lil city down in
Alabama Boomin' so we just do it
Did it like Nike
And even wit this wifebeater on
I still got somethin up my sleeve
It sounds so hard talkin bout guns
'cause I got a 3-5-7-9 and a Mac11
Get drilled, tip toein by the minute
When 6 wit the clip showin
Nicca where ya click gone
They spreadin out like bugshots
Ain't nobody dyin still alive around here but caught
Exscure me your honor, can ya holla at my nicca

Chrous:
Here's lil story bout some niccas like we never should have been let out the
Penatentury*.
Tity Boi and I would like to say that I'm the slickest hustla from around my way
Here's a lil story bout some niccas like we never should have been let out the
Elementary*
Dolla Boy and I would like to say that I'm the hardest nicca from around
My way

Verse 2: Dolla Boy
Well I'm the dolla boy got gam gallure*
You may have a lot of game but I got much more
And it all brew coo parked run and shoot
Or late night throwin rights, shootin
Dice wit tru and that diamond in the back
Sunroof top, I'm hangin out that bitch
Bout to shut down the block MMMMMMM
AK music, bombass trap wit put the deadanator to it
Niccas get rolled put the mask on and shoot
Street court nicca tell his fam that we sued 'em
Used to run the trap 1-5 on the ruler
But now I'm droppin off like I'm down wit the Cubans
Straight A grad in the Hard Knock Schoolin
Intern work year round brick movin
Get to this money shit real in this music
So get it how you want it lame nicca don't confuse me

Chorus:
Here's a lil story bout some niccas like we
Never should have been let out the elementary*
Glans Circle and I like to say
That we the hardest droppin from around our way
Here's a lil story bout some niccas like we
Never should have been let out the penatentury*
Yeah, yeah. Southside bout to run this
PC SHIT got Dolla Boy
Glans Circle

Verse 3: Dolla Boy
Niccas wanna know how Dolla does it
Bangwell gram need all of my 'causeins lame nicca?
Flexin bout the work when it wasn't?
Didn't think a nicca come to cop wit a oven
Got enough heat to cook the hams and the stuffin'
Take 22's knock the berries out ya muffin
Momma said her son was 6 short from a dozen
Message to my peers man get to this money

Verse 4: Tity Boi?
A hundred miles of runnin ain't no stoppin us
My communtiy service is pickin paper up
If the drought end its glocks and mad men
Tracks and glass mixed wit a macs and mac10s?
I play the playpens and
Stayed in the statepen
Don't think I ain't bigger
'cause my weight thinner
On 22's is how I carry myself
I'm like EWWW I might marry myself, YUP

Chorus:
Here's a lil story bout some niccas like we
Never should have been let out the elementary*
? see em shawty SOUTHSIDE
Know what I mean southside
Here's a lil story bout some niccas like we
Never should have let out the penatentury*
Got this shit... oh how we gon' do it shawty
Off da rip *talkin*
Howeva in any type of weather






",Play Pen to the State Pen,2002
Disturbing tha Peace,"[Shawnna]
Shawnna kick hot shit for bitches that got they baby daddies locked
in the pen' gone; fittin to rock cause he did wrong
Run up on the cops and he hit 'em with the glock with his wig gone
Sellin rock on the big phone
In the projects niggaz run up on your set with the tech' out
Leave you wet with you chest out
Killer niggaz realer niggaz have a nigga fill a never realer nigga
Drill a nigga fuckin with a villain never spill a nigga
Fuck that! Nigga bust back, we in the 'Llac
Me and my bitches all strapped
Puffin the sack and we be sippin on 'gnac
Fittin to react, and pop a nigga for them stacks (OOH-OOOH!)
Niggaz I'm with they put the fifth to your whole melon
Now with the murderers are known felons
I gotta pop a nigga drop a nigga rock a nigga shock a nigga
Lock a nigga fuck a nigga, cop the floppin nigga
Roll for my bitches that be droppin in the strip clubs
Tryin get 'em a lil' somethin
If you gotta take it off, take it off like a boss for the big ones
Then you get you a big gun
Motherfuckers from the Chi like to put it yo' eye if it's on bitch
Put it straight to yo' dome heads
Now you fuckin with them gangsters, ballers, hoes, hustlers
Bangers - niggaz that with them real motherfuckers like whoa!

[Chorus 2X: Ludacris]
It's real real - on the block I been up for days
I gotta keep the steel steel - in case a nigga want to get in the way
So now what's the deal deal?  On the street you got nothin to say
So when I see him I'ma get him (WHAT!) drill him (WHAT!)
Fill him fill him (WHAT WHAT!)

[Twista]
Twista kick hot shit for hoes and thugs
in ghettoes and clubs that get crunk; for my homies locked down 
to whoever hurtin in the hood and ballers with 22's on big trucks
To my thugs that call over to they mob
And to the hustlers that be servin hydro and cocaine
To my niggaz that ain't hoes; if they have to
they will steal a nigga touch a nigga check a nigga cut a nigga
Pull the trigger bust a nigga, yellow motherfucker nigga
Ready to fill and spill a drink, I'm drunk go and weed it up
And I'm talkin about go like I'm smokin the bone
full of some shit that damn sho' wouldn't seed it up
Got you fillin the hole then go see your body 
probably reanimated with all my Legit Ballaz rollin up
Up the streets stuffed the beats
So you see them Navigators, Escalades, Benzes,
Beamers, Excursions - bumpin systems TV's and them 20's spinnin
Mob for them niggaz that done up off them hard times
K-Town, West side, South side
Murder us for the money that's why I'm known to kick a hard rhyme
Whatever set you represent throw it up
If you buck or crunk then take yo' motherfuckin shirt off
Dealers get your work off; you want to party 
full of hustle niggaz killer niggaz gangsta niggaz chill niggaz
Baller niggaz thug niggaz player haters real niggaz

[Chorus]

[Shawnna]
I'ma kick hot shit for bitches up in the industry tryin to compete me
I'm from the hood South side, West side
where niggaz'll put a motherfuckin slug in my enemy
Motown, Pucketown, do or die
The difference between a motherfuckin thug and a gangsta
One's thug in a chamber
Get a nigga stick a nigga put him in a ditch and then forget a nigga
Hit a nigga puck a nigga little with the rocker nigga
Puff that say you love that
We in the 'Llac and put the lemon in the 'gnac
Remy and sacks that got me scummy in the back
Puffin the raps that got me layin out slacks
and it's speakin like, ""Wow, that, blunt let me hit the weed""
Cause I been feelin like
fuck a nigga bust a nigga Shawnna never love a nigga
Chi about to show the motherfuckers how to rush a nigga
Crush that put it on momma
On everything I got e'rything for the drama, puff marijuana
To the Shawnna and put it on ya
Flows who you froze in a comma
We so relentless, you know Chi up in the business
Flows in yo' dome in an instance
Hoes and them folks and the Mo's and the ki's and the fo's
and the BD's and lows and the fiends and the hoes and God!

[Chorus - repeat 2X]",R.P.M.,2002
Disturbing tha Peace,"[Chorus: I-20]
I'm smokin dro, choppin O's
Beat knockin with the big blaze choppin nigga
I'm smokin dro, choppin O's
Ridin dirty, candy paint lookin purty

[Tity Boi]
See I'm addicted to this fast life, it's hard to slow me down
When ya, momma on the crack pipe and ya daddy ain't around
You hear the sounds of the wildest gunshots from a large clip
When we started choppin O's off in this empty apartment
See I was, standin in the track, and my back is the target
With a hammer on my side lookin like I'm layin carpets
See you flip it 'til you get it nigga, we hangin like this cable
On my way, to I-20 nigga I gotta play in Decatur
See I'm ridin and I'm blowin on twenty dollar bills
Cause we, only got that gold; you can't buy regular around here
Stayin true to the prestige and the, economic status
I still stacked 100 G's stayin in my momma's attic
Stackin under Kraft-matics, Willie sleepin on the cheese
See we got ki's and the D's and the P's and TV's
And I'm ridin in C.P. with a glock-40 as my tooley
On the block, with the top back, blowin out that

[Chorus x2]

[I-20]
You know I-20 ridin Regal's - cuttin cutters
Since my wood grains got no stains; be in some other shit
A big body Chevy on the, chrome lookin pretty
If it's dro, or the sticky I need, I'm hittin Tity
On my system knock so loud (loud) they call the cops on me
Ladies show that ass proud (proud) and make it drop for me
This is how a nigga ride (ride) in A.T.L.
And if the twelve drop pull me over (over) I hide the scales
Blowin dro out the song booth, with windows tinted
Ridin clean down Old Campbellton Road, y'all know who in it
Got my seat pushed way back, arm out the window
Niggaz quick to pull a car-jack, when they in ya
I push a Range and my brother Fate in S.S. Impala
Ludacris, with the Escalade, and Tit' quickly follow
Gettin ready for the summer get your cars out and fix it
When it comes to that ridin and smoke, look I'm addicted nigga

[Chorus x2]

[Ludacris]
Yo, gotta get that monkey off my BACK.. sir
I'm smokin dro and choppin O's up in my 'LLAC.. sir
Where the fuck you at when them little bitty ""Animals ATTACK"".. sir?
I'm in the TRAP and when I get caught up in a rapture RELAX.. sir
It's like cataracts to me, actually it HAS to be
A factory of SMOKE and clouds I'm chokin proud
And rhapsody, the SACK of trees is WROTE and now
So potent now the TRACK is squeezed
So CLAP and be happy to be nappy and snappin
Just keep on rappin but nobody comes after me
POP...one hit from the blunt then I stop drop, ROLL!!
Really really want to fuck with the glock glock? NO!!
They so simple better hit that block, SLOW!!
On yo' mark, get get ready, set, GO!!
You could watch this Georgia tech' BLOW!!
If I don't get some of that wet wet wet wet DRO!!

[Chorus x2]",Smokin' Dro,2002
Disturbing tha Peace,"Move bitch, get out the way
Get out the way bitch, get out the way
Move bitch, get out the way
Get out the way bitch, get out the way

Move bitch, get out the way
Get out the way bitch, get out the way
Move bitch, get out the way
Get out the way bitch, get out the way

Oh no! The fight's out
I'ma 'bout to punch yo, lights out
Get the fuck back, guard ya grill
There's somethin' wrong, we can't stay still
I've been drankin' and bustin' two
And I been thankin' of bustin' you
Upside ya motherfuckin' forehead
And if your friends jump in, ""Oh girl"", they'll be mo' dead
Causin' confusion, Disturbing The Peace
It's not an illusion, we running the streets
So bye-bye to all you groupies and gold diggers
Is there a bumper on your ass? No nigga!
I'm doin' a hundred on the highway
So if you do the speed limit, get the FUCK outta my way
I'm D.U.I., hardly ever caught sober
And you about to get ran the FUCK over

Move bitch, get out the way
Get out the way bitch, get out the way
Move bitch, get out the way
Get out the way bitch, get out the way

Move bitch, get out the way
Get out the way bitch, get out the way
Move bitch, get out the way
Get out the way bitch, get out the way

Here I come, here I go
Uh oh! Don't jump bitch, move
You see them headlights? You hear that fuckin' crowd?
Start that goddamn show, I'm comin' through
Hit the stage and knock the curtains down
I fuck the crowd up, that's what I do
Young and successful, a sex symbol
The bitches want me to fuck, true true
Hold up wait up, shorty
""Oh whats up, get my dick sucked, what are you doin'?""
Side linin' my fuckin' business
Tryin' to get my baby child support soon
Give me that truck and take that rental back
Who bought these fuckin' T.V.'s and jewelry bitch, tell me that?
No, I ain't bitter, I don't give a fuck
But I'ma tell you like this bitch
You better not walk in front of my tour bus

Move bitch, get out the way
Get out the way bitch, get out the way
Move bitch, get out the way
Get out the way bitch, get out the way

Move bitch, get out the way
Get out the way bitch, get out the way
Move bitch, get out the way
Get out the way bitch, get out the way

Too bad I'm on the right track
Beef, got the right mack
Hit the trunk, grab the pump pump, I'll be right back
We buyin' bars out, showin' scars out
We heard there's hoes out, so we brought the cars out
Grab the pills cause we popping tonight,
Beat the shit outta security for stoppin' tha fight
I got a fifth of the remy, fuck the Belve and 'cris
I'm sellin' shit up in the club like I work in the bitch
Fuck the dress codes, it's street clothes, we all street niggas
We on the dance floor, throwin' bows, beatin' up niggas
I'm from the D.E.C., tryin' to disrespect D.T.P.
And watch the bottles start flyin' from the V.I.P.
Fuck this rap shit, we clap bitch, two in your body
Grab ya four, start a fight dog, ruin the party
So move bitch, get out the way hoe
All you faggot motherfuckers make way for 2-0
So

Move bitch, get out the way
Get out the way bitch, get out the way
Move bitch, get out the way
Get out the way bitch, get out the way

Move bitch, get out the way
Get out the way bitch, get out the way
Move bitch, get out the way
Get out the way bitch, get out the way",Move Bitch,2002
Disturbing tha Peace,"It's some real niggaz here, it's some real niggaz here
It's some real, it's some real, it's some real niggaz here
It's some real niggaz here, it's some real niggaz here
All the time we steady screamin' DTP for life

Hey, it's clear who on top dawg, I guess I ain't supposed to count
A quarter mill before the deal, my wife was spendin' most of that
Niggaz buy the bar out, thinkin' they could hang with us
Fuck it chaka, buy the club 'cause we brought some change with us

But if my money wasn't straight, I'd go right back and rob a nigga
I'm tryna get that Maybach and goin' back to maul the nigga
The glock will scare most niggaz, but some will try to act hard
SK 32, call that shit my black card

And everybody want somethin' you can bet yo' life on it
Some hoes will try to give you head, others put a price on it
I Dub, young dealer, know the name and take it down
Extacy to cocaine, bag it up and break it down

And yeah, this might surprise you, you are being lied to
Fuck if he real I need some shit that I can ride to
Bang bang, shoot 'em up, nigga that's the motto here
Livin' fo' today 'cause you might not see tomorrow here

It's some real niggaz here, it's some real niggaz here
It's some real, it's some real, it's some real niggaz here
It's some real niggaz here, it's some real niggaz here
All the time we steady screamin' DTP for life

It's some real niggaz here, it's some real niggaz here
It's some real, it's some real, it's some real niggaz here, tell 'em
It's some real niggaz here, tell 'em, it's some real niggaz here, yeah
All the time we steady screamin' DTP for life, look

I ain't gotta try dawg, I can get gangsta too
The ground'll be blood red, your face'll be crip blue
Can of whoop ass I'ma open soon as I spot you
For talkin' all that bullshit off in them interviews

We ain't gotta rob you, we gettin' money over here
No album dropped, still shawty is a millionaire
Put a price on your head if you wanna take it there
Funeral, front row, mama cryin' right there

Jackpot took shots and got dropped all because
He was poppin' off at the mouth like a hoe does
Bitch you can't expose us, naw it ain't no love
When you see us in the streets act like you don't know us

Slim said, ""Don't let up"" so I had to stay on him
Just to set the record straight, this is Lil' Fate, homie
Only use if you or don't know me to light up the streets
Better watch your words when you talkin' 'bout disturbing tha peace

It's some real niggaz here, it's some real niggaz here
It's some real, it's some real, it's some real niggaz here
It's some real niggaz here, it's some real niggaz here
All the time we steady screamin' DTP for life

It's some real niggaz here, it's some real niggaz here
It's some real, it's some real, it's some real niggaz here
It's some real niggaz here, it's some real niggaz here
All the time we steady screamin' DTP for life

Luda, hailin' from blacklanta metropolis and hangin' on the block with us
You don't need laser vision to see it ain't no fuckin' stoppin' us
Keepin' a gang of niggaz that be layin' down that murder game
Get that ass flame broiled, you swear we worked at Burger King

Swervin' mane, up and down the block, rock, steady cops
Heavy on the booty of that Chevy please believe me
Sippin' on that 'nac, I'm ready to put a nigga on his belly or his back
'Cause we ain't goin' down easy

And that's if we go down at all, I'm quick to throw down and brawl
I'll punch a hater in the throat for talkin' nonsense
And we won't back down at all until you back down and fall
So tell Osama DTP's about that bomb shit

We convicts like Akon and Young Jeez
I can blow you off the map with two grips and one squeeze
Just for walkin' on my turf you pay fees
Or get a bullet to yo' teeth, tell these boys to say, ""Cheese""

It's some real niggaz here, it's some real niggaz here
It's some real, it's some real, it's some real niggaz here
It's some real niggaz here, it's some real niggaz here
All the time we steady screamin' DTP for life

It's some real niggaz here, it's some real niggaz here
It's some real, it's some real, it's some real niggaz here
It's some real niggaz here, it's some real niggaz here
All the time we steady screamin' DTP for life",DTP for Life,2005
Disturbing tha Peace,"It's a family affair,  it's a family affair
It's a family affair,  it's a family affair

One child grows up to be
Somebody that just loves to learn
And another child grows up to be
Somebody you'd just love to burn

Mom loves the both of them
You see it's in the blood
Both kids are good to Mom
""Blood's thicker than mud""

It's a family affair,  it's a family affair
Newlywed a year ago
But you're still checking each other out
Nobody wants to blow

Nobody wants to be left out
You can't leave, 'cause your heart is there
But you can't stay, 'cause you been somewhere else!

You can't cry, 'cause you'll look broke down
But you're cryin' anyway 'cause you're all broke down!

It's a family affair
It's a family affair",Family Affair,2005
Disturbing tha Peace,"Georgia, Georgia, Georgia, Georgia

[Chorus: x2]
We on the grind in, Georgia
All the time,it ain't
Nothing on my mind but - Georgia
We ain't playing with you

Country name , Country slang,
Fiend at the liquor store,
Lac' cruisin' , crap shooting,
50 on the 10 to 4,
Overcast the forecast,
Shows clouds from plenty dro,
And we ready for war in the state of Georgia
Dirty words , dirty birds
Its mean in this dirty south
Ever disrespect it and we'll clean out your dirty mouth,
Bulldogs clocking,these lookout boys is hawking,
You gotta be brave in the state of - Georgia
I got 5 Georgia homes where I rest my Georgia bones,
Come anywhere on my land and I'll aim at your Georgia dome
If you get in an altercation just hop on your mobile phone,
And tell somebody you need help in the middle of - Georgia,
We some ATL thrashers,
Scope your pumpkin and smash ya,
We'll come through your hood worst than a tsunami disaster,
Don't know who they gonna get or who them robbers gonna hit
That's why I keep my Georgia tech in the state of - Georgia

[Chorus: x2]

I'm from the home of neckbones , blackeyed peas,
Turnip and collard greens we
The children on the corn dirtier than Bob Marley's pee pee,
G.A the peach state where we stay,
My small city's called Albany - Georgia
Pecan country like catfish with grits,
Candy yams and chitlings,
Grams homemade baked biscuits,
The land of classical caprices and impala super sports,
Ingredients in this peach cobbler called Georgia,
I love the women out in L.A.
And the shopping stores in New York
The beaches in M.I.A
But it ain't nothing like that G.A red clay,
Look on your map we right above Florida,
Next to Bama,
Under the Carolinas and Tennessse you'll see - Georgia,
Where Gladys knights and the midnight train - Georgia,
THE BIRTHPLACE OF MARTIN LUTHER KING
Where ass so plump and hips are thick,
Where Lac' trucks sit on 26's,
Know where you going or you'll get lost,
Found on these plum trees in the south,
These choppas will tomahawk your top down here in - Georgia

[Chorus: x2]

Now I was born in the belly of the bottom of the map,
Where the wet paint drip jelly on pirelliz an the chrome on The chevy when I'm choppin in the trap,
Country as hell, they some warriors, told sum to spray SumthAn the same shape as Florida,
Lookin' for me boy, ya find me, down in Dougherty County in a Small city called Albany - Georgia
Where they use to call us some mammothz,
An now they jocking the grammar
Watch your mouth unless you out for some mannar,
Bunch of hustlas run on every corner like the waffle house in Atlanta,
Or I be camour flag out in sa'avannah - Georgia
Now you might come for Vacation,
Leave on Probation,
Home of the strip club,
Known for the thick gulz
Where the chicks put tips in the tip cup,
Of thick chick in a thong with a big butt
When it gettin' on, won't be cheap when it on like peach tree,
Make a chick take it off like freaknik, down here in- Georgia
When you see them confederate flags you know what it is,
Your folks pick cotton here that's why we call it the field,
I got a Chevrolet on 26's,
I'm from G.A , G.A - Georgia

[Chorus: x2]

Georgia , Georgia , Georgia , Georgia - Georgia",Georgia,2005
Disturbing tha Peace,"Gettin', Gettin', Gettin', Gettin', Gettin', Gettin', Gettin', Gettin'.

I was gettin some head
Gettin' gettin' gettin' some head
I was gettin some head
Gettin' gettin' gettin' some head
I was gettin some head
Gettin' gettin' gettin' some head
I was wit the kinda girl dat make yo toes curl.

I was gettin some head (DTP hustle)
Gettin gettin some head (DTP hustle)
I was gettin some head (DTP hustle)
Gettin gettin some head (DTP hustle)
I was gettin some head (DTP hustle)
Gettin gettin some head (DTP hustle)
I was wit the kinda girl dat make yo toes curl.

Shawnna: Verse 1
You know u nigga want a bitch like me
Diamond wit the white beader rockin nikes
Niggas in the hood wanna call her wifey
If u got a pretty dolla then i probly might be
U niggas popin collars y yo bitches pop ps
Im gon do this for my riders that get down and pop e
Think u can pop me man u need to stop please
See me flyin throu yo hood in a drop top v
Im in the pop top three
And ma pops got gs
Say the watch got chilly
And the rocks got freeze
And u broads ack silly
Tryna jack my steam
U slipin and im pimpin and yo boy chose me
And now he hollin hey lil mama can u give me a sip
Tryna lick somethin somethin bout as big a yo leg
Dis nigga yawn while he talkin so i knew he was red
And bout six in the mornin he forgot wat he said and i was

I was gettin some head
Gettin' gettin' gettin' some head
I was gettin some head
Gettin' gettin' gettin' some head
I was gettin some head
Gettin' gettin' gettin' some head
I was wit the kinda girl dat make yo toes curl.

Shawnna: Verse 2
U know I keep dat 4 5 woofer in my trunk
And i turn it to the max so u can feel it when it bump
When u go to DTP we give the people what they want
And when i come to hustle man u know we aint no punk
And you catch me in the town we blowin dro and gettin drunk
And when we hit the party man u know we keep it crunk
Yo nigga actin tuff he on the flo and gettin stomped
Dont act like u aint know now tell yo hoe to pass the blunt
You bitches wanna be me cause u know that im the shit
You se me on the tv cause i roll wit ludacris
Dont hate shawnna baby just be mad at who u wit (who u wit)
I keep a couple handles so u know im to legit (to legit)
Just so u understand it so u know im bout that bread (im bout that bread)
And dont you try to play me for no joke about my cash (about my cash)
Before i get the tip i get the heat up out the stash (up out the stash)
I hit em on the lo and shawty this is wat he said (wat he said)

I was gettin some head
Gettin' gettin' gettin' some head
I was gettin some head
Gettin' gettin' gettin' some head
I was gettin some head
Gettin' gettin' gettin' some head
I was wit the kinda girl dat make yo toes curl.",Gettin' Some,2005
Disturbing tha Peace,"Turn the fuckin beat on!
Ha!! Yeah, we back! ?
I had to switch back to Dom Perignon in rap baby!
Cock-and-run to stay in the business
Son of a bitch! Double R, look at me now motherf
Two-thousand-and-one, ""Kiss the Game Goodbye"" let's get it on!

It's the J-A-D-A I got beef with the feds and the D-A
I got footage in the game press replay
I got bitches in the club all over me ma take it e-asy
And y'all scared I can tell
and I'ma get Buckss like Milwaukee cause like Sam I Can-sell
I'm that nigga y'all know that
Bang you in the yard then slide off on the early go back
In the streets I flash the cannon like Kodak
And I spray threes so say cheese
Already told you I'm looking for enemies
Double R so of course it's better
I love cornrows and Farrah Fawcett feathers
It's a message in a glass bottle read the letter
Money in the bank membership Visa sweaters
And we ride or d-i-e together

Uh uh come on put ya hands up
Nah, fuck that put ya hands down
Come on put ya hands up
Nah, fuck that put ya hands down

Y'all know I got the master flow, fast or slow
Y'all wanna know who the best is aks ya hoe
The honies don't lie they love it
And they cop for real trust me dogg the thugs will dub it
'Kiss hit you with consecutive hot shit
Therefore nobody never gon' spit like I spit
Get money just to walk through off the books
So when you mention my name shit is off the hook
Shirts is off, titties is out
And you know I'm there the hardest niggas in the city is out
I'm in the club ice over the thermal waitin for you to try me
When the lights get low I'ma burn you
Start with straight shots and then pop bottles
Flirt with the hood rats then pop models
Gotta slay two or more, ma that's our motto
And y'all might get down with the team if y'all swallow

Uh uh come on put ya hands up
Nah, fuck that put ya hands down
Come on put ya hands up
Nah, fuck that put ya hands down

Kiss the game goodbye, the game is mine
You thought wrong change ya mind
I'm the nigga that'll pop the king and scoop the queen
and take over the town with a ruthless team
New S-Type wagon, future green
Gun heavy pants sagging I'm used to cream
Who you know can make a million dollar bail on cash
Never did a day and got the jails on smash, K-I double
I move the perico quick, and just let manteca bubble
'Kiss been a boss, y'all just start working
Now put ya hands up 'til ya arms start hurting
Don't put 'em down 'til I tell you
Whoever wanna be hard headed then find out what the shells do
Now you can put 'em down if you want 
But soon as the hook come back put 'em up

Uh uh come on put ya hands up
Nah, fuck that put ya hands down
Come on put ya hands up
Nah, fuck that put ya hands down",Put Ya Hands Up,2005
