Band,Lyrics,Song,Year
Bobo,"Believe Me

I guess that this is where we've come to 
If you don't want to, then you don't have to believe me 
But I, won't be there when you go down 
Just so you know now 
You're on your own now, believe me

Ryu:
Yo, I don't wanna be the one to blame
You like fun and games, keep playin' 'em
I'm just sayin'
Think back then we was like one and the same
On the right track, but I was on the wrong train
It's like that, now you gotta face the pain
And the devil's got a fresh new place to play
In your brain like a maze you can never escape
The rain, every damn day's the same shade of grey

Mike:
Hey, I used to have a little bit of a plan
Used to, have a concept of where I stand
But that concept slipped right outta my hand
Now, I don't really even know who I am
Yo, what do I have to say? Maybe
I should do what I have to do to break free, and
Whatever happens to you, we'll see
But its not gonna happen with me

I guess that this is where we've come to 
If you don't want to, then you don't have to believe me 
But I, won't be there when you go down 
Just so you know now 
You're on your own now, believe me

Mike:
Back then, I thought you were just like me
Somebody who could see all the pain I see
But you proved to me unintentionally
That you would self destruct eventually
Now I'm thinkin' like the mistake that I made doesn't hurt
But it's not gonna work cause its 
Really much worse than I thought
I wished you were something you were not 
And now this guilt is really all that I've got

Tak:
You turned your back and walk away ashamed
All you got
Is a memory and pain, nothing makes sense
You stare at the ground, and hear my voice inside your head 
When no one else is around
What do I have to say
Maybe I should do what I have to do to break free, yeah
Whatever happens to you, we'll see
But it's not gonna happen to me

I guess that this is where we've come to 
If you don't want to, then you don't have to believe me 
But I, won't be there when you go down 
Just so you know now 
You're on your own now, believe me

(Yeah. Lets go)

I'm guess that this is where we've come to
(Yeah)
If you don't want to, then you don't have to believe me 
But I, won't be there when you go down 
(Yeah)
Just so you know now
You're on your own now, believe me

I'm doing what I have to do
You're on your own now believe me
Whatever happens to you
You're on your own now believe me
What do I have to say?
You're on your own now believe me
Its not gonna happen to me
You're on your own now believe me",Believe Me,2005
"Bobo ""Slim"" Thomas","Well, I wish I was a catfish
Swimmin' in the deep blue sea
I'd have all you women
Fishin' after me
Fishin' after me
Fishin' after me

Well, I'm broke and I'm hungry
Ragged and I'm dirty too
Well, if I clean up, baby, can I
Stay home with you
Stay home with you
Stay home with you

If I can't, can't come in
Let me sit down in front of your door
I'll leave so early, your
Mom won't know
Won't never know
Won't never know

Oh, I know, I know my baby
Well, she's going to jump and shout
When my train pulls in and I
I come walkin' out
Come walkin' out
Come walkin' out

Yes, I'm goin', babe I'm goin'
And your crying won't make me stay
Oh, the more that you cry, baby
More I'll go away
More I'll go away
More I'll go away

Well now I know
I know you don't want me
Why in the world won't you tell me so?
Then I won't be caught, baby, 'round
Your house no more
Your house no more
Your house no more
Your house no more
Your house no more
Your house no more
Your house no more",Catfish Blues,1995
Bobo and Styles,"Believe Me

I guess that this is where we've come to 
If you don't want to, then you don't have to believe me 
But I, won't be there when you go down 
Just so you know now 
You're on your own now, believe me

Ryu:
Yo, I don't wanna be the one to blame
You like fun and games, keep playin' 'em
I'm just sayin'
Think back then we was like one and the same
On the right track, but I was on the wrong train
It's like that, now you gotta face the pain
And the devil's got a fresh new place to play
In your brain like a maze you can never escape
The rain, every damn day's the same shade of grey

Mike:
Hey, I used to have a little bit of a plan
Used to, have a concept of where I stand
But that concept slipped right outta my hand
Now, I don't really even know who I am
Yo, what do I have to say? Maybe
I should do what I have to do to break free, and
Whatever happens to you, we'll see
But its not gonna happen with me

I guess that this is where we've come to 
If you don't want to, then you don't have to believe me 
But I, won't be there when you go down 
Just so you know now 
You're on your own now, believe me

Mike:
Back then, I thought you were just like me
Somebody who could see all the pain I see
But you proved to me unintentionally
That you would self destruct eventually
Now I'm thinkin' like the mistake that I made doesn't hurt
But it's not gonna work cause its 
Really much worse than I thought
I wished you were something you were not 
And now this guilt is really all that I've got

Tak:
You turned your back and walk away ashamed
All you got
Is a memory and pain, nothing makes sense
You stare at the ground, and hear my voice inside your head 
When no one else is around
What do I have to say
Maybe I should do what I have to do to break free, yeah
Whatever happens to you, we'll see
But it's not gonna happen to me

I guess that this is where we've come to 
If you don't want to, then you don't have to believe me 
But I, won't be there when you go down 
Just so you know now 
You're on your own now, believe me

(Yeah. Lets go)

I'm guess that this is where we've come to
(Yeah)
If you don't want to, then you don't have to believe me 
But I, won't be there when you go down 
(Yeah)
Just so you know now
You're on your own now, believe me

I'm doing what I have to do
You're on your own now believe me
Whatever happens to you
You're on your own now believe me
What do I have to say?
You're on your own now believe me
Its not gonna happen to me
You're on your own now believe me",Believe Me,2005
Bobo and Styles of Beyond,"Believe Me

I guess that this is where we've come to 
If you don't want to, then you don't have to believe me 
But I, won't be there when you go down 
Just so you know now 
You're on your own now, believe me

Ryu:
Yo, I don't wanna be the one to blame
You like fun and games, keep playin' 'em
I'm just sayin'
Think back then we was like one and the same
On the right track, but I was on the wrong train
It's like that, now you gotta face the pain
And the devil's got a fresh new place to play
In your brain like a maze you can never escape
The rain, every damn day's the same shade of grey

Mike:
Hey, I used to have a little bit of a plan
Used to, have a concept of where I stand
But that concept slipped right outta my hand
Now, I don't really even know who I am
Yo, what do I have to say? Maybe
I should do what I have to do to break free, and
Whatever happens to you, we'll see
But its not gonna happen with me

I guess that this is where we've come to 
If you don't want to, then you don't have to believe me 
But I, won't be there when you go down 
Just so you know now 
You're on your own now, believe me

Mike:
Back then, I thought you were just like me
Somebody who could see all the pain I see
But you proved to me unintentionally
That you would self destruct eventually
Now I'm thinkin' like the mistake that I made doesn't hurt
But it's not gonna work cause its 
Really much worse than I thought
I wished you were something you were not 
And now this guilt is really all that I've got

Tak:
You turned your back and walk away ashamed
All you got
Is a memory and pain, nothing makes sense
You stare at the ground, and hear my voice inside your head 
When no one else is around
What do I have to say
Maybe I should do what I have to do to break free, yeah
Whatever happens to you, we'll see
But it's not gonna happen to me

I guess that this is where we've come to 
If you don't want to, then you don't have to believe me 
But I, won't be there when you go down 
Just so you know now 
You're on your own now, believe me

(Yeah. Lets go)

I'm guess that this is where we've come to
(Yeah)
If you don't want to, then you don't have to believe me 
But I, won't be there when you go down 
(Yeah)
Just so you know now
You're on your own now, believe me

I'm doing what I have to do
You're on your own now believe me
Whatever happens to you
You're on your own now believe me
What do I have to say?
You're on your own now believe me
Its not gonna happen to me
You're on your own now believe me",Believe Me,2005
Bobo General,"Do you believe in magic in a young girl's heart
How the music can free her, whenever it starts
And it's magic, if the music is groovy
It makes you feel happy like an old-time movie
I'll tell you about the magic, and it'll free your soul
But it's like trying to tell a stranger 'bout rock and roll

If you believe in magic don't bother to choose
If it's jug band music or rhythm and blues
Just go and listen it'll start with a smile
It won't wipe off your face no matter how hard you try
Your feet start tapping and you can't seem to find
How you got there, so just blow your mind

If you believe in magic, come along with me
We'll dance until morning 'til there's just you and me
And maybe, if the music is right
I'll meet you tomorrow, sort of late at night
And we'll go dancing, baby, then you'll see
How the magic's in the music and the music's in me

Yeah, do you believe in magic
Yeah, believe in the magic of a young girl's soul
Believe in the magic of rock and roll
Believe in the magic that can set you free
Ohh, talking 'bout magic

Do you believe like I believe (Do you believe in magic)
Do you believe like I believe (Do you believe, believer)
Do you believe like I believe (Do you believe in magic)",Do You Believe,
Bobo General,"The room has suddenly grown cold
And outside in the street it's raining
You packed your bags and said good-bye
You took my heart without explaining
How could you go
How could you go
We had a love most people never know
Stop
Before you break my heart

[Chorus:]
I want you back
Don't care what I have to do
I want you back
I want you back
Gotta get it through to you
I want you back
If I can make you see only you can fill the need in me
If you walk away you'll regret it someday
Please
Stay!

This room is full of memories
And shadows of the past remind me
Of all the love I gave in vain
And all the hurt I feel inside me
I want you back
I want you back
We had a love most people never know
Stop
Before you break my heart

[Chorus:]

I want you back
I
I want you back

I want you back
I
I want you
I want you back!
We had a love most people never know
Stop
Before you break my heart

[Chorus:] (Fade)",I Want You Back,1999
Bobo General,"Music is my life, music is the key 
Cause the rhythm's gonna get me, music takes me higher 
Music is my life, music is the key 
You're my first, you're my last, you are burning like a fire 
Nananananananana, nananananana 
Nananananananana, let's sing together 

Say go, say when, say now, say hit-it, 
Ready to rumble dance here we go 
So, going up and down round and round on and on 
Yo - how to throw a pair of dice 
Be hot, be cool, be cold as ice 
This is the time you better don't think twice 
Be nice, emergency 
Go mad, go wild, go nasty, go free 
Like a maniac, you're feeling wild with me 
Ringdingdong ringadinga ding dong 
In a seventies style, it's a bobo song 
Time for the old school, play that track 
Mister deejay - bring the beat back, bring it back 
Place is packed, so many different people 
All ages and races, sweet faces 
Come from different places 
Get on the floor you better dance tonight, music is my life 

Five, four, three, two, one here we go, 
Get dressed get going it's time for the show 
Now tonight is the night we're dancing you know 
How - how to dive in the sea of sounds 
Right place, right time, right moment, right spot 
Everybody in the place feel hot and dance 
Wiggle around you better take this chance 
Feel free, feel wild, feel crazy, feel young 
Like kids are playing, have some fun 
Everyday like a playball, everybody party all 
Day no work, I'll play, okay, hooray, summer holiday 
Dance to the beat of the street 
Where the heat is on, till the break of dawn 
We gonna moove on strong - sing this song 
Everybody in the place enjoy the party, music is my life 

It's a new generation 
Without hate and frustration 
Promised land, promised nation 
Without pain, without control 

",Music Is My Life,1999
Bobo General,"[Chorus 1]
We are what we are - Together
And we went so far - Together
We are what we are - Together
We all long for a land to be free

The promised land is close to you
The rain is gone, the sky is blue
Hand in hand we can survive
We're fighting for a better life

It's a new generation
Without hate and frustration
Promised land, promised nation
Without pain, without control

[Chorus 2]
Together forever for all the time
Together we welcome the secret sign
Together in freedom we take the chance
Together forever we will be friends

[Chorus 1]

Planet earth is our place
Insanity is lost in space
A world of dreams is what we share
Where honesty is in the air

It's a new generation
Without hate and frustration
Promised land, promised nation
Without pain, without control

[Chorus 2]

[Chorus 1]

[Rapping]
Together forever for all the time
Together we welcome the secret sign
Together in freedom we take the chance
Together forever we will be friends

[Chorus 2]

[Chorus 1]

Together forever
We'll be together
We are long for a land to be free",Together,1999
Bobo Hope,"We're off on the road to Morocco
This camel is tough on the spine (hit me with a band-aid, Dad)
Where they're going, why we're going, how can we be sure
I'll lay you eight to five that we'll meet Dorothy Lamour 
(Yeah, get in line)

Off on the road to Morocco
Hang on till the end of the line (I like your jockey. Quiet)
I hear this country's where they do the dance of the seven veils
We'd tell you more (uh-ah) but we would have the censor on our tails 
(Good boy)

We certainly do get around
Like Webster's Dictionary we're Morocco bound

We're off on the road to Morocco
Well look out, well clear the way, 'cause here we come
Stand by for a concussion
The men eat fire, sleep on nails and saw their wives in half
It seems to me there should be easier ways to get a laugh
(Shall I slip on my big shoes?)

Off on the road to Morocco
Hooray! Well blow a horn, everybody duck
Yeah. It's a green light, come on boys

We may run into villains but we're not afraid to roam
Because we read the story and we end up safe at home (yeah)
Certainly do get around
Like Webster's Dictionary we're Morocco bound

We certainly do get around
Like a complete set of Shakespeare that you get
In the corner drugstore for a dollar ninety-eight
We're Morocco bound

Or, like a volume of Omar Khayyam that you buy in the
Department store at Christmas time for your cousin Julia
We're Morocco bound
(We could be arrested)",The Road to Morocco,2002
Bobo in White Wooden Houses,"You and me feeling good and obviously
Together we were so strong
I felt so nice when I walked down to the city
On the way to you away from here
Now it's spring again
I come home with a bunch of flowers
Only to stimulate my mind
Sometimes I need such a thing for confidence
I'm looking for improvements of sense
You know it's a worn out old phrase
That you don't love me anymore
I appear four times a day with a new make up
Just to hide my tears
I want to be so strong but what do you want?
I want to be so strong
But hey what do you want?
I look for compensation my vision falls to pieces
I look for satisfaction when I can't sleep at night
But I don't need a substitute
I wanna keep you on my side
Maybe lovin' you isn't the right thing to do
It might be better I go my own way please tell me
Should I go or should I stay?",I Wanna Keep You on My Side,2002
