Band,Lyrics,Song,Year
Slam Stewart,"Everybody loves my baby
but my baby don't love nobody but me
nobody but me
Yes
everybody wants my baby
but my baby don't want nobody but me
that's plain to see!

I'm his sweet Judy
and he is my loving man!
No time to do his duty
loves me like no other can!

Everybody loves my baby
but my baby don't love nobody but me
nobody but me
Everybody wants my baby
but my baby don't want nobody but me
that's plain to see!

Now when my baby kisses me
upon my rosy cheeks -
I just let those kisses be
don't wash my face for weeks!

Everybody loves my baby...",Everybody Loves My Baby,2011
Slam Stewart,"Pack up your troubles and just get happy 
Ya better chase all your cares away 
Sing Hallelujah, come on get happy 
Get ready for the judgment day 

The sun is shining, come on get happy 
The Lord is waiting to take your hand 
Shout Hallelujah, come on get happy 
We're going to the Promised Land 

We're heading 'cross the river 
Gonna wash our sins in the tide 
It's all so peaceful 
On the other side 

Forget your troubles and just get happy 
Ya better chase all your cares away 
Sing Hallelujah, c'mon get happy 
Get ready for the judgment day 

The sun is shining, come on get happy 
The Lord is waiting to take your hand 
Shout Hallelujah, come on get happy 
We're going to the Promised Land 

We're heading 'cross the river 
Wash our sins away in the tide 
It's all so peaceful 
On the other side 

We're heading 'cross the river 
Wash our sins away in the tide 
It's all so peaceful 
On the other side 

Forget your troubles and just get happy 
Ya better chase your cares away!
Sing Hallelujah, come on get happy 
Get ready for the judgment day",Get Happy,2012
Slamm Syndicate,"Sorry, kein' Bock auf deine Story! 
Sorry, kein' Bock auf deine Story! 
Sorry, kein' Bock auf deine Story! 
Geh zu 'ner Parkuhr, kost' 2 Mark nur! 

Sorry, kein' Bock auf deine Story! 
Sorry, kein' Bock auf deine Story! 
Sorry, kein' Bock auf deine Story! 
Geh zu 'ner Parkuhr, kost' 2 Mark nur!
 
Woher du kommst und wer du bist, ist mir sowas von egal, auch wenn 
Gefährlich ist geht mir dein Dummgelaber voll auf den Sack, du machst rum 
Wie ein Pimp, der 10 Dinger laufen hat! Doch deine Augen verraten innere 
Daten, ich seh immer noch, wie sie dich von Garten zu Garten 
Jagen, deine Straßen waren für kleine Hasen gemeiner Schaden, 
Deswegen gabes keine Fragen alleine wagen war jetzt angesagt, also wurde man Soldat, 
Machte den Schritt über'n See, wurde dann voll stark! Obwohl die 
Nachbarschaft noch lacht, wird einfach in einer anderen Stadt der Chef 
Gemacht! 
Es wird Zeit, dass dich einer unterbricht! 
Es macht keinen Sinn, wenn man noch weiterspricht! 
Ich sage dir die Wahrheit in dein Gesicht! 
Deine Geschichten interessieren mich leider nicht! 

Kein' Bock zu labern, echt wahr Mann! 
Bin kein Barmann, hab kein Woll-Pully 
Und auch kein langes Haar mehr! 
Digger, sorry, kein Bock auf deine Story, 
Geh zu 'ner Parkuhr, kost 2 Mark nur! 

Sorry, kein' Bock auf deine Story! 
Sorry, kein' Bock auf deine Story! 
Sorry, kein' Bock auf deine Story! 
Geh zu 'ner Parkuhr, kost' 2 Mark nur! 

Sorry, kein' Bock auf deine Story! 
Sorry, kein' Bock auf deine Story! 
Sorry, kein' Bock auf deine Story! 
Geh zu 'ner Parkuhr, kost' 2 Mark nur!

Alter spar dir dein Gelaber
Weil ich keinen Bock drauf habe und wage dich 
Ja nicht mich nach meiner Meinung zu fragen! 
Ich sage dir die Wahrheit 
Direkt in die Fresse, in deinen Texten fehlt der Flow und in deinen Beats 
Fehlen die Bässe! 
Auch wenn ein paar von deinen Stories in den Charts stehen, 
St es klar, dass die erfunden sind, wie die von Mark Twain! 
Außerdem ist es irrelevant, ob du leidest
Entweder du fightest oder du  meidest eine Welt, 
Die voller Neid ist! du wirst verlieren, während wir expandieren 
Und die andere Seite wird die dicken Schecks kassieren! 
Yo, unser Untergang wird net passieren
Weil wir wie Soldaten über fette Track marschieren! 
Es wird Zeit, dass dich einer unterbricht! 
Es macht keinen Sinn, wenn man noch weiterspricht! 
Ich sage dir die Wahrheit in dein Gesicht! 
Deine Geschichten interessieren mich leider nicht! 
 
Kein' Bock zu labern, echt wahr Mann! 
Bin kein Barmann, hab kein Woll-Pully 
Und auch kein langes Haar mehr! 
Digger, sorry, kein Bock auf deine Story, 
Geh zu 'ner Parkuhr, kost 2 Mark nur! 

Kein' Bock zu labern, echt wahr Mann! 
Bin kein Barmann, hab kein Woll-Pully 
Und auch kein langes Haar mehr! 
Digger, sorry, kein Bock auf deine Story, 
Geh zu 'ner Parkuhr, kost 2 Mark nur! 

Wenn du denkst, dass ein Typ bei dir schleimen muss, 
Sag ich dir direkt darauf hab ich keine Lust! 
Dreh mich um und verzichte auf einen Kuss
Du bist eh besser alleine mit deinem Frust! 
Gib mir net den Alle Männer sind 
Schweine-Stuss! Wenn du eine bist
Die auf meine Scheine guckt, es gibt bei 
Dir für einen ohne Cash kein Genuss
Darum ist klar, warum du immer wieder weinen musst! 
Du willst wie alle Schnecken Diamantenketten, würdest du mich 
Retten, wenn ich überhaupt nix hätte? Die nette Silhouette ist nur eine 
Fassette und von denen gibt es eine ganze Palette! 
Es wird Zeit, dass dich einer unterbricht! 
Es macht keinen Sinn, wenn man noch weiterspricht! 
Ich sage dir die Wahrheit in dein Gesicht! 
Deine Geschichten interessieren mich leider nicht! 

Kein' Bock zu labern, echt wahr Mann! 
Bin kein Barmann, hab kein Woll-Pully 
Und auch kein langes Haar mehr! 
Digger, sorry, kein Bock auf deine Story, 
Geh zu 'ner Parkuhr, kost 2 Mark nur! 

Kein' Bock zu labern, echt wahr Mann! 
Bin kein Barmann, hab kein Woll-Pully 
Und auch kein langes Haar mehr! 
Digger, sorry, kein Bock auf deine Story, 
Geh zu 'ner Parkuhr, kost 2 Mark nur!",Sorry,1984
Slaner,"Fate silent warriors sleeping souls will arise
Once forgotten soldiers come to life
Fallen mercenary, dormancy is done
Not content with wars we never won

Memories can't ignore
Anguish of before
Satisfy the scorn
Rise ghosts of war

Target assassinate, time of your life has expired.
Hatred victimize, gaze in their eyes as they die
Violence inflicting of pain, savage morticians deny
Drive in the salt in the wound, arouse the subconscious to lie

Memories can't ignore
Anguish of before
Satisfy the scorn
Rise ghosts of war

I deal in pain
All life I drain
I dominate
I seal your fate

I deal in pain
All life I drain
Memories can't ignore
Rise ghost of war",Ghosts of War,2009
Slank,"One by one, ticking time bombs won
It's not the secrets of the government
That's keeping you dumb
Oh, it's the other way around, wait
What's that sound?
One by one, baby, here they come

He wants it easy he want it relaxed
Said I can do a lot of things, but I can't do that
Two steps forward, then three steps back alright

Won't you take a walk outside? Oh, no
Can't you find some other guy? Oh, no
One-nine-six-nine, what's that sound? Oh, no
Keeping down the underground, oh, no

The end has no end, the end has no end
The end has no end, the end has no end

He want it easy, he want it relaxed
Said I can do a lot of things, but I can't do that
Two steps forward then three steps back, it won't be easy

Won't you take a walk outside? Oh, no
Can't you find another guy? Oh, no
One-nine-six-three, what's that sound? Oh, no
Keeping down the underground, oh, no

The end has no end, the end has no end
The end has no end, the end has no end
The end has no end, the end has no end
The end has no end, the end has no end",Kalau Kau Ingin Jadi Pacarku,1995
Slapdash,"Just as words are nothing worth
When kept unspoken
All love given was gone lost and left
Crippled and broken

Crippled and broken
All love given gone to waste
All tears shed turned to liquid hate
All feelings lost their taste
'cause no love, no love lasts

No love-no love left
No love-(love)-no love lost

Truth hurts and time heals slow
I'll cry unseen
All love given gone lost only alive
Within a dream

Within a dream
(each drop served soothes the pain
I'm done with crying
each glass emptied fills my brain of memories
of my self-denying)

No love, no love, no love, no love
(shiny happy people slowly killing me
don't they know
that a pot on the shoulder don't mean shit
when a person's lost at sea...)",No Love Last,1997
Slapdash,"Morning sun sets another day
Lights up my world ten shades of gray
I find no strength I've lost it all
No one's around when I take the fall

Day by day all moulded gray
It's all the same not much to say
You spoke to me with silvertongue
Spoke of times to come as past begun
Tope my soul with velvet lies
Then buried trust under pale bruised skies

I'm on my own
I can't count anymore on you
I'm on my own
All the lies that you told I've seen throug

I can't take another day
All the colours turned to gray

I'm leaving everything behind
I'm so fed up there's nothing more to find

Walls closing in on who I used to be
Whithin my mind rage roaming free
Insomiac state of inebriety
Turned my back on what's sanity

I'm on my own...
I can't take another day
All the colours turned to gray
I'm on my own leaving everything behind
So fed up there's nothing more to...find

I'm leaving evrything behind...
I'm on my own
I can't count anymore on you
I'm on my own
All my doubts has come true
I'm on my own
I can't count anymore on you
I'm on my own
All the lies that you told I've seen through",On My Own,1997
Slapp Happy,"Waitin' for a sign from you
Waitin' for a signal to change
Have you forgotten what your love can do?
Is this the end?

Walkin' through the city
Your boots are high-hilled and are shinin' bright
The sun was sparklin' on the shaft of your knife
Flower in the morning rain
Dying in my hand

Was it all in vain?
Superstar in your own private movie
I wanted just a minor part
But I'm no fool
I know you're cool
I never really wanted your heart

You're the keeper of the key
Nothing seems to bring you down
It's not that cool when I'm around
Flower in the morning rain
Dying in my hand

Was it all in vain?
Superstar in your own bright movie
I wanted just a minor part
But I'm no fool
I know you're cool
I never really wanted your heart
",Blue Flower,1972
Slapp Happy,"He used to wear fedoras
Now he sports a fez
There's cabalistic innuendoes
In everything he says
Sucking at a cigarette
Picking up a thread
Underneath the Casablanca Moon

He lurks behind a paper
In the shadow of a mosque
He can't count all the continents
He's crossed
Trailing party-members leaving
Footprints in the frost
Underneath the Acnalbasac Noom

His cover was broken somewhere
In Hoboken the man said his
Case was lost
He was sent to the Orient
A double agent double crossed
There's a cocaine stain on his moustache
The pieces of his puzzle just don't join
People in high places want to stamp his
Many faces on a trans-caucasian coin
He'd better watch his step 'cause sooner or
Later they'll find his headless body in 
A ventilator

Lines of sweat like tinsel start to smart his eyes
Neurosis seeps like cement through the cracks in his disguise
In a dark bordello he cracked a mirror with his cries
Underneath the Casablanca Moon

Yesterday evening he finally lost his mind
The walls fell in & all mankind
Was standing before him all raising their hands
In a significant gesture which he didn't understand

His cover was broken somewhere
In Hoboken the man said his
Case was lost
He was sent to the Orient
A double agent double crossed

He used to wear fedoras
Now he sports a fez
There's cabalistic innuendoes
In everything he says
Sucking at a cigarette
Picking up a thread
Underneath the Casablanca Moon

He'd better watch his step 'cause sooner or
Later they'll find his headless body in 
A ventilator",Casablanca Moon,1973
Slapp Happy,"Get in line, keep in time with the Drum
And don't forget you're nothing yet but water.
Are you coming to or coming from
The understanding that I'm handing it to you?
Or is that a job you don't dare do?
Hey, my pretty flower, there's a letter for you
(you'll find it on the shelf)
Though it was posted in Calcutta
I know it's just another that you've written to yourself.


We watched a distant drummer flashing
On the beat in all his parrot fashions.

Get in line keep in time with the Drum
Don't move your feet until the next beat comes -
One of the laws says pause between
Though I would hate to make the game seem mean
Hey my pretty flower can you guess where I've been?
Can you guess at all?
Well I've been to your rooms and learned
You have all the mirrors turned against the wall.

I've watched a different drummer flashing
On the beat in all his Parrot Fashions.

Listen now to the sound of the Drum -
And don't forget we're nothing yet but water.
It won't be pleasant when the present time is done
Testing nightly 'neath a sprightly summer moon
Your spirit like a jelly in a spoon.
Hey ma jolie fleur there's a cat in the room
And it's not the type you're used to
Though I think I led it to the sink
And tried to make it drink
It refused to.",The Drum,1973
Slapp Happy,"He's only half-way there
He's only half-way there
Told me my fortune was enough for me 
That I would rather be
Lying lonely in the houses
Than stand along the river-side
Wearing nothing but the ruby
Bequeathed to me by him when he died

He's only half-way there
He's only half-way there
If I hadn't disappeared
In spring that year
I'd have sent him home again

He's only half-way there
He's only half-way there
A large courtege of mourners all agree
That it was really he
Huddled in a blanket
Chewing on a ball-point pen
They stood him up against the wall
& set him off again
Around the karmic wheel big deal 
You can't get me that way
I read between the lines
Of the notice in the Times
& this is what they say
He's only half-way there
He's only half-way there
Half-way there",Half-Way There,1973
Slapp Happy,"Here's a little something for all you lovers - snuggle deep down inside your covers - make yourselves at home & I'll sing you a song about Love.
It can start with just a chance encounter - he doesn't know a single thing about her - a casual thread, but Lo! it led to love.
It takes too long to see what it takes two to love for it's soon to be.
And you could easily forget to get upset & set it free.
Sitting in a window at a table alone
Watching dancers circle to a saxophone - they get up to go, now they know it's love.
It couldn't be a nicer situation,
Setting off on a long Vacation - the passage is booked & they're both hooked on love.
From the tip of Alaska to the edge of Spain - in every long & latitude you'll find it's the same - put one & one & one to?get?her & you're not to blame if it's Love.",A Little Something,1973
Slapp Happy,"Casquette de moire,
Quéquette d'ivoire,
Toilette très noire,
Paul guette l'armoire,
Projette languette sur poire,
S'apprête baguette et foire.

His silhouette rancid with diamonds
Splinters like a stone in the palm of your hand,
He's rigged with a nebula's sine qua non a festival of bones on a table of sand.

Casquette de moire,
Quéquette d'ivoire,
Toilette très noire,
Paul guette l'armoire,
Projette languette sur poire,
S'apprête baguette et foire.

He's jerking like an angel on the ladder of crime,
Diluting syrup ditties at the peak of their prime,
He's spun like a ghost in the radio cool?
He's everybody's child but nobody's fool,
He's cool like the breast of a radio ghost,
His name is Mr. Rainbow and tonight he's your host.

Projette languette sur poire,
S'apprête baguette et foire.",Mr. Rainbow,1973
Slapp Happy,"There he goes,
My hero in wonderful clothes - passing me by,
Giving me the eye - he's my guy
& he really keeps a secret.
From the start his message went
Straight to my heart & over my head -
It was heavy as lead -
I'd tell you what he said, but I swore
I'd keep it a secret.
There's something hypnotising
'bout the way he walks -
There's something supernatural
'bout the way he talks -
Coming from another world I know
He doesn't find it easy -
Keeps me up every night telling me
The same old story -
I told him it's alright no matter
What he does he never really bores me.
Strike a light!
He's making my daze into night -
Mercurial man, he does everything
He can
& my only plan
Is to keep his secret secret.
Shoobeedoobeedoo...",The Secret,1973
