Band,Lyrics,Song,Year
Rob Bochnik,"There's a light inside us all
It only shines as bright as we are
And you've fallen down so low
I'm really worried for you, I'm really worried

And even on our worst days
We were never quite like this
We've gone as far as we can go
Without crashing

At the heart of every fool
Cause they hope you're stupid too
And there's this lingering, this lingering feeling
That I'm missing something, I feel like I'm missing something

And even at your worst babe
You were never as bad as this
You've gone as far as you can go
Without dying",High Horses,2009
Rob Bochnik,"Forgive me, lover, for I have sinned
For I have done you wrong
For I have hurt beyond repair
And when tears occurred no I didn't care
Forgive me, lover, for I have sinned
For I have loved you wrong

But this estranged organ in my chest
Still beats for you
It will not rest, so
Meet me in our secret place
When the time has come

And rest your head in my lap and I'll
Beat you out of your own trap and I'll
Show you how much you have missed truth in
Time we were in right

Ah
Ah

So forgive me, lover, for I have sinned
For I have let you go

But you've been
Every now and then on my mind
You're every now and then on my mind 
You're every now and then on my mind
You're every now and then on my mind
You're every now and then on my mind
You're every now and then on my mind
You're every now and then on my mind
You're every now and then on my mind

You're on my mind
On my mind
On my mind 
On my mind 
On my mind 
On my mind 
On my mind 
On my mind 

On my mind
On my mind 
On my mind 
On my mind 
On my mind 
On my mind 
On my mind 
On my mind",I Have Loved You Wrong,2009
Rob Bochnik,"Use the truth
As a weapon
To beat up all your friends
Every chink in the armor
An excuse to cause offense
And the boys from the hallway
Calling out your name
And true love will,
Find them in the end

You are restless
I was somewhere less secure
So I went running to the road
And so now that the longest of places I was
I quit my rambling and come home

Cause maybe I was born to hold you in these arms
Maybe I was born to hold you in these arms

And your saints
And your mantra
And your things, to keep you calm
If you stay
With that asshole
Is gonna do you harm
As the voice singing loudly on the radio
Just for you
And good fortune
Will find him in the end

Maybe I was born to hold you in these arms
Maybe I was born to hold you in these arms
Maybe I was born to hold you in these arms
Maybe I was born to hold you in these arms",In These Arms,2009
Rob Bochnik,"In the time when your word was true
You gave your heart to the ones you knew
And at the dawn of every day
There was a light that you gave to me

You gave yourself to a love that conquers
Give everything to a love that conquers

And then you came and you came real close
You gave the heart what it wanted most
You took your time and you made it clear
Maybe time will erase some things

You ran away with a love that conquers
You ran away with a love that conquers

Too long in the shadows, too long in the dust
Gave yourself to a love that conquers",Love That Conquers,2009
Rob Bochnik,"I wanna sit you down and talk
I wanna pull back the veils
And find out what it is I've done wrong
I wanna tear these curtains down
I want you to meet me somewhere
Tonight in this old tourist town
And we'll go

Low rising
'Cause we've gotta come up
We've gotta come up
Low rising
'Cause there's no further for us to fall
Low rising
'Cause I fear we've had enough
Low rising
Oh, for the love of you

I wanna take you to the rock
I wanna jump right in
And see what that big ocean's got
I wanna turn this thing around
I wanna drink with you
All night, till we both fall down
Till we go

Low rising
'Cause we've gotta come up
We've gotta come up
Low rising
'Cause there's no further for us to fall
Low rising
And I fear we've had enough
Low rising
Oh, for the love of you

Low rising
'Cause we've gotta come up
We've gotta come up
Low rising
Til I fear we've had enough
Low rising
'Cause there's no further for us to fall
Low Rising
Oh, for the love of you

For the love of you
Low rising, low rising
I wanna sit you down and talk
I wanna sit you down and talk about it now",Low Rising,2009
Rob Bochnik,"Just before the rain came down
The sun came out at last
And as for all assumptions made
And questions never asked

I know we're not where I promised you we'd be by now
But maybe it's a question of who'd want it anyhow

Even now the rainbows seem closer to your hand
It doesn't know where to stop the measure of a man

Okay we're not what I promised you we would become
But maybe its a question of how much you really want

Had enough?
Had enough?
There's plenty more where that came from now

Your feeling bored,
Swallowed up
We got hours on you now

Just before the rain came down
The sun came out at last
And as for all assumptions made
And questions never asked

Okay, I'm not what I promised you I would become
I know, we're not what I promised you we'd be by now

Had enough?
Had enough?
There's plenty more where that came from now

Feeling bored
Swallowed up
We got hours on you now

Still on top
Crawling up
We got hours on you now",The Rain,2009
Rob Bochnik,"What you give
Or give out
Is the only thing
That really counts

Will you stay?
Here, stay around
And we'll both start
Working this out

But it's not just this
It's everything
You're so hard to reach
And impossible to really read
When your talking with
Two tongues in your mouth
And I wish you'd quit this muttering
Beneath your breath
It's killing me
You've not said nothing yet

Who's talking now?
Well I guess I'm starting to doubt
Are we lost here?
Are you keeping count?
Are you gonna just let me down?

Well your hearts not in it
It's everywhere
It's plain to see
You're still wondering
What's underneath
You're so curious
It's two strikes and you're out
And I'm tiring of this attitude
How you fall to pieces
Like you do
I can't believe you're still talking
With two tongues in your mouth
After all we've been around

Will you hear me out?
You're the only thing
That really counts",Two Tongues,2009
Rob Bochnik,"What's the verb to cut it off
To take a knife and hack away at it
You keep saying, well that's the last time
You'll pretend to, stand aside no matter what we did
I'm not playing, 

All in all then just enough to
Keep us sliding back to where we were

I'm not waiting
And that's the last time you'll get friends who
Will tell you that you walked away with it
When you barely scraped through

I'm tired of fighting she said
Your words just rattle my head
All joy escapes in the dark
And I can't make this make sense
Your words are lost to me now
I cannot take it I'm out
I'm stuck here kidding myself
You're out there caring somewhere

So what's the verb to
Kick it off to
Take the time and walk away from it
I'm not playing,
That'll never sit with us well
We're far too pious to get out of it
And we're on our way

I'm tired of fighting she said
Your words just rattle my head
All joy escaped in the dark
And I can't make this make sense
Your thoughts are lost to me now
I cannot take it I'm out
I'm stuck here killing myself
You're out there drinking somewhere

This time I've lost all my hope
I cannot take it no more
I'm stuck here killing myself
You're out there laughing somewhere

I'll tear my heart out no more
I'll burn this bridge till its gone
I'm stuck here killing myself
You're out there laughing somewhere
All joy is lost to me now
I cannot take it I'm out
I'm stuck here killing myself
And you're out there drinking somewhere

Running away won't change anything it only puts it off
Stuck here killing myself

Stand on the spot work out where you are and take it all from there
Running away won't change anything it only puts it off",The Verb,2009
Rob Brereton,"There's a saying old says that love is blind
Still were often told, seek and ye shall find
So I'm going to seek a certain lad I've had in mind
Looking everywhere, haven't found him yet

Hes the big affair I cannot forget
Only man I ever think of with regret
I'd like to add his initial to my monogram
Tell me, where is the shepherd for this lost lamb?

There's a somebody I'm longing to see
I hope that he turns out to be
Someone who'll watch over me
I'm a little lamb who's lost in the wood
I know I could always be good
Someone who'll watch over me

Although he may not be the man some
Girls think of as handsome
To my heart he carries the key
Won't you tell him please to put on some speed
Follow my lead, oh, how I need
Someone to watch over me",Someone to Watch over Me,1995
Rob Bruce,"Back in the days of knights in armor
There once lived a lovely charmer
Swimming in the Rhine
Her figure was divine

She had a yen for all the sailors
Fishermen and gobs and whalers
She had a most immoral eye
They called her Lorelei

She created quite a stir
And I want to be like her

I want to be like that gal on the river
Who sang her song to the ships passing by
She had the goods and how she could deliver
The Lorelei

She used to love in a strange kind of fashion
With lots of hey-ho-de-ho-hi-de-hi
And I can guarantee I`m full of passion
Like the Lorelei

I`m treacherous, yeah-yeah
Oh, I just can`t hold myself in check
I`m lecherous, yeah-yeah
I want to bite my initials on a sailor`s neck

Each affair has a kick and a wallop
For what they crave, I can always supply
I want to be just like that other trollop
The Lorelei

I want to be just like that other trollop
The Lorelei",Lorelei,2007
