Band,Lyrics,Song,Year
Tim O’Brien & Darrell Scott ,"A farmboy from Kentucky Hills
Learned to play guitar for his backpoarch thrills
Lean a ladderback chair on a windowsill
And look out at the stars
He must have got it up in Michigan
He and his brothers were pickin then
When he moved to Gary he took it with him
That Gibson Hummingbird guitar

Oh how that guitar would ring
Dad would close his eyes and sing
Silver Haired Daddy would always bring a tear to his eyes

I was all of five years old
My brother Don and a kid down the road
We just did what we was told to get outside and play
Someone wrapped it in a coat
And we took it to the swamp just to see if it'd float
But a Hummingbird is not a boat
And it sank straight away

When he got home that's when he heard
What we'd done to that Hummingbird
And he looked at me and never said a word
Just went out back to see

And there it was in all it's mess
With the cattails and the redwing nests
And there he laid it down to rest for all eternity

One of these days you know what I'll do
Get a Hummingbird guitar and a brother or two
Underneath a Kentucky moon, give him back his childhood dream
It won't make up for thirty-two years
And it won't dry up a swamp of tears
But it's better than a case of beer and a fifth of Jim Beam",The Hummingbird,2012
Tim O’Brien & Darrell Scott ,"Troubles and trials are almost over
Troubles and trials are almost over
Troubles and trials are almost over
See what my lord has done
Keep your lamp trimmed and burnin'
Keep your lamp trimmed and burnin'
Keep your lamp trimmed and burnin'
See what my lord has done

Heaven's journey is almost over
Heaven's journey is almost over
Heaven's journey is almost over
See what my lord has done
Brother don't you worry
Don't you worry
Don't you worry
See what my lord has done

Two thousand years have come and gone
Two thousand years have come and gone
Two thousand years have come and gone
See what my lord has done
Brother don't you worry
Don't you worry
Don't you worry
See what my lord has done
Sister don't stop prayin
Sister don't stop prayin
Sister don't stop prayin
See what my lord has done

Many are gone but not forgotten
Many are gone but not forgotten
Many are gone but not forgotten
See what my lord has done
Keep your lamp trimmed and burnin'
Keep your lamp trimmed and burnin'
Keep your lamp trimmed and burnin'
See what my lord has done

Brother don't you worry
Don't you worry
Don't you worry
See what my lord has done
Brother don't stop prayin
Sister don't stop prayin
Sister don't stop prayin
See what my lord has done

Keep your lamp trimmed and burnin'
Keep your lamp trimmed and burnin'
Keep your lamp trimmed and burnin'
See what my lord has done
Keep your lamp trimmed and burnin'
Keep your lamp trimmed and burnin'
Keep your lamp trimmed and burnin'
See what my lord has done",Keep Your Lamp Trimmed and Burning,2012
Tim O’Brien & Darrell Scott ,"This is the song that nobody knows
I couldn't begin to describe how it goes
But it makes me cry and laugh right out loud
It's the song I sing when there's no one around

This is the man that nobody sees
He wears my old clothes and he looks just like me
And if he learned how to fly he'd never touch down
It's the man I am when there's no one around

It's four in the morning, I'm lying in bed
With a tape of my failures playing inside my head
The hardknocks and heartaches, things I don't know
I listen and wonder, where will it go?

This is aglimpse of the child within
He's so immature but he's still my best friend
He's just one of the boys who gets lost in a crowd
It's the kid I am when there's no one around

This is the dance I do everyday
I let my soul lead and it takes me away
And it leads my steps to higher ground
It's the dance I do when there's no one around

Will the circle be unbroken

I was standing by my window
On a cold and cloudy day
When I saw that undertaker
For to carry my mother away

Well I told that undertaker
Undertaker please rive slow
For the lady you are hauling
Lord I hate to see that woman go

Will the circle be unbroken
By and by lord by and by
There's a better home awaiting
By and by lord by and by

Well I followed close behind them
I tried to stand up and be brave
But I could not hold back my sorrow
When they laid her in the grave
Will the circle be unbroken
By and by lord by and by
Please tell me there's a better home awaiting
In the sky lord in the sky

I went back home but my home was lonesome
Since my mother, she was gone
All my brothers and sisters crying
Lord what a home so sad and lonesome",When There's No One Around/Will the Circle Be Unbroken,2012
Tim O’Brien & Darrell Scott ,"Made up my mind to go
Some place so far away, I headed west
Without a sad goodbye
No hugs or tears that way, it's probably for the best
Sent cards along the way
Said I was looking for a brand new life
I never settled down
My wanderlust would always cut the ties like a knife
Sometimes the lonesome wind
Calls out just like it knows me
And on a night like this
When I don't know where to go, he shows me the way

He knows me, my brother wind
He's lonely too and he takes me away

I always looked ahead
I was so afraid that I'd be caught behind
Followed a crooked stream
To places I'd never seen and one more highway sign
Just like some other guys
I count the hours 'til the day will end
But it's not so I can rest
For me it's the time that's best for talking to my friend

Cause he knows me, my brother wind
He's lonely too and he takes me away

Now half my life is gone
The only home I have is open road
My skin is cracked and brown
A mirror to the dessert ground and the dusty wind that blows
I never made a mark
Just scattered footsteps on the shifting sand
Whatever pushes me
It's something only he can understand

He knows me, my brother wind
He's lonely too and he takes me away",Brother Wind,2013
Tim Paris,"O laka lamma le 
O laka lamma le 
O laka lamma le dja 
O laka lamma le 
Se jolaka lamma le 
Se jolaka lamma le 
Se jolaka lamma le dja 
Se jolaka lamma le 
O laka lamma le 
O laka lamma le 
O laka lamma le dja 
O laka lamma le 
Se jolaka lamma le 
Se jolaka lamma le 
Se jolaka lamma le dja 
Se jolaka lamma le 

Ay ihe geba geta singurna yeah 
Ilina in a nara sa 
Oh oh 
Ili la serna najih neja 
Ilina ina nara 
Ilina ina nara sa 
Ili la serna najih neja 
Ilina ina nara 

A sid la nemma ra do m?sebbe toggorro no yee 
Tama yoo pabba yo 
A sid la nemma ra do m?sebbe toggorro no yee m?o 
Tama yoo o? pabba ho fago pib?ee 

Ori tali ma je?ye 
Ori tali ma je?ye 
Ori tali ma je?ye 
Ori tali ma je?ye 
Ori tali ma !
",Madan,2004
Tim Parker,"You used to like my style, I used to like your smile
I said I'll stay a sec, you said, stay a while
You started sippin' wine, said I was on your mind
I said I'm thinking of you too girl, your hella fine
We hit the night time, for a late date
And everyday after that, for 8 months straight
We would roll tight, we had small fights
You shoulda seen how we argued under street lights
I couldn't see your tears, from the pouring rain
You shoulda seen my body shake, when she said my name

She said I'm not the same, Andre ya changed
I said baby its pain, from the rap game
We went our separate ways, man I was hurt for days
Man I didn't even call, I went through withdrawal
Flashbacks of her face hit me sometime
And I be wonderin' man does she think of mine
I think of Rose

[Chorus: ]
Love is down through the hardest times
Sometimes I put Al Green on and think of Rose
Being with you is just a state of mind
Girl, thinking about you all the time

I saw her at a club, she was with a thug
She thought I would say hi, but I didn't show no love
The homey blazin' bud, and now its getting live
But I knew that she knew, that I'd protect my pride
I see her watchful eye, from across the joint
And then she knew how I feel, if I heard her voice
And some ladies talked, and other ladies walked
But when it came to you girl, man there was a spark
Your whole anatomy, man, was like poetry
The very smell of your hair was like luxury
It was because of me, when the days was bright
I would come through with my silent nights
Man, I think of Rose

[Chorus: Repeat 2X]",Rose,2000
Tim Patrick,"It had to be you, it had to be you.
I wandered around and finally found the somebody who
Could make me be true, could make me feel blue,
And even be glad just to be sad thinkin' of you.

Some others I've seen might never be mean
Might never be cross or try to be boss,
But they wouldn't do.
For nobody else gave me a thrill.
With all your faults, I love you still,
It had to be you, wonderful you,
It had to be you.

It had to be you, it had to be you.
I wandered around and finally found somebody who
Could make me be true, could make me be blue,
And even be glad just to be sad thinkin' of you.

Some others I've seen might never be mean
Might never be cross or try to be boss,
But they wouldn't do.

For nobody else gave me a thrill.
With all your faults, I love you still.

It had to be you, wonderful you

It had to be you.",It Had to Be You,2006
Tim Patrick,"And now, the end is near
And so I face the final curtain
My friend, I'll say it clear
I'll state my case, of which I'm certain

I've lived a life that's full
I've traveled each and every highway
Oh, and more, much more than this
I did it my way

Regrets, I've had a few
But then again, too few to mention
I did what I had to do
And saw it through without exemption

I planned each charted course
Each careful step along the byway
But more, much more than this
I did it my way

Yes, there were times, I'm sure you knew
When I bit off more than I could chew
But through it all, when there was doubt
I ate it up and spit it out
I faced it all and I stood tall
And did it my way

I've loved, I've laughed and cried
Had my fill, my share of losing
And now, as tears subside
I find it all so amusing

To think I did all that
And may I say, not in a shy way
""Oh no, oh no not me
I did it my way""

For what is a man, what has he got?
If not himself, then he has naught
To say the things he truly feels
And not the words of one who kneels
The record shows I took the blows
And did it my way

The record shows I took the blows
And did it my way",My Way,2006
Tim Pierce,"Baby, babe, let's get together
Honey, hon, me and you
And do the things, do the things
That we like to do
Do a little dance, make a little love,
Get down tonight
Get down tonight
Do a little dance, make a little love,
Get down tonight
Get down tonight
Baby, babe, I'll meet you,
Same place, same time
Where we can get together
And ease up our mind
Do a little dance, make a little love,
Get down tonight
Get down tonight
Do a little dance, make a little love,
Get down tonight
Get down tonight.
Do a little dance, make a little love,
Get down tonight
Get down tonight
Get down, get down, get down, get down,
Get down tonight baby
Get down, get down, get down, get down,
Get down tonight baby
Get down, get down, get down, get down,
Get down tonight baby
Get down, get down, get down, get down,
Get down tonight baby
Get down, get down, get down, get down,
Get down tonight baby
Get down, get down, get down, get down,
Get down tonight baby
Get down, get down, get down, get down,
Get down tonight baby
Get down, get down, get down, get down,
Get down tonight baby
Get down, get down, get down, get down,
Get down tonight baby",Get Down Tonight,1990
Tim Pierce,"(S. Crow, E. Presley, K. Gilbert) 
Producer: Trevor Horn 
Album: Wildest Dreams (96) 
  
There's a time for love and a time for healing 
Can't go back and undo what's been done 
The word of mouth, time is revealing 
Just how far we've left this kingdom come 
Hand in hand we're finding our way 
And today is just tomorrow's yesterday 

Some will die for you, some will lie to you 
There's all kinds of people in this world 
Turn the world around, tear the borders down 
There's all kinds of people in this world 

Kiss of life and the hand of fate 
Boy grows up into his father's son 
And he learns to love, has been taught to hate 
To carry on the way it had been done 
All our lives, it's debts to repay 
Maybe someday we can put the past away 

Some will die for you, some will lie to you 
There's all kinds of people in this world 
Turn the world around, tear the borders down 
There's all kinds of people in this world 
Some will die for you, some will lie to you 
There's all kinds of people in this world 
Put your fear away, find a better way 
There's all kinds of people in this world 

Underneath a broken sky 
Love can heal the pain inside 
In a moment things can change 
One look behind and it's never the same",All Kinds of People,1991
