Band,Lyrics,Song,Year
Jazze Pha,"We run things round here
So I suggest you don't come around here
Boy you know you ain't from around here
So stand clear, And ima tell you what it is
This is my block, ""Lay Down"" 
This is my block, ""Lay Down"" 
This is my block, ""Lay Down"" 
This is my block, ""Lay Down"" 
Ohaaaaaa We run things round here
Whooaaa This is my black right here

This is my block, ""Lay Down"" 
This is my block, ""Lay Down"" 
This is my block, ""Lay Down"" 
This is my block, ""Lay Down"" 
Ohaaaaaa We run things round here
Whooaaa This is my black right here


Well hold on now little buddy 
Pump your breaks slow ya roll
Ease back on your throttle 
Put your plans on hold
I don't care what ya sellin
Or care what ya sold
I don't know what they was tellin you or what you been told
This my block I got it locked down cold 
And all dis right here this is under my control
I could really give a damn about the name on the sign
Cause as far as I'm concerned this is mine
You crossed the line playboy 
You mide aswell make love to a mirror cause you playin with yourself
We raise hell, we go hard, don't make me bring the drama to ya momma front yard
This is my block

We run things round here
So I suggest you don't come round here
Boy you know you ain't from around here
So stand clear, And ima tell you what it is
This is my block, ""Lay Down"" 
This is my block, ""Lay Down"" 
This is my block, ""Lay Down"" 
This is my block, ""Lay Down"" 
Ohaaaaaa We run things round here
Whooaaa This is my black right here

This is my block, ""Lay Down"" 
This is my block, ""Lay Down"" 
This is my block, ""Lay Down"" 
This is my block, ""Lay Down"" 
Ohaaaaaa We run things round here
Whooaaa This is my black right here


See you from outta town, so you don't know tha rules
Round here homie we don't suffer no fools
We don't play wit no kids unless we done made em
We don't talk to police unless we done paid em
It's a code in these streets, you better learn it
And we don't just give out respect, you gotta earn it
And we don't hustle cause we wanna, cause we have ta
God 1st, fam next, and all the rest after
We make money not the other way around 
So don't you play around or we will lay you down
Coming from PA the town the land of the trill
Play your cards right or get yourself shuffled on tha real
This is my block

We run things round here
So I suggest you don't come round here
Boy you know you ain't from around here
So stand clear, And ima tell you what it is
This is my block, ""Lay Down"" 
This is my block, ""Lay Down"" 
This is my block, ""Lay Down"" 
This is my block, ""Lay Down"" 
Ohaaaaaa We run things round here
Whooaaa This is my black right here

This is my block, ""Lay Down"" 
This is my block, ""Lay Down"" 
This is my block, ""Lay Down"" 
This is my block, ""Lay Down"" 
Ohaaaaaa We run things round here
Whooaaa This is my black right here


See this is my be-L-O-see-K 
My Streets, and I got em on L-O-see-K
I walk around wit G-L-O-see-K
And ima keep it on see-O-see-K, Okay
I represent PA, the west to the east
And you don't wanna war everybody gotta a piece
You think its sweet. until you catch a cavity
And that heat'ell make yo ass defy gravity
So do tha math, connect the dots
See if you wanna do it to yourself or not
Don't get to close, cause you might get shot
Just do yourself a favor, get the fuck up out the spot
This is my Block

We run things round here
So I suggest you don't come round here
Boy you know you ain't from around here
So stand clear, And ima tell you what it is
This is my block, ""Lay Down"" 
This is my block, ""Lay Down"" 
This is my block, ""Lay Down"" 
This is my block, ""Lay Down"" 
Ohaaaaaa We run things round here
Whooaaa This is my black right here

This is my block, ""Lay Down"" 
This is my block, ""Lay Down"" 
This is my block, ""Lay Down"" 
This is my block, ""Lay Down"" 
Ohaaaaaa We run things round here
Whooaaa This is my black right here
",My Block,2008
Jazze Pha,"Chorus]
I know somebody fly who wants to come by and take off all her clothes and freak me for free.
And I know somebody fly who loves to come by take off all her clothes and freak me for free.

[Verse One]
I know the truth girl you be sick of making love, you rather get clubbed by a South Side thug.
No kiss no hug no going to the club, no talking on the phone but turn that ass up.
No money in the bank but we can?t blow the bank.
Come lay in my lap let me feel what your thinking ya you do look good, the trick I ain?t - let me shake that ass - put me in the pain - put me in the pain - let me weigh it in a pinch - let me long drop shot and watch it all in the seat - jump back - jump back all out in the morning - let you all wet drippin and pourin. 

[Chorus]
I know somebody fly who wants to come by and take off all her clothes and freak me for free.
And I know somebody fly who loves to come by take off all her clothes and freak me for free.

[Verse Two]
I know you see me watching girl don?t trip go grab your coat on the rack and lets dip - your a grown ass woman don?t play no games - don?t lie to yourself let?s leave these lames - leave these lames. Let?s dip in the bed nobody gots to know get lost in the ????? - let?s fall out of control - get lost in the ??? but me I get ??? I got cash but now I want ?s?e?x? - want ?s?e?x? - but you can leave with a ????? or an autograph copy of my song like a pimp - or a gum or a mint whatever you need. But your boy can?t get no cheese. 

[Chorus]
I know somebody fly who wants to come by and take off all her clothes and freak me for free.
And I know somebody fly who loves to come by take off all her clothes and freak me for free.
I - know somebody fly 

[Short Verse One]
Let me come by just ????? Fix a plate of food and I ate it - just did - fixing on the pepper mill she?s got her own grill. 

[Hook]
I know somebody fly who wants to come by and take off all her clothes 

[Short Verse Two]
And lay down on the floor - she?s a queen but she like it when I treat her like a hoe - ??????? make her good make her - make her say scream no - pull her hair it?s good and straight to the door - no talk we keep it on the low 

[Hook]
I know somebody fly who wants to come by and take off all her clothes and freak me for free.
And I know somebody fly who loves to come by take off all her clothes and freak me for free.
Fly - take off all her clothes and freak me for free.
",Fly,2008
Jazze Pha,"Uh, and it just keeps goin' (yeah)
And it just keeps

So I'm in the airport getting ready to leave
Heading to a friend's wedding in the N.Y.C
But my head has been spinning, I'm forgetting to eat
All this jet setting has been really getting to me
It's already 11:20, I'm ready to sleep
But instead I end up sitting in a 27-C
An aisle seat, fine by me
But the guy that's inside's always tryin' to pee
With a wild child behind me, he's cryin' and keeps
Flippin out and kickin' at me while he violently screams
So I silently plea, oh God, please
Let there be a honey sitting 27-B
But of course some morbidly obese
Beast is in the seat that wheezes when he breathes
Dude sitting D is at least three deep
And he keeps telling me what is wrong with his knees: (I got bad knees)
'Osgood Schlatters,' just need water
But for a bottle they charge two dollars (what?)
And when I thought that it couldn't get worse
I forgot my iPod

I'm havin' a bad day
Nothin' ever seems to go my way
Everybody needs to go away
Why? Because I'm havin'' a bad day, yeah (oh no no no)
And it just keeps goin' (keep goin')
And it just keeps (goin' on!)
And it just keeps goin' (keep goin')
And it just keeps (goin' on)

So four hours and turbulence
We land when I'm about to turd in my pants
But the captain has ""Seatbelt fastened""
So my ass is just passin gas and
Then at last I escaped from the plane
When I'm minutes away from clinically insane
I make my way towards baggage claim
When I hear a high-pitched voice scream my name (Asher!)
Some dumb bitch I went to high school with
While I'm sweating she's telling me she likes my shit
I just smile and think, 'bout how great it would be
If I could just hit this chick with a quick leg sweep (leg sweep)
So I pick up my L.L. Bean
And beeline for the next taxi (taxi)
In need of weed, and boxer briefs
But my bag's only got Maxi's

I'm havin' a bad day
Nothin' ever seems to go my way
Everybody needs to go away
Why? Because I'm havin' a bad day, yeah
(And it keep goin')' and it just keeps goin' (keep goin')
And it just keeps (goin' on!)
And it just keeps goin' (keep goin')
And it just keeps (goin' on)

I check in to my hotel room
And I pick up my cell phone to dial the groom
Tell him my mood and I'm ordering food
And I'm probably gonna stay in and watch a movie
But the tube has no HBO (what?)
So anything I want, yo I'm paying fo'
But I'm lame and broke, so I'm laying in a robe
Watching that ""Little People, Big World"" show
Right then there's a knock at the door
It's my last hope for a Spanish whore
Who will change my sheets in exchange for penis
""Hi, I've lost my cat, have you seen it?""
Jesus, this day is the worst
At least I can give Little Me a jerk
And then go to sleep, healthy and disease-less
I guess it could be worse, but I'm just

I'm havin' a bad day
Nothin ever seems to go my way
Everybody needs to go away
Why? Because I'm havin' a bad day, yeah
Oh oh oh
And it just keeps goin' (keep goin')
And it just keeps (goin' on!)
And it just keeps goin' (keep goin')
And it just keeps (goin' on)

Hey, and it keep goin' on
Ya",Bad Day,2009
Jazze Pha,"I stay sharp yeah mack diamond so sharp that's me I mean you kno my money grown but I stay sharp I pull up lookin like new money still so crisp so fly hoppin outta the latest whatever you kno what it is lets go 

I got the hottest cars I rock the flyest clothes I keep the baddest hoes they fresh from head to toe sharp yeen kno sharp hell ya sharp yeen kno sharp hell ya 
I got the hottest cars I rock the flyest clothes I keep the baddest hoes they fresh from head to toe sharp yeen kno sharp hell ya sharp yeen kno sharp hell ya

now check my pedigree my bloodline is purebred my champagne is rose 'cause the color is more red my pockets like skin when I whip they swell up (money) those 26 inches fill the wheel well up (fresh) you can catch me in the winter with a mink on my shoulders I like everything big so my diamonds like boulders and yea I had every kinda roadster or rover 'cause I love the fast lane like a supercharged motor and I'm so damn hood like gold datons on a regal but in '09 I gotta dime on the back of a screamin eagle big chicken hard make it hard spin it in the pot and now its millions every year whether albums drop or not

I got the hottest cars I rock the flyest clothes I keep the baddest hoes they fresh from head to toe sharp yeen kno sharp hell ya sharp yeen kno sharp hell ya 
I got the hottest cars I rock the flyest clothes I keep the baddest hoes they fresh from head to toe sharp yeen kno sharp hell ya sharp yeen kno sharp hell ya

Jim Jones

I got the hottest cars I rock the flyest clothes I keep the baddest hoes they fresh from head to toe sharp yeen kno sharp hell ya sharp yeen kno sharp hell ya 
I got the hottest cars I rock the flyest clothes I keep the baddest hoes they fresh from head to toe sharp yeen kno sharp hell ya sharp yeen kno sharp hell ya

I pass up in it and be like what it do all red to my feet but my diamonds clear blue nuttin like the police in a porsche 911 stuntin up that stairway to heaven and I'm evidently not you and nuttin like ya if I as a dog I wouldn't bite ya nor I'm not beside ya boy I'm way in front of ya you ain't even see me ya I'm way gone but you ain't even leavin drugs beatin me up I'm fightin for my life and if you want that pussy beat then I'm mike tyson for tonite suck me up and don't you bite I don't need mike tyson here tonite my blood type is like a knife motha fucka I'm sharp

I got the hottest cars I rock the flyest clothes I keep the baddest hoes they fresh from head to toe sharp yeen kno sharp hell ya sharp yeen kno sharp hell ya 
I got the hottest cars I rock the flyest clothes I keep the baddest hoes they fresh from head to toe sharp yeen kno sharp hell ya sharp yeen kno sharp hell ya
",So Sharp,2009
Jazzhole,"When you wish upon a star
Your dreams will take you very far
But when you wish upon a dream
Life ain't always what it seems
What'd you see on a night so clear
In the sky so very dear

You're a shining star
No matter who you are
Shining bright to see
What you could truly be

Shining star come in to view
Shine its watchful light on you
Give you strength to carry on
Make your body big and strong
Born a man child of the sun
Saw your work had just begun

Found I had to stand alone
Bless it now I've got my own
So, if you find yourself in need
Why don't you listen to these words and heed
Be you giant or grain of sand
Words of wisdom are ?Yes I can?

You're a shining star
No matter who you are
Shining bright to see
What you could truly be

You're a shining star
No matter who you are
Shining bright to see
What you could truly be",Shining Star [Julio Mix],1996
Jazzhole,"Words like violence
Break the silence
Come crashing in
Into my little world
Painful to me
Pierce right through me
Can't you understand?
Oh my little girl 
All I ever wanted
All I ever needed
Is here in my arms
Words are very unnecessary
They can only do harm 
Vows are spoken
To be broken
Feelings are intense
Words are trivial
Pleasures remain
So does the pain
Words are meaningless
And forgettable 
All I ever wanted
All I ever needed
Is here in my arms
Words are very unnecessary
They can only do harm 

All I ever wanted
All I ever needed
Is here in my arms
Words are very unnecessary
They can only do harm 
All I ever wanted
All I ever needed
Is here in my arms
Words are very unnecessary
They can only do harm

Enjoy the silence",Enjoy the Silence,2003
Jazzhole,"Let's do it
Let's do it
Oh
Let's do it
Baby
Take your time 
Let's do it
Come on, Baby
Oh
Let's do it
Baby
Take your time
Let's do it

You know you ought to slow down
You been working too hard 
And that's a fact
Sit back and relax a while
Take some time to laugh and smile
Lay your heavy load down
So we can stop and kick back
It seems we never take the time to do
All the things we want to, yeah

Now, Baby we can do it
Take the time 
Do it right
We can do it, baby 
Do it tonight

Baby, we can do it
Take the time 
Do it right
We can do it, baby 
Do it tonight

The love I feel for you
You feel for me
One life is all we have to live
Our love is all we have to give, yeah
There are so many things
For us to do and see
Let's take some time to be alone
Lock the door 
Pull out the phone, yeah

And baby we can do it
Take the time 
Do it right
We can do it, baby 
Do it tonight

Baby, we can do it
Take the time 
Do it right
We can do it, baby 
Do it tonight 

Baby we can do it
Take the time 
Do it right
We can do it, baby 
Do it tonight

Baby, we can do it
Take the time 
Do it right
We can do it, baby 
Do it tonight

Take your time
Take the time 
Take the time",Do It Right,
Jazzie B.,"I say a little prayer
Hoping I'll be heard
Lord help the children to find peace in their time
I look around me, it all seems so wrong
Got to find a way to make it all right
 
[Chorus]
Oh oh peace peace throughout the world
Just a little peace just a little peace
Peace throughout the world
 
War for money war for land
Tell me how long it's going to be before we understand
People of the world
It's time we get things straight
'Cause if we don't get it together
It's gonna be too late
 
[Chorus]
 
In a world where peoples' feelings don't matter
In a world where people just don't care
I search the high and low to find myself an answer
Nothing seems to matter, no one seems to care
Take a look to the future
What do you see
Twentieth century going down on it's knees
If we ever get there what would we do
'Cause there won't be nothing there for me and you
 
Let now be the time
Let peace be the vibe
Let's join together
And we'll strive to find a new way
To see it clear where you new existence
In which we can expect
Individually achievements peace of mind
Poverty ? all men kind
Make this world a better place
To be sure ??? the human race
 
Peace throughout the world ooh
Oh peace mmm
 
In a world where peoples' feelings don't matter
In a world where people just don't care
I search the high and low to find myself an answer
Nothing seems to matter, no one seems to care
Take a look to the future
What do you see
Twentieth century going down on it's knees
If we ever get there what would we do
'Cause there won't be nothing there for me and you
 
[Chorus]",Peace Throughout the World,1991
Jazzie B.,"It's time to get our groove back; back to life; back to reality
Feeling free; releasing our inhibitions.
Time to get our groove back.
Well, memories, they flood the mind;

As the sun, it begins to shine.
Reminiscing on the days gone by;
Do you remember those happy times?
Well, I'll give anything to be back there.

We'll just celebrate those happy years, taking time to unwind;
Just following your mind and leave your troubles behind.
Go in the power of the positive and higher thing
Feeling a desire to go drifting on a memory

Oh, anytime we can go there
Let our heart and soul be clear.
And if you follow your mind,
Your troubles disappear.

So good to be free again, to have a good time.
And I pray this feeling never ends, 'cause I feel alive.
So good to be free again.
Gotta go inside and release the other part of me.

Nowhere else for me to hide. Revelation of a mystery.
Oh, anytime we can go there
Let our heart and soul be clear.
And if you follow your mind,

Your troubles disappear.
So good to be free again, to have a good time.
And I pray this feeling never ends, 'cause I feel alive.
So good to be free again.

So good to be, so good to be free
Tomorrow will pass; that we all know.
And as each day comes, there's another one that goes, you know.
But ignorance is no shame; it's just blindness to the facts.

But believe, for ignoring it, you're to blame for turning your back.
So, make the right decision from, mm, a thousand voices;
Many that there are, but believe all the choices are few.
So what you goin' do? Feel free or be free?

Now that's the question; that the real focus of reality.",Free Again,1998
Jazzkantine,"Back in black
I hit the sack
I've been too long I'm glad to be back
Yes, I'm let loose
From the noose
That's kept me hanging about
I've been looking at the sky
'Cause it's gettin' me high
Forget the hearse 'cause I never die
I got nine lives
Cat's eyes
Abusin' every one of them and running wild

'Cause I'm back
Yes, I'm back
Well, I'm back
Yes, I'm back
Well, I'm back, back
Well, I'm back in black
Yes, I'm back in black

Back in the back
Of a Cadillac
Number one with a bullet, I'm a power pack
Yes, I'm in a bang
With a gang
They've got to catch me if they want me to hang
'Cause I'm back on the track
And I'm beatin' the flack
Nobody's gonna get me on another rap
So look at me now
I'm just makin' my play
Don't try to push your luck, just get out of my way

'Cause I'm back
Yes, I'm back
Well, I'm back
Yes, I'm back
Well, I'm back, back
Well, I'm back in black
Yes, I'm back in black

Well, I'm back, yes I'm back
Well, I'm back, yes I'm back
Well, I'm back, back
Well I'm back in black
Yes I'm back in black

Ho yeah
Oh yeah
Yes I am
Oh yeah, yeah oh yeah
Back in now
Well I'm back, I'm back
Back, (I'm back)
Back, (I'm back)
Back, (I'm back)
Back, (I'm back)
Back
Back in black
Yes I'm back in black
Out of the sight",Back in Black,2008
