Band,Lyrics,Song,Year
The Lounge-O-Leers,"Dessert loving in your eyes all the way
If I listen to your lies, would you say 
I'm a man without conviction
I'm a man who doesn't know
How to sale a contradiction? 
You come and go, you come and go

Karma, karma, karma, karma, karma chameleon
You come and go, you come and go
Loving would be easy if your colors were like my dreams
Red, gold, and green, red, gold, and green

Didn't you hear your wicked words every day
And you used to be so sweet I heard you say 
That my love was an addiction
When we cling, our love is strong
When you go, you're gone forever
You string along, you string along

Karma, karma, karma, karma, karma chameleon
You come and go, you come and go
Loving would be easy if your colors were like my dreams
Red, gold, and green, red, gold, and green

Every day is like survival
You're my lover, not my rival
Every day is like survival
You're my lover, not my rival

I'm a man without conviction
I'm a man who doesn't know
How to sale a contradiction? 
You come and go, you come and go

Karma, karma, karma, karma, karma chameleon
You come and go, you come and go
Loving would be easy if your colors were like my dreams
Red, gold, and green, red, gold, and green

Karma, karma, karma, karma, karma chameleon
You come and go, you come and go
Loving would be easy if your colors were like my dreams
Red, gold, and green, red, gold, and green

Karma, karma, karma, karma, karma chameleon
You come and go, you come and go
Loving would be easy if your colors were like my dreams
Red, gold, and green, red, gold, and green

Karma, karma, karma, karma, karma chameleon
You come and go, you come and go
Loving would be easy if your colors were like my dreams
Red, gold, and green, red, gold, and green",Karma Chameleon,2005
The Lounge-O-Leers,"Ooh ooh
You might not ever get rich
But let me tell ya it's better than diggin' a ditch
There ain't no tellin' who you might meet
A movie star or maybe even an Indian chief

(Workin')
At the car wash
Workin' at the car wash, girl
Come on and sing it with me
(Car wash)
Sing it with the feelin' y'all
(Car wash, girl)

Ooh!

Some of the work gets kinda hard
This ain't no place to be if you planned on bein' a star
Let me tell you it's always cool
And the boss don't mind sometimes if you act the fool

At the car wash
Whoa whoa whoa whoa
Talkin' about the car wash, girl
Come on, ya'all and sing it for me
(Car wash)
Oooh oooh oooh
(Car wash, girl)

(Work and work)
Well, those cars never seem to stop coming
(Work and work)
Keep those rags and machines humming
(Work and work)
My fingers to the bone
(Work)
Can't wait till it's time to go home

(Hey, get your car washed today)
Fill up and you don't have to pay
Come on and give us a play
(Do the wash, right away)

(The car wash)
Talkin' 'bout the car wash
Car wash, girl
Come on, y'all, let's sing it with me
(Car wash)
Sing it with feelin', y'all
(Car wash, girl)

Whoa whoa whoa whoa 
(Car wash)
Never seem to stop comin'
What'd I say
Keep those rags and machines hummin'
(Car wash)
Let me tell you, it's always cool",Car Wash,2006
The Lounge-O-Leers,"Welcome to your life
There's no turning back
Even while we sleep
We will find you
Acting on your best behaviour
Turn your back on mother nature
Everybody wants to rule the world

It's my own design
It's my own remorse
Help me to decide
Help me make the most
Of freedom and of pleasure
Nothing ever lasts forever
Everybody wants to rule the world

There's a room where the light won't find you
Holding hands while the walls come tumbling down
When they do I'll be right behind you

So glad we've almost made it
So sad they had to fade it
Everybody wants to rule the world

I can't stand this indecision
Married with a lack of vision
Everybody wants to rule the world
Say that you'll never never never never need it
One headline why believe it ?
Everybody wants to rule the world

All for freedom and for pleasure
Nothing ever lasts forever
Everybody wants to rule the world",Everybody Wants to Rule the World,2006
The Lounge-O-Leers,"Day after day
Alone on a hill
The man with the foolish grin
Is keeping perfectly still
But nobody wants to know him
They can see that he's just a fool
And he never gives an answer

But the fool on the hill
Sees the sun going down
And the eyes in his head
See the world spinning round

Well on the way
Head in a cloud
The man of a thousand voices
Talking perfectly loud

But nobody ever hears him
Or the sounds he appears to make
And he never seems to notice

But the fool on the hill
Sees the sun going down
And the eyes in his head
See the world spinning round

And nobody seems to like him
They can tell what he wants to do
And he never shows his feelings

But the fool on the hill
Sees the sun going down
And the eyes in his head
See the world spinning round

He never listens to them
He knows that they're the fools
They don't like him

The fool on the hill
Sees the sun going down
And the eyes in his head
See the world spinning round

Oh",The Fool on the Hill,2007
The Lounge-O-Leers,"There's a man who leads a life of danger
To everyone he meets he stays a stranger
With every move he makes another chance he takes
Odds are he won't live to see tomorrow

Secret Agent Man
Secret Agent Man
They giving you a number
And taken' away your name

Beware of pretty faces that you find
A pretty face can hide an evil mind
Oh, be careful what you say
Or you will give yourself away
Odds are you won't live to see tomorrow

Secret Agent Man
Secret Agent Man
They giving you a number
And taken' away your name

Swinging on the Riviera one day
And then later in the Bombay Alan next day
I know you let the wrong words slip
While kissing persuasive lips
Odds are you won't live to see tomorrow

Secret Agent Man
Secret Agent Man
They giving you a number
And taken' away your name",Secret Agent Man,2007
The Lounge-O-Leers,"Young girl, get out of my mind
My love for you is way out of line
Better run girl
You're much too young girl

With all the charms of a woman
You've kept the secret of your youth
You led me to believe you're old enough
To give me love
And now it hurts to know the truth

Young girl, get out of my mind
My love for you is way out of line
Better run girl
You're much too young girl

Beneath your perfume and your make-up
You're just a baby in disguise
And though you know that it's wrong to be
Alone with me
That come on look is in your eyes

Young girl, get out my mind
My love for you is way out of line
Better run girl
You're much too young girl

So hurry home to your mama
I'm sure she wonders where you are
Get out of here
Before I have the time
To change my mind
'Cause I'm afraid we'll go too far

Young girl, get out my mind
My love for you is way out of line
Better run girl
You're much too young girl (repeat to fade)",Young Girl,2007
The Louvin Brothers,"Alabama your beautiful sunlight your fields are so recent potatoes and corn
Alabama your crimson red clover all mingle around the old place I was born
Alabama your hills and your valleys your creeks sing with laughter as onward they flow
Alabama so sweet in the springtime sweet ferns and wild flowers and winter with snow
Alabama so sweet to my mem'ry you shine like a light on a beautiful hill
Alabama in days of my childhood I played there and toiled at the old sawmill

Alabama your beautiful highways across through the mountains where loved ones do wait
Alabama your golden rock flowers and the welcome home sigh hanging over your gate
Alabama to me you are calling my footsteps are hauling no longer to stray
Alabama you're all what I long for you're all what I love so I'm coming today",Alabama,1956
The Louvin Brothers,"If I could only win your love
I'd make he most of everything
I'd proudly wear your wedding ring
My heart would never stray one dream away

Oh how can I ever say
How I crave your love when you're gone away
Oh how can I ever show
How I burn inside when you hold me tight
If I could only win your love
I'd give my all to make it live
You'll never know how much I'd give
If I could only win your love

If I could only win your love
I'd give my all to make it live
You'll never know how much I'd give
If I could only win your love.",If I Could Only Win Your Love,1959
The Louvin Brothers,"I'm gonna lay down my old guitar
lay down my old guitar
I wish I could tie it to my side
And take it along with me

(Now sing it) I'm sick in a lonesome bed
(I heard that son) I'm sick in a lonesome bed
Oh there's no one to hold my aching head
And I'm sick in a lonesome bed

I'm gonna lay down my old guitar
Lay down my old guitar
I wish I could tie it to my side
And take it along with me (jump on son)

Well there's no one to cry for me 
No one to cry for me
Well, I've wandered so far away don't you see 
And there's no one to cry for me

I'm gonna lay down my old guitar
Lay down my old guitar
I wish I could tie it to my side
And take it along with me (oh bring it)

Well, I'm telling this world goodbye 
Telling this world goodbye
I'm telling the world and my dear little girl
I'm tell them all goodbye

I'm gonna lay down my old guitar
Lay down my old guitar
I wish I could tie it to my side
And take it along with me (get it son)

I'm gonna lay down my old guitar
Lay down my old guitar
I wish I could tie it to my side
And take it along with me",Gonna Lay Down My Old Guitar,1960
The Louvin Brothers,"I like the Christian life

My buddies tell me that I should have waited
They say I'm missing a whole world of fun
But I am happy and I sing with pride
I like the Christian life

I won't lose a friend by heeding God's call
For what is a friend who'd want you to fall
Others find pleasures in things I despise
I like the Christian life

My buddies shun me since I turned to Jesus
But I still love them they burden my heart
I'll try to lead them to walk in the light
I like the Christian life

I won't lose a friend by heeding God's call
For what is a friend who'd want you to fall
Others find pleasures in things I despise
I like the Christian life",The Christian Life,1960
