Band,Lyrics,Song,Year
Diplo,"I can’t wait to try on the crown
I know my ma is gonna be real proud
I told my crew I’m bout to shut shit down
We do it big when I get back in town

Hey ho, hey ho I'mma be the king soon
Hey ho, hey ho I can’t wait to be king

Shut shit down
Shut shit down 
Shut shit down 
Shut shit down 
Shut shit down 
Shut shit down 
I can’t wait to be king

I can’t wait to try on the crown
I know my ma is gonna be real proud
I told my crew I’m bout to shut shit down
We do it big when I get back in town

Hey ho, hey ho I'mma be the king soon
Hey ho, hey ho I can’t wait to be king

Shut shit down
Shut shit down 
Shut shit down 
Shut shit down 
Shut shit down 
Shut shit down 
I can’t wait to be king

Hey ho, hey ho I'mma be the king soon
Hey ho, hey ho I can’t wait to be king

Hey ho, hey ho I'mma be the king soon
Hey ho, hey ho I can’t wait to be king

Don’t worry 'bout them angry faces
They just hatin'
I keep enough blue jewels to cool off the nation

Don’t worry 'bout them angry faces
They just hatin'
I keep enough blue jewels to cool off the nation

Hey ho, hey ho I'mma be the king soon
Hey ho, hey ho I can’t wait to be king",Crown,2013
Diplo,"Can you see it?
The worst is over
The monsters in my head are scared of love
Fallen people, listen up!
It's never too late to change our luck

So don't let them steal your light (Eh eh eh eh eh eh eh)
Don't let them break your stride (Eh eh eh eh eh eh eh)
There is light on the other side
And you'll see all the raindrops falling behind
It's a revolution
Make it out tonight
It's a revolution
(It's a rev)
It's a reva (rev, rev, rev)
It's a reva

Can you see it?
The worst is over
The monsters in my head are scared of love
Fallen people, listen up!
It's never too late to change our luck

So, don't let them steal your light (Eh eh eh eh eh eh eh)
Don't let them break your stride (Eh eh eh eh eh eh eh)
There is light on the other side
And you'll see all the raindrops falling behind
It's a revolution
Make it out tonight
It's a revolution
It's a reva (rev)
(It's a rev)

It's a rev
It's a rev
It's a rev
It's a rev",Revolution,2013
Diplo,"Can you see it?
The worst is over 
The monsters in my head are scared of love 
Fallen people listen up!
It's never too late to change our luck 

So, don't let them steal your light
E eh eh eh
Don't let them break your stride 
There is light on the other side 
And you'll all the raindrops falling behind
It's a revolution
Make it out tonight
It's a revolution
It's a reva, rev

Can you see it?
The worst is over 
The monsters in my head are scared of love 
Fallen people listen up!
It's never too late to change our luck 

So, don't let them steal your light
E eh eh eh
Don't let them break your stride 
There is light on the other side 
And you'll all the raindrops falling behind
It's a revolution
Make it out tonight
It's a revolution
It's a reva, rev
Oh oh, ooo oh, oh oh oh
Oh oh, ooo oh, oh oh oh
Oh oh, ooo oh, oh oh oh
Oh oh, ooo oh, oh oh oh
Rev, rev, rev, rev",Revolution [Boaz Van De Beatz Remix],2013
Diplo,"My face shining, looking like some salmon skin
All twelve Reggie Hammond, holding hammers him
Never speak, he like that short silent type
I’m in the mountains shovin' knives, drinking wine at night
Rose petals get thrown to the feet
Know we grow knee ’cause even in this rap don't work we got stones in the street
Go down in Tallahassee, work and come home in a week
See me stoned in a Jeep with the chrome on the feet
Leather overalls, shirtless like I'm Kells in the street
Posing for flicks, leaning on an English whip
With the float ware straight from the aquarium
My bitch built like secretariat, yeah, bring the chariot
I fuck the pussy, not marry it, world on my shoulders, dougie, I carry it
I’m more than happy with my bitch, she got no saggy tits
I’ll do it old school style and give her baggy dick

[Chorus: x4]
Rock, rock, very
Slow, slow, steady
Base, base, heavy
Drum, drums, ready

They talk in cents, diamonds in our tooths and dinner (ice)
Rap game Burt Reynolds in a candy canteloupe car rental
I’m in the trash compactor, black shades like famous actor
Bank account doin' gymnastics, flip
40 cal. in the Razorback starter jacket (Arkansas)
I switch up like south paw, frozen teeth look like tiger claws
Look like a pain to massage my upper bums and lower jowls (igloos)
My wedding gifts consists of Versace blend, ice out contenders, didn’t mean to offend you
When I pull up the [?], in the candy leather [?]
Flush out the system with niacin, 40 lines of the Vicodin
Still childish and violent, with appetite for violins
Disappearing act like Sister, Sister
Lost the biscuits, city slickers, rap game Billy Crystal

[Chorus: x4]

Pass our nuts, shit, ain’t no courtesy flush
Fuck black bitches till they bruise, white hoes till they flush
Fuck pretty bitches in their face, dick holes in their butts
Bumping mace [?]
[?] sipping more lean with Goldie
Sweaty minks in the summer like it’s snowing
Pummel all opponents turn gold if I concentrate
Scrape the plate rap for my team, bought a cheese greater
Eggplant, Parmesan with [?] seen him do a pushup on the back of his head
Acting like I’m certified, niggas get nervous when I’m walking
Nudge each other and whisper that’s him
Y’all niggas, cooch, pussies
I’mma cool off his noose on the loose sipping hooch
Flow’s out the colon, TYB chosen, bust it wide open with my staff like Moses
Motherfucker

[Chorus: x4]

Bounce to the left, shake it to the right
Now pop it up once, we gon' dance tonight",Rock Steady,2013
Diplo,"I feel the water flow as I watch him go
Boy, life is cynical despite my heart of gold
Oh, no, buddy, don't you cry as they go
Life changes all of us
It's not your fault no, no, no

(Oh) Where did they all run to?
(Oh) Where the sky is blue forever

(Oh)

Where the sky is blue forever

Life is deepest business you know
Who's gonna care for your bleeding soul?
Take a run, take a run with me
Where the sky is blue forever

Till the end of time

Hum dear buddy, don't you cry when she goes
'Cause life is cynical despite your heart of gold
Oh, no, buddy, don't you cry as they go
Life makes us critical and all we gotta change about

(Oh) Where did they all run to?
(Oh) Where the sky is blue forever

(Oh)

Where the sky is blue forever

Life is deepest business you know
Who's gonna care for you're bleeding soul?
Take a run, take a run with me
Where the sky is blue forever

Run where
Run where
Run where
Run where
Run where
Run where (Where the sky is blue forever)

(Oh) Where did they all run to?
(Oh) Where the sky is blue forever

(Oh) Where did they all run to?
(Oh) Where the sky is blue forever

Till the end of time

Diplo (Diplo)
Diplo (Diplo)
MØ (MØ)
MØ (MØ)

Life is deepest business you know
Who's gonna care for you're bleeding soul?
Take a run, take a run with me
Till the end of time

Life is deepest business you know
Who's gonna care for you bleeding soul
Take a run, make a run and be free
Where the sky is blue forever",XXX 88,2013
Diplo,"Biggie bounce, biggie bounce, biggie bounce
Biggie bounce, biggie bounce, biggie bounce
Biggie bounce, biggie bounce, biggie bounce
Biggie bounce, biggie bounce, biggie bounce
Biggie bounce, biggie bounce, biggie bounce
Biggie bounce, biggie bounce, biggie bounce
Biggie bounce, biggie bounce, biggie bounce
Biggie, biggie, biggie, biggie (Biggie bounce)

She gotta face on her like Lisa Ray
Get the players club with the Frito-Lay
Nigga try me wrong it's gon' be your day
Valet Porsche, shoulda seen they face
Did one for magic city
Them hoes shakin' ass and titties
Cough syrup in my cup oh it's sticky
Erybody in the club getting tipsy

Biggie bounce, biggie bounce, biggie bounce
Biggie bounce, biggie bounce, biggie bounce
Biggie bounce, biggie bounce, biggie bounce
Biggie bounce, biggie bounce, biggie bounce
Biggie bounce, biggie bounce, biggie bounce
Biggie bounce, biggie bounce, biggie bounce
Biggie bounce, biggie bounce, biggie bounce
Biggie, biggie, biggie, biggie (Biggie bounce)

Bring it back, bring it back, bring it back
Make it clap, make it clap,
Make it clap, make it clap, make it clap

Look, I walked in man girl and her friend
Kissing on each other, hell yeah they going in
Before I pulled out man your bitch hoped in
'Bout to take 'em to the house 'cause the party never end uh
Then get some Ciroc and I mix it up
Stick a molly on the table then she licks it up
Throw the ones off in the air then she picks it up
I'mma party all night 'cause I'm twisted up

Bend over, bend your back, work your back
Work your back, bend over, work your back
Work your back, work your back
Bend over, work your back, work your back, work your back
Bend over, work your back, work your back

(Get rocked)
(Wiggle)

Biggie bounce, biggie bounce, biggie bounce
Biggie bounce, biggie bounce, biggie bounce
Biggie bounce, biggie bounce, biggie bounce
Biggie bounce, biggie bounce, biggie bounce
Biggie bounce, biggie bounce, biggie bounce
Biggie bounce, biggie bounce, biggie bounce
Biggie bounce, biggie bounce, biggie bounce
Biggie, biggie, biggie, biggie (Biggie bounce)

Bring it back, bring it back, bring it back
Make it clap, make it clap,
Make it clap, make it clap (Make it clap)

Bring it back, bring it back, bring it back, bring it back
Shorty how you act, for a stack, for a stack
And make it clap, make it clap
Shake it harder, put your name in my raps
Now I really wanna know what Brittany 'bout
Is she in the club tell her pull her titties out
She don't ever come out, she be in the house
Take the pussy to the vet, knock the kitty out

Biggie bounce, biggie bounce, biggie bounce
Biggie bounce, biggie bounce, biggie bounce
Biggie bounce, biggie bounce, biggie bounce
Biggie bounce, biggie bounce, biggie bounce",Biggie Bounce [Tony Romera Remix],2014
Diplo,"This that kind of beat that go

Boy, oh boy, oh boy, oh boy, oh

Oh boy, oh boy, oh boy, oh boy, oh
Oh boy, oh boy, oh boy, oh boy
Oh boy, oh boy
Oh boy, oh boy, oh boy, oh boy, oh boy oh",Boy Oh Boy [Thugli Remix],2014
Diplo,"Get you, get you, get you, get you, get low now

Express yourself, express yourself, express yourself
Express yourself, express yourself, express yourself
Release the glow, attack the floor
And work it low
Express yourself, release the glow, attack the floor
And work it low

Express yourself, express yourself, express yourself
Express yourself, express yourself, express yourself
Put your, put your back in it
Put your, put your, put your back in it now
Put your, put your back in it
Put your, put your, put your back in it now
Put your, put your, put your, put your,
Put your, put your, put your back in it
Bend over
Drop the floor

Get you, get you, get you, get you, get low
Now

Let your legs spread wide and your head down low

Express yourself, release the glow, attack the floor
And work it low

Express yourself, release the glow, attack the floor
And work it low

Express yourself, release the glow, attack the floor
And work it low

Express yourself, release the glow, attack the floor
And work it low

And they mad 'cause I'm hot and they wish they was
They be hating on my name but my beats they love

And they mad 'cause I'm hot and they wish they was
They be hating on my name but my beats they love

And they mad 'cause I'm hot and they wish they was
They be hating on my name but my beats they love
And they mad 'cause I'm hot and they oh oh

Go go go up and down
Go up and down
Go go go up and down
Make your clap clap

Spread your legs, arch your back
Go go go up and down and make it clap
Spread your legs now watch your back go up and down and make it clap
Spread your legs now watch your back go up and down and make it clap
Spread your legs now watch your back go up and down and make it clap
Go go go up and down make it make it make it clap

Spread your legs make it clap make it clap
Spread your legs make it clap make it clap

Make it clap make it clap
Make it clap make it clap

Make it clap make it clap
Spread your legs make it clap make it clap
Make it clap make it clap
Make it clap make it clap
Spread your legs make it clap make it clap
Make it clap make it clap",Express Yourself [Party Favor Extended Remix],2014
Diplo,"(Hey!)

I just wanna fre-fre-freak
I just wanna free your freak
I just wanna freak
I just wanna free your freak
I just wanna freak

I am freaky
I am freaky
I am freaky

I need a freaky
I need a freaky
I wanna know why you play your body

Let's get freak

(I just wanna)
I just wanna freak

Just a bit more freaky

I am freaky
I am freaky
Just a little bit a freaky just a bit more
I am freaky
I am freaky
Just a little bit a freaky just a bit more freaky

Let's get freak (Hey!)

(Par freaky!)
Let's get freaky (What!)
Freak! x3

(Just little more freaky)

Let's get freaky

(Hey!)",Freak,2014
Diplo,"(Hey!)

I just wanna fre-fre-freak
I just wanna free your freak
I just wanna freak
I just wanna free your freak
I just wanna freak

I am freaky
I am freaky
I am freaky

I need a freaky
I need a freaky
I wanna know why you play your body

Let's get freak

(I just wanna)
I just wanna freak

Just a bit more freaky

I am freaky
I am freaky
Just a little bit a freaky just a bit more
I am freaky
I am freaky
Just a little bit a freaky just a bit more freaky

Let's get freak (Hey!)

(Par freaky!)
Let's get freaky (What!)
Freak! x3

(Just little more freaky)

Let's get freaky

(Hey!)",Freak [Rickyxsan Remix],2014
