Band,Lyrics,Song,Year
Halfway to Gone,"Black night is not right,
I don't feel so bright,
I don't care to sit tight.
Maybe I'll find on the way down the line
that I'm free, free to be me.
Black night is a long way from home.

I don't need a dark tree,
I don't want a rough sea,
I can't feel, I can't see.
Maybe I'll find on the way down the line
that I'm free, free to be me.
Black night is a long way from home.

Black night, black night,
I don't need black night,
I can't see dark night.
Maybe I'll find on the way down the line
that I'm free, free to be me.
Black night is a long way from home.",Black Night,2004
Halfway to Hazard,"Her mama named her Daisy, got it from a magazine
Through the mountains in her white dress, she'd run chasin' me
Thought she was faster 'cause I told her so, even though it wasn't quite the truth
Well I know she's an angel even though she ain't got wings
'Cause my sweet Daisy loved the hell outta me

There in the back pew of a Sunday morning church
The preacher preachin' Gospel, well, that's when I gave her her first kiss
She told me so even though it wasn't quite the truth
Well I know she's an angel even though she ain't got wings
'Cause my sweet Daisy loved the hell outta me

She gave me her body, she gave me her soul, didn't ask for nothin'
She led me down to the river, said you need to be baptized
Held me under the moon light; Lord, I don't know why
She loved the hell outta me

Eight years later we got married, and the day her water broke
The doctor said there's complications, but I still had hope
She was gonna make it 'cause she told me so, even thought it wasn't quite the truth
Well I know she's an angel, and now she's got her wings
Yeah, my sweet Daisy loves the hell outta me

She gave me her body, she gave me her soul, didn't ask for nothin'
She led me down to the river, said you need to be baptized
Held me under the moon light; Lord, I don't know why
She loved the hell outta me, yeah

I thought I'd name her Daisy, in her mama's memory
Through the mountains in her white dress, she runs chasin' me
Thinks she is faster 'cause I tell her so, even though it isn't quite the truth",Daisy,2007
Halfway to Hazard,"Dents in the carpet where the couch used to be
And dust frames remain where the pictures used to hang
I guess she got all the things she needs
She took everything but me

She doesn't love me anymore
I guess it's time to close the door
This empty house on Lost Hope Lane
Don't bring me nothin' but pain
It don't bring me nothin' but pain

I'm gonna burn it down all the way to the ground
Gasoline or kerosene and just one match is all I need
I'm gonna let it go all the way up in smoke
Let the wind scatter them ashes all over this town
I'm gonna burn it down

These four walls were built on love
Now nothin' remains of us
Forever used to live in this place
But now I'll watch it go up in flames
Gonna watch it go up in flames

I'm gonna burn it down all the way to the ground
Gasoline or kerosene and just one match is all I need
I'm gonna let it go all the way up in smoke
Let the wind scatter them ashes all over this town
Burn it down, burn it down

I'm gonna burn it down all the way to the ground
Gasoline or kerosene and just one match is all I need
Let it go all the way up in smoke
Let the wind scatter them ashes all over this town
I'm gonna burn it down, down, down

She got all the things she needs
She took everything but me",Burn It Down,2007
Halfway to Hazard,"Halfway To Hazard with the rain comin' down
I wish I could go home but it's just an old empty house
So I find me a cheap motel room and a bottle of Black Label Jack
They might find me dead by the mornin' but they won't find me lookin' back

Cause there ain't nothin' like whiskey when time's movin' slow
It drowns out the misery, helps me let go
When the truth really hits me, she don't miss me, no
There ain't nothin' like whiskey when a women turns cold

She used to wanna hold me and our fire burned so bright
But it's funny how forever can get up and say goodbye
But I've got the answer to my pain a way to face the truth
Well, I can drown out this heartache, but it's gonna take a hundred proof

Cause there ain't nothin' like whiskey when time's movin' slow
It drowns out the misery, helps me let go
When the truth really hits me, she don't miss me, no
There ain't nothin' like whiskey when a women turns cold

Tomorrow I don't know where I'm gonna be
But tonight at least I'll be free from her memory, yeah

Cause there ain't nothin' like whiskey when time's movin' slow
It drowns out the misery and helps me let go
When the truth really hits me, she don't miss me, no, whoa, no, no
There ain't nothin' like whiskey when a women turns cold
There ain't nothin' like whiskey when a women turns cold, yeah, turns cold",Cold,2007
Halfway to Hazard,"This workin' all day ain't gettin' me nowhere
A breakin' my back won't get it done
I wish I had a dime, I wish I had a dollar
For every dream that I gave up on, y'all

This hammer I'm swingin' is startin' to feel heavy
I clinched my fist when I punched the clock
A little for the bank leaves nothin' for my baby
A pushin' my paycheck around the block

Yeah, I need to go face first into that fresh air
Way up there where the eagle fly
I need to draw the line in that cool clear water
And leave the city behind and get country
Oh, countrified

A fool's gold watch and a lung full of black smoke
Is all I get now for all I gave
My only reward for this broken down body
Was diggin' my way to an early grave

I always dreamed I'd end up on a river
Fast asleep on a mountain high
But I'm stuck down here in this concrete valley
In a sea of bumpers and red tail lights

Yeah, I need to go face first into that fresh air
Way up there where the eagle fly
I need to draw the line in that cool clear water
Leave the city behind and get country
Oh, countrified, double time

Yeah, I need to go face first into that fresh air
Way up there where the eagle flies
I need to draw the line in that cool clear water
And leave the city behind and get countrified
Oh yeah, countrified

This workin' all day ain't gettin' me nowhere
And breakin' my back won't get it done
I wish I had a dime, I wish I had a dollar
For every dream that I gave up on, y'all

Ooh, that I gave up on, oh no
Yeah, oh, get more countrified",Countrified,2007
Halfway to Hazard,"Tearing up the earth and knocking down those cornrows
Plowboy and mule and a size twelve steel toe
Workin' up a sweat, gonna meet her at the fishin' hole
She got the bait and I'll bring the cane pole

Let down the tailgate
And tonight she gon' get home late

Yeah, yeah, you call us hicks from the sticks
We don't really give a shit
Hell yeah, little redneck, corn fed, up a hollow, born and bred
Real live southern pride and country 'til the day we die

Styrofoam cooler keeping all them beers cold
Lights on a roll bar shining down a dirt road
Pontoons tied up right up to the floating dock
Girls keep it bouncin', dancin', goin' non-stop

When it gets hotter
We naked in the water

Yeah, yeah, you call us hicks from the sticks
We don't really give a shit
Hell yeah, little redneck, corn fed, up a hollow, born and bred
Real live southern pride and country 'til the day we die

Yeah, yeah, I'm proud of where I come from, no

Yeah, yeah, you call us hicks from the sticks
We don't really give a shit
Well, hell yeah, little redneck, corn fed, up a hollow, born and bred

Yeah, you call us hicks from the sticks
We don't really give a shit
Well, hell yeah, little redneck, corn fed, up a hollow, born and bred
Real live southern pride, well, my daddy sure did raise me right
Nah, we ain't scared to fight 'cause we're country 'til the day we die",Country 'Til the Day We Die,2007
Halfway to Hazard,"Sex and the city and Indian food
Well, I never tried 'em, not until you
But it's lookin' like you left me
With some habits I can't break

I feel kinda guilty whenever I cuss
And I lay in bed at night and I, I think about us
Maybe it's because of all the love
You taught me how to make

You changed me, baby
And given enough time, girl, you might have saved me
But then again you might have just gone crazy
Tryin' to love a music man

Well, don't worry, honey
I understand why you went runnin' from me
I guess I really should have seen it comin'
I'll always die by my own hand

Ran into your daddy last Saturday night
I finally admitted, he might have been right
Oh, all the times he told me that
You're just too good for me

You changed me, baby
And given enough time, girl, you might have saved me
But then again you might have just gone crazy
Tryin' to love a music man

Well, don't worry, honey
I understand why you went runnin' from me
I guess I really should have seen it comin'
I'll always die by my own hand

Oh, you changed me, baby
And given enough time, girl, you might have saved me
But then again you might have just gone crazy
Tryin' to love this music man

Oh, but don't worry, honey
I understand why you went runnin' from me
I guess I really should have seen it comin'
I'll always die by my own hand
Girl, I don't blame you for nothin'
I'll always die by my own hand

It is my fault, it is my fault
Girl, you can't blame yourself
Can't blame yourself",Die by My Own Hand,2007
Halfway to Hazard,"Was a smoke filled room, was a Friday night
Talkin' to a sweet thing and having me a good time
Went through that door, big Jim walked in
He'd been pushing me around since we was kids

Well, I lowered my hat as he came toward me
I heard him say, hey you, but never saw him swing
Well, he knocked me down on that nasty floor
But something felt different than the times before

'Cause I got back up like my daddy taught
Life's gonna hurt you but you brush it off
Well, now you can't quit, you gotta fight back, son
When you find yourself on the ground, you gotta get back up

I worked ten long years in a deep coal mine
Until the roof caved in and it broke my spine
They put me in a chair and the doctor said
""I hate to tell you, son, you ain't gonna walk again""

So I closed my eyes and I prayed to the Lord
And then a fire ran through me on that moment before

Well, I got back up like my daddy taught
Life's gonna hurt you but you brush it off
Well, now you can't quit, you gotta fight back, son
When you find yourself on the ground, you gotta get back up

When my time comes and they lay me down
In an old pine box in the cold, cold ground
I won't rest in peace too long before
Heaven calls my name and my spirit soars

And I'll get back up when that trumpet sounds
Now there ain't no grave gonna hold me down
I'll meet my father when that day comes
And it's all because and it's all because I got back up",Got Back Up,2007
Halfway to Hazard,"I'm tired of all these questions
You leaving me thinking you're teaching me a lesson
I'm tired of all these games
Of being wrong and feeling ashamed

Well, I'm tired of being angry over you and me
What you say I'm supposed to be
I thought you fell in love with who I was

And I'm tired of what I did or what I didn't do
What you say I put you through
I'll never be good enough

And I feel like this old heart of mine
Has been raked through the fire
Now baby, I'm tired

I'm tired, I'm tired of trying
I wanna close my eyes and rest a while
I'm tired of all these tears
Sometimes I think it's best if I just disappear

Well, I'm tired of being angry over you and me
What you say I'm supposed to be
I thought you fell in love with who I was

And I'm tired of what I did or what I didn't do
What you say I put you through
I'll never be good enough

And I feel like this old heart of mine
Has been raked through the fire
Now baby, I'm tired

I'm tired of always being alone
And walking these halls
Just knowing you're home
And holding on to let it go

Now I'm tired of being angry over you and me
What you say I'm supposed to be
I thought you fell in love with who I was

And I'm tired of what I did or what I didn't do
What you say I put you through
I'll never be good enough

And I feel like this old heart of mine
Has been raked through the fire
Now baby, I'm tired

And I feel like this old heart of mine
Has been raked through the fire
I'm tired, now baby, I'm tired",I'm Tired,2007
Halfway to Hazard,"You're the angel in my pocket
You're that whisper in my head
You're the perfume on my dirty shirt
The favorite words I've ever said

You're the edge I just stepped off of
You're the sunlight through my window pane
You're the road I wanna break down on
In the pouring rain

'Cause I know I'm not easy to hold
But you've reached me, baby
You saved me from me before I was too far gone
Girl, I love you for taking me on

I spent my life just spinning my wheels
But I wasn't getting nowhere fast
You took my foot off the gas
You brought me miles from where you found me
And now I ain't going back

'Cause I know I'm not easy to hold
But you've reached me, baby
You saved me from me before I was too far gone
Girl, I love you for taking me on

I was lost, I was wrong, I was searching
I was reckless and helpless and hurting
(Taking me on)
You were strong enough to carry me all the way

'Cause I know I'm not easy to hold
But you've reached me, baby
You saved me from me before I was too far gone
(Too far gone)
Girl, I love you for taking me on

I was lost, I was wrong, I was searching
I was reckless and helpless and hurting
(Taking me on)
I was lost, I was wrong, I was searching
I was reckless and helpless and hurting

I was lost, I was wrong, I was searching
I was reckless and helpless and hurting
(Taking me on)
I was lost, I was wrong, I was searching
I was reckless and helpless and hurting

I was lost, I was wrong, I was searching
I was reckless and helpless and hurting
I was lost, I was wrong, I was searching
I was reckless and helpless and hurting

I was lost, I was wrong, I was searching
I was reckless and helpless and hurting
I was lost, I was wrong, I was searching
I was reckless and helpless and hurting",Taking Me On,2007
