"year","ranking","artist","title"
1975,23,"Labelle","Lady Marmalade"
1975,24,"War","Why Can't We Be Friends?"
1975,25,"Major Harris","Love Won't Let Me Wait"
1975,26,"Stevie Wonder","Boogie On Reggae Woman"
1975,27,"Helen Reddy","Angie Baby"
1975,28,"Freddy Fender","Wasted Days and Wasted Nights"
1975,29,"The Isley Brothers","Fight the Power"
1975,30,"Ozark Mountain Daredevils","Jackie Blue"
1975,31,"Ohio Players","Fire"
1975,32,"Pilot","Magic"
1975,33,"The Carpenters","Please Mr. Postman"
1975,34,"America","Sister Golden Hair"
1975,35,"Elton John","Lucy in the Sky with Diamonds"
1975,36,"Barry Manilow","Mandy"
1975,37,"Olivia Newton-John","Have You Never Been Mellow"
1975,38,"Barry Manilow","Could It Be Magic"
1975,39,"Harry Chapin","Cat's in the Cradle"
1975,40,"Michael Martin Murphey","Wildfire"
1975,41,"Jessi Colter","I'm Not Lisa"
1975,42,"Wings","Listen to What the Man Said"
1975,43,"10cc","I'm Not in Love"
1975,44,"Billy Swan","I Can Help"
1975,45,"Hamilton, Joe Frank & Reynolds","Fallin' in Love"
1975,46,"Morris Albert","Feelings"
1975,47,"Linda Ronstadt","When Will I Be Loved"
1975,48,"Sammy Johns","Chevy Van"
1975,49,"Barry White","You're the First, the Last, My Everything"
1975,50,"Olivia Newton-John","Please Mr. Please"
1975,51,"Linda Ronstadt","You're No Good"
1975,52,"Bazuka","Dynomite"
1975,53,"The Blackbyrds","Walking in Rhythm"
1975,54,"Gladys Knight & the Pips","The Way We Were""/""Try to Remember"
1975,55,"Melissa Manchester","Midnight Blue"
1975,56,"Sugarloaf","Don't Call Us, We'll Call You"
1975,57,"Phoebe Snow","Poetry Man"
1975,58,"Ace","How Long?"
1975,59,"B.T. Express","Express"
1975,60,"Earth, Wind & Fire","That's the Way of the World"
1975,61,"Styx","Lady"
1975,62,"Grand Funk","Bad Time"
1975,63,"Alice Cooper","Only Women Bleed"
1975,64,"Carol Douglas","Doctor's Orders"
1975,65,"KC and the Sunshine Band","Get Down Tonight"
1975,66,"Paul Anka & Odia Coates","One Man Woman/One Woman Man"
1975,67,"Joe Cocker","You Are So Beautiful"
1975,68,"Bad Company","Feel Like Makin' Love"
1975,69,"James Taylor","How Sweet It Is (To Be Loved by You)"
1975,70,"Orleans","Dance with Me"
1975,71,"Average White Band","Cut the Cake"
1975,72,"Gloria Gaynor","Never Can Say Goodbye"
1975,73,"Paul Anka & Odia Coates","I Don't Like to Sleep Alone"
1975,74,"Donny & Marie Osmond","Morning Side of the Mountain"
1975,75,"The Three Degrees","When Will I See You Again"
1975,76,"Joe Simon","Get Down, Get Down (Get on the Floor)"
1975,77,"John Denver","I'm Sorry"
1975,78,"Queen","Killer Queen"
1975,79,"Eddie Kendricks","Shoeshine Boy"
1975,80,"B.T. Express","Do It ('Til You're Satisfied)"
1975,81,"Electric Light Orchestra","Can't Get It Out of My Head"
1975,82,"Al Green","Sha-La-La (Make Me Happy)"
1975,83,"America","Lonely People"
1975,84,"Rufus","You Got the Love"
1975,85,"Mike Post","The Rockford Files Theme"
1975,86,"Tavares","It Only Takes a Minute"
1975,87,"Ringo Starr","No No Song"
1975,88,"Paul McCartney & Wings","Junior's Farm"
1975,89,"Jethro Tull","Bungle in the Jungle"
1975,90,"Leo Sayer","Long Tall Glasses"
1975,91,"Ray Stevens","Misty"
1975,92,"Elton John","Someone Saved My Life Tonight"
1975,93,"Neil Sedaka","Bad Blood"
1975,94,"The Carpenters","Only Yesterday"
1975,95,"Dwight Twilley Band","I'm on Fire"
1975,96,"Ringo Starr","Only You (And You Alone)"
1975,97,"Amazing Rhythm Aces","Third Rate Romance"
1975,98,"Bachman–Turner Overdrive","You Ain't Seen Nothing Yet"
1975,99,"Frankie Valli","Swearin' to God"
1975,100,"Disco-Tex and the Sex-O-Lettes","Get Dancin'"
1975,1,"Captain & Tennille","Love Will Keep Us Together"
1975,2,"Glen Campbell","Rhinestone Cowboy"
1975,3,"Elton John","Philadelphia Freedom"
1975,4,"Freddy Fender","Before the Next Teardrop Falls"
1975,5,"Frankie Valli","My Eyes Adored You"
1975,6,"Earth, Wind & Fire","Shining Star"
1975,7,"David Bowie","Fame"
1975,8,"Neil Sedaka","Laughter in the Rain"
1975,9,"Eagles","One of These Nights"
1975,10,"John Denver","Thank God I'm a Country Boy"
1975,11,"Bee Gees","Jive Talkin'"
1975,12,"Eagles","Best of My Love"
1975,13,"Minnie Riperton","Lovin' You"
1975,14,"Carl Douglas","Kung Fu Fighting"
1975,15,"The Doobie Brothers","Black Water"
1975,16,"Sweet","The Ballroom Blitz"
1975,17,"B.J. Thomas","(Hey Won't You Play) Another Somebody Done Somebody Wrong Song"
1975,18,"Tony Orlando and Dawn","He Don't Love You (Like I Love You)"
1975,19,"Janis Ian","At Seventeen"
1975,20,"Average White Band","Pick Up the Pieces"
1975,21,"Van McCoy & the Soul City Symphony","The Hustle"
1975,22,"Labelle","Lady Marmalade"
1975,23,"War","Why Can't We Be Friends"
1975,24,"Major Harris","Love Won't Let Me Wait"
1975,25,"Stevie Wonder","Boogie On Reggae Woman"
1975,26,"Freddy Fender","Wasted Days and Wasted Nights"
1975,27,"The Isley Brothers","Fight the Power"
1975,28,"Helen Reddy","Angie Baby"
1975,29,"Ozark Mountain Daredevils","Jackie Blue"
1975,30,"Ohio Players","Fire"
1975,31,"Pilot","Magic"
1975,32,"The Carpenters","Please Mr. Postman"
1975,33,"America","Sister Golden Hair"
1975,34,"Elton John","Lucy in the Sky with Diamonds"
1975,35,"Barry Manilow","Mandy"
1975,36,"Olivia Newton-John","Have You Never Been Mellow"
1975,37,"Barry Manilow","Could It Be Magic"
1975,38,"Harry Chapin","Cat's in the Cradle"
1975,39,"Michael Martin Murphey","Wildfire"
1975,40,"Jessi Colter","I'm Not Lisa"
1975,41,"Wings","Listen to What the Man Said"
1975,42,"10cc","I'm Not in Love"
1975,43,"Billy Swan","I Can Help"
1975,44,"Hamilton, Joe Frank & Reynolds","Fallin' in Love"
1975,45,"Morris Albert","Feelings"
1975,46,"Sammy Johns","Chevy Van"
1975,47,"Linda Ronstadt","When Will I Be Loved"
1975,48,"Barry White","You're the First, the Last, My Everything"
1975,49,"Olivia Newton-John","Please Mr. Please"
1975,50,"Linda Ronstadt","You're No Good"
1975,51,"Bazuka","Dynomite"
1975,52,"The Blackbyrds","Walking in Rhythm"
1975,53,"Gladys Knight & the Pips","The Way We Were/Try to Remember"
1975,54,"Melissa Manchester","Midnight Blue"
1975,55,"Sugarloaf","Don't Call Us, We'll Call You"
1975,56,"Phoebe Snow","Poetry Man"
1975,57,"Ace","How Long"
1975,58,"B.T. Express","Express"
1975,59,"Earth, Wind & Fire","That's the Way of the World"
1975,60,"Styx","Lady"
1975,61,"Grand Funk","Bad Time"
1975,62,"Alice Cooper","Only Women Bleed"
1975,63,"Carol Douglas","Doctor's Orders"
1975,64,"KC and the Sunshine Band","Get Down Tonight"
1975,65,"Paul Anka & Odia Coates","One Man Woman/One Woman Man"
1975,66,"Joe Cocker","You Are So Beautiful"
1975,67,"Bad Company","Feel Like Makin' Love"
1975,68,"James Taylor","How Sweet It Is (To Be Loved by You)"
1975,69,"Orleans","Dance with Me"
1975,70,"Average White Band","Cut the Cake"
1975,71,"Gloria Gaynor","Never Can Say Goodbye"
1975,72,"Paul Anka","I Don't Like to Sleep Alone"
1975,73,"Donny & Marie Osmond","Morning Side of the Mountain"
1975,74,"Grand Funk Railroad","Some Kind of Wonderful"
1975,75,"The Three Degrees","When Will I See You Again"
1975,76,"Joe Simon","Get Down, Get Down (Get on the Floor)"
1975,77,"John Denver","I'm Sorry"
1975,78,"Queen","Killer Queen"
1975,79,"Eddie Kendricks","Shoeshine Boy"
1975,80,"B.T. Express","Do It ('Til You're Satisfied)"
1975,81,"Electric Light Orchestra","Can't Get It Out of My Head"
1975,82,"Al Green","Sha-La-La (Make Me Happy)"
1975,83,"America","Lonely People"
1975,84,"Rufus","You Got the Love"
1975,85,"Mike Post","The Rockford Files Theme"
1975,86,"Tavares","It Only Takes a Minute"
1975,87,"Ringo Starr","No No Song"
1975,88,"Paul McCartney & Wings","Junior's Farm"
1975,89,"Jethro Tull","Bungle in the Jungle"
1975,90,"Leo Sayer","Long Tall Glasses"
1975,91,"Ray Stevens","Misty"
1975,92,"Elton John","Someone Saved My Life Tonight"
1975,93,"Neil Sedaka","Bad Blood"
1975,94,"The Carpenters","Only Yesterday"
1975,95,"Dwight Twilley Band","I'm on Fire"
1975,96,"Ringo Starr","Only You (And You Alone)"
1975,97,"Amazing Rhythm Aces","Third Rate Romance"
1975,97,"Bachman–Turner Overdrive","You Ain't Seen Nothing Yet"
1975,99,"Frankie Valli","Swearin' to God"
1975,100,"Disco-Tex and the Sex-O-Lettes","Get Dancin'"
1976,1,"Wings","Silly Love Songs"
1976,2,"Elton John & Kiki Dee","Don't Go Breaking My Heart"
1976,3,"Johnnie Taylor","Disco Lady"
1976,4,"The Four Seasons","December, 1963 (Oh, What a Night)"
1976,5,"Wild Cherry","Play That Funky Music"
1976,6,"The Manhattans","Kiss and Say Goodbye"
1976,7,"The Miracles","Love Machine"
1976,8,"Paul Simon","50 Ways to Leave Your Lover"
1976,9,"Gary Wright","Love Is Alive"
1976,10,"Walter Murphy & The Big Apple Band","A Fifth of Beethoven"
1976,11,"Hall & Oates","Sara Smile"
1976,12,"Starland Vocal Band","Afternoon Delight"
1976,13,"Barry Manilow","I Write the Songs"
1976,14,"Silver Convention","Fly, Robin, Fly"
1976,15,"Diana Ross","Love Hangover"
1976,16,"Seals and Crofts","Get Closer"
1976,17,"Andrea True Connection","More, More, More"
1976,18,"Queen","Bohemian Rhapsody"
1976,19,"Dorothy Moore","Misty Blue"
1976,20,"The Sylvers","Boogie Fever"
1976,21,"England Dan & John Ford Coley","I'd Really Love to See You Tonight"
1976,22,"Hot Chocolate","You Sexy Thing"
1976,23,"Nazareth","Love Hurts"
1976,24,"Silver Convention","Get Up and Boogie"
1976,25,"Eagles","Take It to the Limit"
1976,26,"KC and the Sunshine Band","(Shake, Shake, Shake) Shake Your Booty"
1976,27,"Commodores","Sweet Love"
1976,28,"Maxine Nightingale","Right Back Where We Started From"
1976,29,"Rhythm Heritage","Theme from S.W.A.T."
1976,30,"Ohio Players","Love Rollercoaster"
1976,31,"Bee Gees","You Should Be Dancing"
1976,32,"Lou Rawls","You'll Never Find Another Love Like Mine"
1976,33,"David Bowie","Golden Years"
1976,34,"Starbuck","Moonlight Feels Right"
1976,35,"Dr. Hook","Only Sixteen"
1976,36,"The Bellamy Brothers","Let Your Love Flow"
1976,37,"Gary Wright","Dream Weaver"
1976,38,"Vicki Sue Robinson","Turn the Beat Around"
1976,39,"Captain & Tennille","Lonely Night (Angel Face)"
1976,40,"Eric Carmen","All by Myself"
1976,41,"Donna Summer","Love to Love You Baby"
1976,42,"Donny & Marie Osmond","Deep Purple"
1976,43,"Diana Ross","Theme from Mahogany (Do You Know Where You're Going To)"
1976,44,"Rufus","Sweet Thing"
1976,45,"KC and the Sunshine Band","That's the Way (I Like It)"
1976,46,"Dr. Hook","A Little Bit More"
1976,47,"Henry Gross","Shannon"
1976,48,"Chicago","If You Leave Me Now"
1976,49,"Boz Scaggs","Lowdown"
1976,50,"Peter Frampton","Show Me the Way"
1976,51,"Aerosmith","Dream On"
1976,52,"The O'Jays","I Love Music"
1976,53,"Fleetwood Mac","Say You Love Me"
1976,54,"Paul Anka","Times of Your Life"
1976,55,"Cliff Richard","Devil Woman"
1976,56,"Elvin Bishop","Fooled Around and Fell in Love"
1976,57,"C. W. McCall","Convoy"
1976,58,"John Sebastian","Welcome Back"
1976,59,"Earth, Wind & Fire","Sing a Song"
1976,60,"Tavares","Heaven Must Be Missing an Angel"
1976,61,"The Brothers Johnson","I'll Be Good to You"
1976,62,"The Beach Boys","Rock and Roll Music"
1976,63,"Captain & Tennille","Shop Around"
1976,64,"Bay City Rollers","Saturday Night"
1976,65,"Elton John","Island Girl"
1976,66,"The Staple Singers","Let's Do It Again"
1976,67,"Wings","Let 'Em In"
1976,68,"Wing and a Prayer Fife and Drum Corps","Baby Face"
1976,69,"George Benson","This Masquerade"
1976,70,"Electric Light Orchestra","Evil Woman"
1976,71,"Silver","Wham Bam"
1976,72,"Keith Carradine","I'm Easy"
1976,73,"Harold Melvin & the Blue Notes","Wake Up Everybody"
1976,74,"War","Summer"
1976,75,"John Travolta","Let Her In"
1976,76,"Sweet","Fox on the Run"
1976,77,"Fleetwood Mac","Rhiannon"
1976,78,"The Beatles","Got to Get You into My Life"
1976,79,"Bee Gees","Fanny (Be Tender with My Love)"
1976,80,"Earth, Wind & Fire","Getaway"
1976,81,"Hall & Oates","She's Gone"
1976,82,"Orleans","Still the One"
1976,83,"Queen","You're My Best Friend"
1976,84,"Jefferson Starship","With Your Love"
1976,85,"Foghat","Slow Ride"
1976,86,"Ohio Players","Who'd She Coo?"
1976,87,"Thin Lizzy","The Boys Are Back in Town"
1976,88,"David Ruffin","Walk Away from Love"
1976,89,"Peter Frampton","Baby, I Love Your Way (Live)"
1976,90,"Candi Staton","Young Hearts Run Free"
1976,91,"Neil Sedaka","Breaking Up Is Hard to Do"
1976,92,"Bay City Rollers","Money Honey"
1976,93,"Parliament","Give Up the Funk (Tear the Roof off the Sucker)"
1976,94,"Larry Groce","Junk Food Junkie"
1976,95,"Barry Manilow","Tryin' to Get the Feeling Again"
1976,96,"Kiss","Rock and Roll All Nite"
1976,97,"Rick Dees & His Cast of Idiots","Disco Duck"
1976,98,"Steve Miller Band","Take the Money and Run"
1976,99,"The Who","Squeeze Box"
1976,100,"Glen Campbell","Country Boy (You Got Your Feet in L.A.)"
1977,1,"Rod Stewart","Tonight's the Night (Gonna Be Alright)"
1977,2,"Andy Gibb","I Just Want to Be Your Everything"
1977,3,"The Emotions","Best of My Love"
1977,4,"Barbra Streisand","Evergreen (Love Theme from A Star Is Born)"
1977,5,"Hot","Angel in Your Arms"
1977,6,"Kenny Nolan","I Like Dreamin'"
1977,7,"Thelma Houston","Don't Leave Me This Way"
1977,8,"Rita Coolidge","(Your Love Has Lifted Me) Higher and Higher"
1977,9,"Alan O'Day","Undercover Angel"
1977,10,"Mary MacGregor","Torn Between Two Lovers"
1977,11,"KC and the Sunshine Band","I'm Your Boogie Man"
1977,12,"ABBA","Dancing Queen"
1977,13,"Leo Sayer","You Make Me Feel Like Dancing"
1977,14,"Jimmy Buffett","Margaritaville"
1977,15,"Electric Light Orchestra","Telephone Line"
1977,16,"Pablo Cruise","Whatcha Gonna Do?"
1977,17,"Peter McCann","Do You Wanna Make Love"
1977,18,"Stevie Wonder","Sir Duke"
1977,19,"Eagles","Hotel California"
1977,20,"Marvin Gaye","Got to Give It Up"
1977,21,"Bill Conti, DeEtta Little and Nelson Pigford","Gonna Fly Now"
1977,22,"Glen Campbell","Southern Nights"
1977,23,"Hall & Oates","Rich Girl"
1977,24,"Leo Sayer","When I Need You"
1977,25,"The Sylvers","Hot Line"
1977,26,"Rose Royce","Car Wash"
1977,27,"Marilyn McCoo & Billy Davis Jr.","You Don't Have to Be a Star (To Be in My Show)"
1977,28,"Steve Miller Band","Fly Like an Eagle"
1977,29,"David Soul","Don't Give Up on Us"
1977,30,"Stephen Bishop","On and On"
1977,31,"Foreigner","Feels Like the First Time"
1977,32,"Climax Blues Band","Couldn't Get It Right"
1977,33,"Commodores","Easy"
1977,34,"Jennifer Warnes","Right Time of the Night"
1977,35,"Natalie Cole","I've Got Love on My Mind"
1977,36,"Manfred Mann's Earth Band","Blinded by the Light"
1977,37,"Barry Manilow","Looks Like We Made It"
1977,38,"Atlanta Rhythm Section","So in to You"
1977,39,"Fleetwood Mac","Dreams"
1977,40,"The Jacksons","Enjoy Yourself"
1977,41,"Brick","Dazz"
1977,42,"Peter Frampton","I'm in You"
1977,43,"Kenny Rogers","Lucille"
1977,44,"10cc","The Things We Do for Love"
1977,45,"Shaun Cassidy","Da Doo Ron Ron"
1977,46,"James Taylor","Handy Man"
1977,47,"Crosby, Stills & Nash","Just a Song Before I Go"
1977,48,"Alice Cooper","You and Me"
1977,49,"Johnny Rivers","Swayin' to the Music (Slow Dancing)"
1977,50,"Andrew Gold","Lonely Boy"
1977,51,"Stevie Wonder","I Wish"
1977,52,"Fleetwood Mac","Don't Stop"
1977,53,"Heart","Barracuda"
1977,54,"The Brothers Johnson","Strawberry Letter 23"
1977,55,"Bob Seger & The Silver Bullet Band","Night Moves"
1977,56,"Helen Reddy","You're My World"
1977,57,"The Marshall Tucker Band","Heard It in a Love Song"
1977,58,"Kansas","Carry On Wayward Son"
1977,59,"Eagles","New Kid in Town"
1977,60,"Barbra Streisand","My Heart Belongs to Me"
1977,61,"Engelbert Humperdinck","After the Lovin'"
1977,62,"Steve Miller Band","Jet Airliner"
1977,63,"Burton Cummings","Stand Tall"
1977,64,"Elvis Presley","Way Down"
1977,65,"Barry Manilow","Weekend in New England"
1977,66,"Ronnie Milsap","It Was Almost Like a Song"
1977,67,"Sanford-Townsend Band","Smoke from a Distant Fire"
1977,68,"Foreigner","Cold as Ice"
1977,69,"Dean Friedman","Ariel"
1977,70,"Bread","Lost Without Your Love"
1977,71,"Meco","Star Wars Theme/Cantina Band"
1977,72,"The Floaters","Float On"
1977,73,"Lord David Dundas","Jeans On"
1977,74,"Boz Scaggs","Lido Shuffle"
1977,75,"KC and the Sunshine Band","Keep It Comin' Love"
1977,76,"Bay City Rollers","You Made Me Believe in Magic"
1977,77,"Electric Light Orchestra","Livin' Thing"
1977,78,"Supertramp","Give a Little Bit"
1977,79,"Shaun Cassidy","That's Rock 'n' Roll"
1977,80,"Bee Gees","Love So Right"
1977,81,"The Spinners","The Rubberband Man"
1977,82,"Alice Cooper","I Never Cry"
1977,83,"Carly Simon","Nobody Does It Better"
1977,84,"The Sylvers","High School Dance"
1977,85,"Kenny Nolan","Love's Grown Deep"
1977,86,"Joe Tex","Ain't Gonna Bump No More (With No Big Fat Woman)"
1977,87,"Rose Royce","I Wanna Get Next to You"
1977,88,"Queen","Somebody to Love"
1977,89,"Captain & Tennille","Muskrat Love"
1977,90,"Aerosmith","Walk This Way"
1977,91,"Dr. Buzzard's Original Savannah Band","Cherchez La Femme"
1977,92,"Al Stewart","Year of the Cat"
1977,93,"Heatwave","Boogie Nights"
1977,94,"Fleetwood Mac","Go Your Own Way"
1977,95,"Elton John","Sorry Seems to Be the Hardest Word"
1977,96,"B.J. Thomas","Don't Worry Baby"
1977,97,"ABBA","Knowing Me, Knowing You"
1977,98,"Leo Sayer","How Much Love"
1977,99,"London Symphony Orchestra","Star Wars (Main Title)"
1977,100,"C.J. & Company","Devil's Gun"
1978,1,"Andy Gibb","Shadow Dancing"
1978,2,"Bee Gees","Night Fever"
1978,3,"Debby Boone","You Light Up My Life"
1978,4,"Bee Gees","Stayin' Alive"
1978,5,"Exile","Kiss You All Over"
1978,6,"Bee Gees","How Deep Is Your Love"
1978,7,"Player","Baby Come Back"
1978,8,"Andy Gibb","(Love Is) Thicker Than Water"
1978,9,"A Taste of Honey","Boogie Oogie Oogie"
1978,10,"Commodores","Three Times a Lady"
1978,11,"Frankie Valli","Grease"
1978,12,"Paul Davis","I Go Crazy"
1978,13,"John Travolta & Olivia Newton-John","You're the One That I Want"
1978,14,"Samantha Sang","Emotion"
1978,15,"Eric Clapton","Lay Down Sally"
1978,16,"The Rolling Stones","Miss You"
1978,17,"Billy Joel","Just the Way You Are"
1978,18,"Wings","With a Little Luck"
1978,19,"Yvonne Elliman","If I Can't Have You"
1978,20,"Chic","Dance, Dance, Dance (Yowsah, Yowsah, Yowsah)"
1978,21,"Chuck Mangione","Feels So Good"
1978,22,"Nick Gilder","Hot Child in the City"
1978,23,"Sweet","Love Is Like Oxygen"
1978,24,"Bonnie Tyler","It's a Heartache"
1978,25,"Queen","We Will Rock You/We Are the Champions"
1978,26,"Gerry Rafferty","Baker Street"
1978,27,"Barry Manilow","Can't Smile Without You"
1978,28,"Johnny Mathis & Deniece Williams","Too Much, Too Little, Too Late"
1978,29,"Peter Brown","Dance With Me"
1978,30,"Meat Loaf","Two Out of Three Ain't Bad"
1978,31,"Raydio","Jack And Jill"
1978,32,"ABBA","Take a Chance on Me"
1978,33,"Dan Hill","Sometimes When We Touch"
1978,34,"Donna Summer","Last Dance"
1978,35,"Olivia Newton-John","Hopelessly Devoted to You"
1978,36,"Foreigner","Hot Blooded"
1978,37,"Rod Stewart","You're in My Heart (The Final Acclaim)"
1978,38,"Roberta Flack & Donny Hathaway","The Closer I Get to You"
1978,39,"Kansas","Dust in the Wind"
1978,40,"Walter Egan","Magnet and Steel"
1978,41,"Randy Newman","Short People"
1978,42,"The O'Jays","Use ta Be My Girl"
1978,43,"Natalie Cole","Our Love"
1978,44,"Pablo Cruise","Love Will Find a Way"
1978,45,"Andy Gibb","An Everlasting Love"
1978,46,"John Paul Young","Love Is in the Air"
1978,47,"David Gates","Goodbye Girl"
1978,48,"Paul Simon","Slip Slidin' Away"
1978,49,"Heatwave","The Groove Line"
1978,50,"Jay Ferguson","Thunder Island"
1978,51,"Atlanta Rhythm Section","Imaginary Lover"
1978,52,"Bob Seger & The Silver Bullet Band","Still the Same"
1978,53,"Toby Beau","My Angel Baby"
1978,54,"The Trammps","Disco Inferno"
1978,55,"George Benson","On Broadway"
1978,56,"Styx","Come Sail Away"
1978,57,"L.T.D.","(Every Time I Turn Around) Back in Love Again"
1978,58,"Player","This Time I'm in It for Love"
1978,59,"Carly Simon","You Belong to Me"
1978,60,"Dolly Parton","Here You Come Again"
1978,61,"Linda Ronstadt","Blue Bayou"
1978,62,"Steely Dan","Peg"
1978,63,"Anne Murray","You Needed Me"
1978,64,"Evelyn ""Champagne"" King","Shame"
1978,65,"Little River Band","Reminiscing"
1978,66,"Jefferson Starship","Count On Me"
1978,67,"Eddie Money","Baby Hold On"
1978,68,"Shaun Cassidy","Hey Deanie"
1978,69,"John Travolta & Olivia Newton-John","Summer Nights"
1978,70,"Lynyrd Skynyrd","What's Your Name"
1978,71,"Crystal Gayle","Don't It Make My Brown Eyes Blue"
1978,72,"Patti Smith Group","Because the Night"
1978,73,"Robert Palmer","Every Kinda People"
1978,74,"Barry Manilow","Copacabana"
1978,75,"Heatwave","Always and Forever"
1978,76,"Rick James","You and I"
1978,77,"Earth, Wind & Fire","Serpentine Fire"
1978,78,"Bob Welch","Sentimental Lady"
1978,79,"LeBlanc & Carr","Falling"
1978,80,"Santa Esmeralda","Don't Let Me Be Misunderstood"
1978,81,"Michael Johnson","Bluer Than Blue"
1978,82,"Jackson Browne","Running on Empty"
1978,83,"Kenny Loggins & Stevie Nicks","Whenever I Call You 'Friend'"
1978,84,"Chris Rea","Fool (If You Think It's Over)"
1978,85,"Foxy","Get Off"
1978,86,"Electric Light Orchestra","Sweet Talkin' Woman"
1978,87,"Joe Walsh","Life's Been Good"
1978,88,"Alicia Bridges","I Love the Nightlife"
1978,89,"High Inergy","You Can't Turn Me Off (In The Middle Of Turning Me On)"
1978,90,"Linda Ronstadt","It's So Easy"
1978,91,"Odyssey","Native New Yorker"
1978,92,"Parliament","Flash Light"
1978,93,"Boston","Don't Look Back"
1978,94,"Electric Light Orchestra","Turn to Stone"
1978,95,"Eruption","I Can't Stand the Rain"
1978,96,"Bob Welch","Ebony Eyes"
1978,97,"ABBA","The Name of the Game"
1978,98,"Rita Coolidge","We're All Alone"
1978,99,"Bob Seger & The Silver Bullet Band","Hollywood Nights"
1978,100,"Steely Dan","Deacon Blues"
1979,1,"The Knack","My Sharona"
1979,2,"Donna Summer","Bad Girls"
1979,3,"Chic","Le Freak"
1979,4,"Rod Stewart","Da Ya Think I'm Sexy?"
1979,5,"Peaches & Herb","Reunited"
1979,6,"Gloria Gaynor","I Will Survive"
1979,7,"Donna Summer","Hot Stuff"
1979,8,"Village People","Y.M.C.A."
1979,9,"Anita Ward","Ring My Bell"
1979,10,"Robert John","Sad Eyes"
1979,11,"Bee Gees","Too Much Heaven"
1979,12,"Donna Summer","MacArthur Park"
1979,13,"Dr. Hook","When You're in Love with a Beautiful Woman"
1979,14,"David Naughton","Makin' It"
1979,15,"The Pointer Sisters","Fire"
1979,16,"Bee Gees","Tragedy"
1979,17,"Olivia Newton-John","A Little More Love"
1979,18,"Blondie","Heart of Glass"
1979,19,"The Doobie Brothers","What a Fool Believes"
1979,20,"Chic","Good Times"
1979,21,"Neil Diamond & Barbra Streisand","You Don't Bring Me Flowers"
1979,22,"Amii Stewart","Knock on Wood"
1979,23,"Suzi Quatro & Chris Norman","Stumblin' In"
1979,24,"Maxine Nightingale","Lead Me On"
1979,25,"The Jacksons","Shake Your Body (Down to the Ground)"
1979,26,"Melissa Manchester","Don't Cry Out Loud"
1979,27,"Supertramp","The Logical Song"
1979,28,"Billy Joel","My Life"
1979,29,"Randy VanWarmer","Just When I Needed You Most"
1979,30,"Raydio","You Can't Change That"
1979,31,"Peaches & Herb","Shake Your Groove Thing"
1979,32,"Dionne Warwick","I'll Never Love This Way Again"
1979,33,"Bee Gees","Love You Inside Out"
1979,34,"Cheap Trick","I Want You to Want Me"
1979,35,"Barbra Streisand","The Main Event/Fight"
1979,36,"Elton John","Mama Can't Buy You Love"
1979,37,"Leif Garrett","I Was Made for Dancin'"
1979,38,"Earth, Wind & Fire","After the Love Has Gone"
1979,39,"Donna Summer and Brooklyn Dreams","Heaven Knows"
1979,40,"Kenny Rogers","The Gambler"
1979,41,"Nicolette Larson","Lotta Love"
1979,42,"Little River Band","Lady"
1979,43,"Bonnie Pointer","Heaven Must Have Sent You"
1979,44,"Toto","Hold the Line"
1979,45,"Sister Sledge","He's the Greatest Dancer"
1979,46,"Dr. Hook & The Medicine Show","Sharing the Night Together"
1979,47,"Kenny Rogers","She Believes in Me"
1979,48,"Village People","In the Navy"
1979,49,"Frank Mills","Music Box Dancer"
1979,50,"The Charlie Daniels Band","The Devil Went Down to Georgia"
1979,51,"John Stewart","Gold"
1979,52,"Wings","Goodnight Tonight"
1979,53,"Sister Sledge","We Are Family"
1979,54,"Bad Company","Rock 'n' Roll Fantasy"
1979,55,"Hot Chocolate","Every 1's a Winner"
1979,56,"Cher","Take Me Home"
1979,57,"Earth, Wind & Fire & The Emotions","Boogie Wonderland"
1979,58,"Andy Gibb","(Our Love) Don't Throw It All Away"
1979,59,"Bobby Caldwell","What You Won't Do for Love"
1979,60,"Ace Frehley","New York Groove"
1979,61,"Dire Straits","Sultans of Swing"
1979,62,"Chic","I Want Your Love"
1979,63,"Rickie Lee Jones","Chuck E.'s In Love"
1979,64,"Alicia Bridges","I Love the Nightlife"
1979,65,"McFadden & Whitehead","Ain't No Stoppin' Us Now"
1979,66,"Little River Band","Lonesome Loser"
1979,67,"Styx","Renegade"
1979,68,"England Dan & John Ford Coley","Love Is the Answer"
1979,69,"Cheryl Lynn","Got to Be Real"
1979,70,"Patrick Hernandez","Born to Be Alive"
1979,71,"Electric Light Orchestra","Shine a Little Love"
1979,72,"Anne Murray","I Just Fall in Love Again"
1979,73,"Ian Matthews","Shake It"
1979,74,"KISS","I Was Made for Lovin' You"
1979,75,"Gino Vannelli","I Just Wanna Stop"
1979,76,"GQ","Disco Nights (Rock-Freak)"
1979,77,"Linda Ronstadt","Ooo Baby Baby"
1979,78,"Earth, Wind & Fire","September"
1979,79,"Al Stewart","Time Passages"
1979,80,"Herb Alpert","Rise"
1979,81,"Electric Light Orchestra","Don't Bring Me Down"
1979,82,"Eric Clapton","Promises"
1979,83,"Roger Voudouris","Get Used to It"
1979,84,"Ambrosia","How Much I Feel"
1979,85,"Eddie Rabbitt","Suspicions"
1979,86,"Rex Smith","You Take My Breath Away"
1979,87,"Alice Cooper","How You Gonna See Me Now"
1979,88,"Foreigner","Double Vision"
